andrzej wajda,アンジェイ・ワイダ,anjei・waida
tadeusz boyżeleński,タデウシ・ジェレニスキー,tadeushi・jerenisukī
henryk zygalski,ヘンリク・ジガルスキ,henriku・jigarusuki
césar ruminski,セザール・ルミンスキ,sezāru・ruminsuki
uri orlew,ウーリー・オルレブ,ūrī・orurebu
jan machulski,ヤン・マチュルスキ,yan・machurusuki
władysław komar,ウラディスラフ・コマル,uradisurafu・komaru
bronisław huberman,ブロニスラフ・フーベルマン,buronisurafu・fūberuman
katarzyna pawłowska,カタジィナ・パヴウォヴスカ,katajiィna・pavuwovusuka
władysław czartoryski,ヴワディスワフ・チャルトリスキ,vuwadisuwafu・charutorisuki
julian marchlewski,ユリアン・マルフレフスキ,yurian・marufurefusuki
jerzy kuryłowicz,イェジ・クリウォヴィチ,yeji・kuriwovichi
ernst stavro blofeld,エルンスト・スタヴロ・ブロフェルド,erunsuto・sutavuro・buroferudo
jan dziedziczak,ヤン・ジェジツァク,yan・jejitsaku
zygmunt puławski,ズィグムント・プワフスキ,zigumunto・puwafusuki
zygmunt malanowicz,ジグムント・マラノウッツ,jigumunto・maranouttsu
zygmunt berling,ズィグムント・ベルリンク,zigumunto・berurinku
dawid kubacki,ダヴィド・クバッキ,davido・kubakki
piotr sowisz,ピオトル・ソーヴィシュ,piotoru・sōvishu
andrzej kazimierz potocki,アンジェイ・カジミェシュ・ポトツキ,anjei・kajimiェshu・pototsuki
maria liktoras,マリア・リクトラス,maria・rikutorasu
joanna kaczorbednarska,ヨアンナ・カチョル,yoanna・kachoru
walerian borowczyk,ヴァレリアン・ボロフチク,varerian・borofuchiku
michał winiarski,ミハウ・ヴィニャルスキ,mihau・vinyarusuki
paweł nastula,パウエル・ナツラ,paueru・natsura
jerzy maksymiuk,イェジー・マクシミウク,yejī・makushimiuku
zygmunt wróblewski,ジグムント・ヴルブレフスキ,jigumunto・vuruburefusuki
olga sosnovska,オルガ・ソスノフスカ,oruga・sosunofusuka
chaïm perelman,カイム・ペレルマン,kaimu・pereruman
helena rasiowa,ヘレナ・ラショーヴァ,herena・rashōva
oskar lange,オスカル・ランゲ,osukaru・range
grzegorz filipowski,グジェゴシュ・フィリポフスキ,gujegoshu・firipofusuki
piotr lachert,ピヨトル・ラヘルト,piyotoru・raheruto
martin max,マルティン・マックス,marutin・makkusu
aleksander mazowiecki,アレクサンデル・マゾヴィエツキ,arekusanderu・mazovietsuki
daniel olbrychski,ダニエル・オルブリフスキー,danieru・oruburifusukī
tadeusz konwicki,タデウシュ・コンヴィツキ,tadeushu・konvitsuki
ewa kopacz,エヴァ・コパチ,eva・kopachi
jacek krzynówek,ヤツェク・クジノヴェク,yatseku・kujinovuェku
władysław starewicz,ラディスラフ・スタレヴィッチ,radisurafu・sutarevitchi
leon niemczyk,レオン・ニェムチック,reon・niェmuchikku
artur żmijewski,アルトゥル・ジミイェフスキ,aruturu・jimiyefusuki
joanna sulej,ヨアンナ・スレイ,yoanna・surei
li qian,リー・チェン,rī・chen
piotr fijas,ピオトル・フィヤス,piotoru・fiyasu
paweł włodkowic,パヴェウ・ヴウォトコヴィツ,pavuェu・vuwotokovitsu
wiesław maniak,ヴィエスワフ・マニアク,viesuwafu・maniaku
juliusz zarębski,ユリウシュ・ザレンプスキ,yuriushu・zarenpusuki
marek jędraszewski,マレク・イェドラシェウスキー,mareku・yedorasheusukī
maciej kot,マチェイ・コット,machei・kotto
michał kucharczyk,ミハウ・クハルチク,mihau・kuharuchiku
olga tokarczuk,オルガ・トカルチュク,oruga・tokaruchuku
awraham stern,アヴラハム・シュテルン,avurahamu・shuterun
felicja blumental,フェリシア・ブルメンタール,ferishia・burumentāru
dorota świeniewicz,ドロタ・シフィニェビッチ,dorota・shifiniェbitchi
aleksander ford,アレクサンデル・フォルト,arekusanderu・foruto
aleksander zawadzki,アレクサンデル・ザヴァツキ,arekusanderu・zavatsuki
michał gołaś,ミハウ・ゴワシュ,mihau・gowashu
robert gadocha,ロベルト・ガドハ,roberuto・gadoha
szymon anski,シュロイメ・アンスキー,shuroime・ansukī
wojciech młynarski,ヴォイチェフ・ムウィナルスキ,vuォichefu・muwinarusuki
aleksandra kurzak,アレクサンドラ・クルジャク,arekusandora・kurujaku
ludovic obraniak,ルドヴィク・オブラニアク,rudoviku・oburaniaku
anna jesień,アンナ・イェシェン,anna・yeshen
anna świdnicka,アンナ・シフィドニツカ,anna・shifidonitsuka
natalia partyka,ナタリア・パルティカ,nataria・parutika
luiza złotkowska,ルイザ・ズウォトコフスカ,ruiza・zuwotokofusuka
dominika paleta,ドミニカ・パレタ,dominika・pareta
ewa sonnet,エヴァ・ソネット,eva・sonetto
maria szymanowska,マリア・シマノフスカ,maria・shimanofusuka
roman maciejewski,ロマン・マチエイェフスキ,roman・machieyefusuki
bogusław schaeffer,ボグスワフ・シェッフェル,bogusuwafu・shefferu
leopold infeld,レオポルト・インフェルト,reoporuto・inferuto
paweł szymański,パヴェル・シマヌスキ,pavuェru・shimanusuki
jan czochralski,ジャン・チョクラルスキー,jan・chokurarusukī
bartosz bereszyński,バルトシュ・ベレシンスキ,barutoshu・bereshinsuki
michael klim,マイケル・クリム,maikeru・kurimu
tadeusz kotarbiński,タデウシュ・コタルビンスキ,tadeushu・kotarubinsuki
czesław słania,チェスワフ・スワニア,chesuwafu・suwania
krzysztof włodarczyk,クシシュトフ・ヴウォダルチク,kushishutofu・vuwodaruchiku
teresa ciepły,テレサ・チェプラ,teresa・chepura
bronisław malinowski,ブロニスワフ・マリノフスキ,buronisuwafu・marinofusuki
michał pazdan,ミハウ・パズダン,mihau・pazudan
janusz szrom,ヤヌシュ・スローム,yanushu・surōmu
david tarka,デヴィッド・ターカ,deviddo・tāka
krzysztof wielicki,クシストフ・ヴィエリツキ,kushisutofu・vieritsuki
stefan grabiński,ステファン・グラビンスキ,sutefan・gurabinsuki
elie nadelman,エリー・ナーデルマン,erī・nāderuman
kamil stoch,カミル・ストッフ,kamiru・sutoffu
kazimierz serocki,カジミェシュ・セロツキ,kajimiェshu・serotsuki
anna wierzbicka,アンナ・ヴェジビツカ,anna・vuェjibitsuka
dobroniega maria,ドブロネガ・ウラジミロヴナ,doburonega・urajimirovuna
jakub wawrzyniak,ヤクブ・バブジニャク,yakubu・babujinyaku
denis urubko,デニス・ウルブコ,denisu・urubuko
przemysław niemiec,プジェムィスワフ・ニエミエツ,pujemuィsuwafu・niemietsu
magda linette,マグダ・リネッテ,maguda・rinette
benjamin jekhowsky,ヴェニアミン・ジェコフスキー,vuェniamin・jekofusukī
arkadiusz radomski,アルカディウシュ・ラドムスキ,arukadiushu・radomusuki
sylwester szmyd,シルヴェスタ・シュミット,shiruvuェsuta・shumitto
karolina koszewska,カロリーナ・ウカシク,karorīna・ukashiku
izabella miko,イザベラ・マイコ,izabera・maiko
jadwiga jędrzejowska,ヤドヴィガ・イェンジェヨフスカ,yadoviga・yenjeyofusuka
joanna pacuła,ジョアンナ・パクラ,joanna・pakura
michał kubiak,ミハウ・クビアク,mihau・kubiaku
szymon laks,シモン・ラクス,shimon・rakusu
maciej bodnar,マツィエイ・ボドナル,matsiei・bodonaru
peter geach,ピーター・ギーチ,pītā・gīchi
kazimierz kmiecik,カジミェシュ・クミェチク,kajimiェshu・kumiェchiku
jadwiga jagiellonka,ヤドヴィガ・ヤギェロンカ,yadoviga・yagiェronka
jan tomaszewski,ヤン・トマシェフスキ,yan・tomashefusuki
jadwiga wajsówna,ヤドヴィガ・ワイス,yadoviga・waisu
świętosława swatawa,スヴァタヴァ・ポルスカー,suvatava・porusukā
kasia smutniak,カシア・スムトゥニアク,kashia・sumutuniaku
tomasz kuszczak,トマシュ・クシュチャク,tomashu・kushuchaku
leon sternbach,レオ・スターンバック,reo・sutānbakku
eddie slovik,エディ・スロヴィク,edi・suroviku
jerzy gorgoń,イェジィ・ゴルゴン,yejiィ・gorugon
władysław żmuda,ヴワディスワフ・ジュムダ,vuwadisuwafu・jumuda
piotr nowakowski,ピヨトル・ノバコフスキ,piyotoru・nobakofusuki
paweł wszołek,パヴェウ・ヴショウェク,pavuェu・vushoweku
robert mateja,ロベルト・マテヤ,roberuto・mateya
stanisław bobak,スタニスワフ・ボバク,sutanisuwafu・bobaku
andrzej bartkowiak,アンジェイ・バートコウィアク,anjei・bātokowiaku
tadeusz rut,タデウス・ルット,tadeusu・rutto
kamil kosowski,カミル・コソフスキ,kamiru・kosofusuki
emanuel ax,エマニュエル・アックス,emanyueru・akkusu
wojciech fibak,ヴォイチェフ・フィバク,vuォichefu・fibaku
józef hofmann,ヨゼフ・ホフマン,yozefu・hofuman
elżbieta granowska,エルジュビェタ・グラノフスカ,erujubiェta・guranofusuka
anna werblińska,アンナ・ヴェルブリンスカ,anna・vuェruburinsuka
grzegorz lato,グジェゴシ・ラトー,gujegoshi・ratō
wanda panfilgonzález,ワンダ・パンフィル,wanda・panfiru
bella darvi,ベラ・ダルヴィ,bera・daruvi
krzysztof warzycha,クシシュトフ・ヴァジハ,kushishutofu・vajiha
sławomir idziak,スワヴォミール・イジャック,suwavuォmīru・ijakku
ryszard bolesławski,ルイシャルト・ボレスワフスキ,ruisharuto・boresuwafusuki
ewa kłobukowska,エワ・クロブコフスカ,ewa・kurobukofusuka
maja włoszczowska,マヤ・ヴウォシュチョヴスカ,maya・vuwoshuchovusuka
egon petri,エゴン・ペトリ,egon・petori
stanisław marusarz,スタニスワフ・マルサシュ,sutanisuwafu・marusashu
grzegorz krychowiak,グジェゴシュ・クリホビアク,gujegoshu・kurihobiaku
józef mehoffer,ユゼフ・メホフェル,yuzefu・mehoferu
mariusz wach,マリウシュ・ヴァフ,mariushu・vafu
janusz gajos,ヤヌシュ・ガヨス,yanushu・gayosu
louis marcoussis,ルイ・マルクーシ,rui・marukūshi
zofia holszańska,ゾフィア・ホルシャンスカ,zofia・horushansuka
hanna krall,ハンナ・クラル,hanna・kuraru
matthias ostrzolek,マティアス・オストルツォレク,matiasu・osutorutsoreku
mieczysław karłowicz,ミェチスワフ・カルウォーヴィチ,miェchisuwafu・karuwōvichi
aleksander wielopolski,アレクサンデル・ヴィエロポルスキ,arekusanderu・vieroporusuki
juliusz machulski,ジュリアス・マチュルスキ,juriasu・machurusuki
julian fałat,ユリアン・ファワト,yurian・fawato
michał łasko,ミカル・ラスコ,mikaru・rasuko
piotr adamczyk,ピョートル・アダムチク,pyōtoru・adamuchiku
marek walczewski,マレック・ヴァルチェフスキ,marekku・varuchefusuki
léon glovacki,レオン・グロヴァツキ,reon・gurovatsuki
mariusz wlazły,マリウシュ・ブラズウィー,mariushu・burazuwī
roman totenberg,ロマン・トーテンベルク,roman・tōtenberuku
layvin kurzawa,レイヴァン・クルザワ,reivan・kuruzawa
ludomir różycki,ルドミル・ルジツキ,rudomiru・rujitsuki
moïse kisling,モイズ・キスリング,moizu・kisuringu
tomasz peta,トマシュ・ペタ,tomashu・peta
lucjan błaszczyk,ルシアン・ブラシュチック,rushian・burashuchikku
witold gombrowicz,ヴィトルド・ゴンブローヴィッチ,vitorudo・gonburōvitchi
stefan niementowski,ステファン・ニーメントウスキー,sutefan・nīmentousukī
szymon szewczyk,シモン・シェブチック,shimon・shebuchikku
anna jurkiewicz,アンナ・ユルキェビッチ,anna・yurukiェbitchi
elżbieta chojnacka,エリーザベト・ホイナツカ,erīzabeto・hoinatsuka
arkadiusz gołaś,アルカディウシュ・ゴアシュ,arukadiushu・goashu
chesty morgan,チェスティー・モーガン,chesutī・mōgan
milena rosner,ミレナ・ロスネル,mirena・rosuneru
roger walkowiak,ロジェ・ワルコヴィアック,roje・warukoviakku
elżbieta jagiellonka,エルジュビェタ・ヤギェロンカ,erujubiェta・yagiェronka
witold małcużyński,ヴィトルト・マウツジンスキ,vitoruto・mautsujinsuki
roman kosecki,ロマン・コセツキ,roman・kosetsuki
mateusz chruściński,マテウシュ・フルシチンスキー,mateushu・furushichinsukī
eric piatkowski,エリック・パイカウスキー,erikku・paikausukī
józef kowalski,ユゼフ・コワルスキー,yuzefu・kowarusukī
leopold trepper,レオポルド・トレッペル,reoporudo・torepperu
stefania woytowicz,ステファニア・ヴォイトヴィチ,sutefania・vuォitovichi
roman kozłowski,ロマン・コズロースキー,roman・kozurōsukī
stanisław maczek,スタニスワフ・マチェク,sutanisuwafu・macheku
tomasz marczyński,トマシュ・マルチィニスキ,tomashu・maruchiィnisuki
jan żabiński,ヤン・ジャビンスキ,yan・jabinsuki
august freund,アウグスト・フロイント,augusuto・furointo
andrzej mostowski,アンジェイ・モストフスキ,anjei・mosutofusuki
krystyna bochenek,クリスティナ・ボヘネク,kurisutina・boheneku
herkules dembowski,エルコレ・デンボウスキー,erukore・denbousukī
andrzej munk,アンジェイ・ムンク,anjei・munku
józef młynarczyk,ユゼフ・ムイナルチク,yuzefu・muinaruchiku
andrzej sekuła,アンジェイ・セクラ,anjei・sekura
małgorzata glinkamogentale,マウゴジャータ・グリンカ,maugojāta・gurinka
andrzej śliwiński,アンジェイ・スリヴィンスキ,anjei・surivinsuki
karol kłos,カロル・クウォス,karoru・kuwosu
miron,ミロン,miron
jan kott,ヤン・コット,yan・kotto
andrzej żuławski,アンジェイ・ズラウスキー,anjei・zurausukī
aleksander wat,アレクサンデル・ヴァット,arekusanderu・vatto
łukasz burliga,ウカシュ・ブルリガ,ukashu・bururiga
władysław hieronim sanguszko,ヴワディスワフ・ヒェロニム・サングシュコ,vuwadisuwafu・hiェronimu・sangushuko
emilia plater,エミリア・プラテル,emiria・purateru
franciszek gajowniczek,フランツィシェク・ガヨウィニチェク,furantsisheku・gayowinicheku
ladislao kubala,ラディスラオ・クバラ,radisurao・kubara
roger guerreiro,ロジェール・ゲレイロ,rojēru・gereiro
wacław sierpiński,ヴァツワフ・シェルピニスキ,vatsuwafu・sherupinisuki
anna german,アンナ・ゲルマン,anna・geruman
grzegorz nowak,グジェゴシュ・ノヴァーク,gujegoshu・novāku
przemysław tytoń,プシェミスワフ・ティトン,pushemisuwafu・titon
bartosz salamon,バルトシュ・サラモン,barutoshu・saramon
rafał kubacki,ラファウ・クバツキ,rafau・kubatsuki
artur noga,アルトゥル・ノガ,aruturu・noga
ludwik fleck,ルドヴィック・フレック,rudovikku・furekku
andrzej czajkowski,アンジェイ・チャイコフスキ,anjei・chaikofusuki
mariola zenik,マリオラ・ゼニク,mariora・zeniku
paulina majerwardt,パウリナ・マイ,paurina・mai
moshe lewin,モーシェ・レヴィン,mōshe・revin
michał jerzy poniatowski,ミハウ・イェジー・ポニャトフスキ,mihau・yejī・ponyatofusuki
jerzy kukuczka,イェジ・ククチカ,yeji・kukuchika
edward gierek,エドヴァルト・ギェレク,edovaruto・giェreku
