angela merkel,앙겔라 메르켈,anggelra mereukel
jürgen stark,위르겐 슈타르크,wireugen syutareukeu
mandy capristo,맨디 카프리스토,maendi kapeuriseuto
caspar olevian,카스파 올레비안,kaseupa olrebian
kurt schumacher,쿠르트 슈마허,kureuteu syumaheo
wilhelm gustloff,빌헬름 구스틀로프,bilhelreum guseuteulropeu
hans krebs,한스 크렙스,hanseu keurebseu
walter krupinski,발터 크루핀스키,balteo keurupinseuki
lil dagover,릴 다고버,ril dagobeo
vadim glowna,바딤 글로브나,badim geulrobeuna
walther schreiber,발터 슈라이버,balteo syuraibeo
claus clausen,클라우스 클로슨,keulrauseu keulroseun
friedrich meinecke,프리드리히 마이네케,peurideurihi maineke
hansulrich wehler,한스울리히 벨러,hanseuulrihi belreo
curt goetz,쿠르트 괴츠,kureuteu goeceu
loki schmidt,로키 슈미트,roki syumiteu
carl stumpf,카를 슈툼프,kareul syutumpeu
ludwig von battenberg,바텐베르크 공자 루이,batenbereukeu gongja rui
johannes brandrup,요하네스 브란트루프,yohaneseu beuranteurupeu
ruth fuchs,루트 푸흐스,ruteu puheuseu
benno ohnesorg,베노 오네조르크,beno onejoreukeu
theo morell,테오도어 모렐,teodoeo morel
gustav knuth,구스타프 크누트,guseutapeu keunuteu
wilhelm groener,빌헬름 그뢰너,bilhelreum geuroeneo
franz seldte,프란츠 젤테,peuranceu jelte
otto ernst remer,오토 에른스트 레머,oto ereunseuteu remeo
rochus misch,로후스 미슈,rohuseu misyu
aljona savchenko,알리오나 사브첸코,alriona sabeucenko
hermann weingärtner,헤르만 바인게르트너,hereuman baingereuteuneo
elisabeth schumann,엘리자베트 슈만,elrijabeteu syuman
hermann heller,헤르만 헬러,hereuman helreo
friedrich hoßbach,프리드리히 호스바흐,peurideurihi hoseubaheu
claus offe,클라우스 오페,keulrauseu ope
matthias ringmann,마티아스 링만,matiaseu ringman
cornell borchers,코르넬 보르헤르스,koreunel boreuhereuseu
fady maalouf,파디 말루프,padi malrupeu
karlmichael vogler,카를미하엘 포글러,kareulmihael pogeulreo
helmut roleder,헬무트 롤레더,helmuteu rolredeo
udo samel,우도 자멜,udo jamel
otto günsche,오토 귄셰,oto gwinsye
bruno labbadia,브루노 라바디아,beuruno rabadia
erich priebke,에리히 프리프케,erihi peuripeuke
magnus hirschfeld,마그누스 히르슈펠트,mageunuseu hireusyupelteu
sıla şahinradlinger,슬라 샤힌,seulra syahin
angela winkler,앙겔라 빙클러,anggelra bingkeulreo
helena fromm,헬레나 프롬,helrena peurom
johannes ludwig,요하네스 루트비히,yohaneseu ruteubihi
berthold laufer,베르톨트 라우퍼,bereutolteu raupeo
vittorio hösle,비토리오 회슬레,bitorio hoeseulre
marina kiehl,마리나 킬,marina kil
julian schuster,율리안 슈스터,yulrian syuseuteo
ramin djawadi,라민 자와디,ramin jawadi
kurt daluege,쿠르트 달루에게,kureuteu dalruege
hansjürgen von arnim,한스위르겐 폰 아르님,hanseuwireugen pon areunim
felix steiner,펠릭스 슈타이너,pelrigseu syutaineo
herbert backe,헤르베르트 바케,hereubereuteu bake
ernst hartert,에른스트 하르테르트,ereunseuteu hareutereuteu
joel matip,조엘 마티프,joel matipeu
carl runge,카를 룽게,kareul rungge
jessica schwarz,예시카 슈바르츠,yesika syubareuceu
iris berben,이리스 베르벤,iriseu bereuben
andrea nahles,안드레아 날레스,andeurea nalreseu
hans spemann,한스 슈페만,hanseu syupeman
christoph höhne,크리스토프 회네,keuriseutopeu hoene
anja kling,아냐 클링,anya keulring
nicolette krebitz,니콜레테 크레비츠,nikolrete keurebiceu
stefano celozzi,슈테파노 첼로치,syutepano celroci
roland freisler,롤란트 프라이슬러,rolranteu peuraiseulreo
thomas kretschmann,토마스 크레치만,tomaseu keureciman
hildegard knef,힐데가르트 크네프,hildegareuteu keunepeu
tibor pleiß,티보어 플라이스,tiboeo peulraiseu
maximilian von weichs,막시밀리안 폰 바이흐스,magsimilrian pon baiheuseu
michael schenker,미하엘 쉥커,mihael swengkeo
christine kaufmann,크리스티네 카우프만,keuriseutine kaupeuman
thomas godoj,토마스 고도이,tomaseu godoi
katrin sass,카트린 자스,kateurin jaseu
katja flint,카차 플린트,kaca peulrinteu
katharina thalbach,카타리나 탈바흐,katarina talbaheu
mathieu carrière,마티외 카리에,matioe karie
alexander klaws,알렉산더 클라우스,alregsandeo keulrauseu
gedeon burkhard,게데온 부르크하르트,gedeon bureukeuhareuteu
karl hanke,카를 항케,kareul hangke
alice schwarzer,알리체 슈바르처,alrice syubareuceo
karl kaufmann,카를 카우프만,kareul kaupeuman
john rabe,욘 라베,yon rabe
andrea sawatzki,안드레아 사바츠키,andeurea sabaceuki
heiko gerber,하이코 게르버,haiko gereubeo
ulric neisser,율릭 나이서,yulrig naiseo
ingrid krämergulbin,잉그리트 크레머,inggeuriteu keuremeo
fritz feld,프리츠 펠드,peuriceu peldeu
rolf hoppe,롤프 호페,rolpeu hope
bernhard rust,베른하르트 루스트,bereunhareuteu ruseuteu
walter röhrl,발터 뢰를,balteo roereul
hansjürgen stumpff,한스위르겐 슈툼프,hanseuwireugen syutumpeu
ruth fischer,루트 피셔,ruteu pisyeo
timo boll,티모 볼,timo bol
arthur nebe,아르투어 네베,areutueo nebe
kathrin neimke,카트린 나임케,kateurin naimke
matthias erzberger,마티아스 에르츠베르거,matiaseu ereuceubereugeo
theo albrecht,테오 알브레히트,teo albeurehiteu
gerald götting,게랄트 괴팅,geralteu goeting
patrick hausding,파트리크 하우스딩,pateurikeu hauseuding
franz ningel,프란츠 닝겔,peuranceu ninggel
marco hofschneider,마르코 호프슈나이더,mareuko hopeusyunaideo
kurt neumann,커트 뉴먼,keoteu nyumeon
klaus nomi,클라우스 노미,keulrauseu nomi
markus schulz,마르쿠스 슐츠,mareukuseu syulceu
walter schellenberg,발터 셸렌베르크,balteo syelrenbereukeu
pascalina lehnert,파스칼리나 레네르트,paseukalrina renereuteu
isolda dychauk,이졸다 뒤하우크,ijolda dwihaukeu
kurt raab,쿠르트 라프,kureuteu rapeu
friedrich paschen,프리드리히 파셴,peurideurihi pasyen
fritz wunderlich,프리츠 분더리히,peuriceu bundeorihi
philipp rösler,필리프 뢰슬러,pilripeu roeseulreo
rolf rendtorff,롤프 렌토르프,rolpeu rentoreupeu
otto georg thierack,오토 게오르크 티라크,oto georeukeu tirakeu
anna maria mühe,안나 마리아 뮈헤,anna maria mwihe
jens keller,옌스 켈러,yenseu kelreo
günther quandt,귄터 크반트,gwinteo keubanteu
josef terboven,요제프 테르보펜,yojepeu tereubopen
brigitte mohnhaupt,브리기테 몬하우프트,beurigite monhaupeuteu
horst sindermann,호르스트 진더만,horeuseuteu jindeoman
annegret richter,안네그레트 리히터,annegeureteu rihiteo
karl wolff,카를 볼프,kareul bolpeu
ralf rangnick,랄프 랑니크,ralpeu rangnikeu
rudolf kempe,루돌프 켐페,rudolpeu kempe
heide eckerrosendahl,하이데 로젠달,haide rojendal
florian henckel von donnersmarck,플로리안 헨켈 폰 도너스마르크,peulrorian henkel pon doneoseumareukeu
hans henny jahnn,한스 헤니 얀,hanseu heni yan
veronica ferres,베로니카 페레스,beronika pereseu
martin dibelius,마르틴 디벨리우스,mareutin dibelriuseu
waldemar bonsels,발데마르 본젤스,baldemareu bonjelseu
kostja ullmann,코스차 울만,koseuca ulman
ferdinand von schirach,페르디난트 폰 시라흐,pereudinanteu pon siraheu
fritz london,프리츠 론돈,peuriceu rondon
uwe daßler,우베 다슬러,ube daseulreo
paul schäfer,파울 셰퍼,paul syepeo
maxi herber,막시 헤르버,magsi hereubeo
heinrich von vietinghoff,하인리히 폰 피팅호프,hainrihi pon pitinghopeu
ilona slupianek,일로나 슬루피아네크,ilrona seulrupianekeu
michael greis,미하엘 그라이스,mihael geuraiseu
jan ullrich,얀 울리히,yan ulrihi
manfred rommel,만프레트 로멜,manpeureteu romel
eva habermann,에바 하버만,eba habeoman
carl hilpert,카를 힐페르트,kareul hilpereuteu
sandra hüller,잔드라 휠러,jandeura hwilreo
michelle,미셸,misyel
horst heldt,호르스트 헬트,horeuseuteu helteu
christian ehrhoff,크리스티안 에어호프,keuriseutian eeohopeu
natalie geisenberger,나탈리 가이젠베르거,natalri gaijenbereugeo
uwe krupp,우베 크루프,ube keurupeu
carl severing,카를 제베링,kareul jebering
menahem pressler,메나헴 프레슬러,menahem peureseulreo
jens todt,옌스 토트,yenseu toteu
guido westerwelle,기도 베스터벨레,gido beseuteobelre
rené pape,르네 파페,reune pape
hans conzelmann,한스 콘젤만,hanseu konjelman
marvin plattenhardt,마르빈 플라텐하르트,mareubin peulratenhareuteu
ulli lommel,울리 롬멜,ulri rommel
jasmin tabatabai,야스민 타바타바이,yaseumin tabatabai
katrin himmler,카트린 힘러,kateurin himreo
kristina bach,크리스티나 바흐,keuriseutina baheu
else laskerschüler,엘제 라스커쉴러,elje raseukeoswilreo
august horch,아우구스트 호르히,auguseuteu horeuhi
kamil glik,카밀 글리크,kamil geulrikeu
wilhelm stuckart,빌헬름 슈투카르트,bilhelreum syutukareuteu
otto carius,오토 카리우스,oto kariuseu
erich köhler,에리히 쾰러,erihi koelreo
bruno streckenbach,브루노 슈트레켄바흐,beuruno syuteurekenbaheu
martin chemnitz,마르틴 켐니츠,mareutin kemniceu
tobias sammet,토비아스 사멧,tobiaseu sames
julius schreck,율리우스 시레크,yulriuseu sirekeu
sebastian koch,제바스티안 코흐,jebaseutian koheu
heinrich müller,하인리히 뮐러,hainrihi mwilreo
katarina witt,카타리나 비트,katarina biteu
dimitrij ovtcharov,디미트리 옵차로프,dimiteuri obcaropeu
claudia leistner,클라우디아 라이슈트너,keulraudia raisyuteuneo
robert schwentke,로베르트 슈벤트케,robereuteu syubenteuke
emil schürer,에밀 쉬러,emil swireo
ilse koch,일제 코흐,ilje koheu
nicole struse,니콜 슈트루제,nikol syuteuruje
dieter laser,디터 라저,diteo rajeo
thomas bach,토마스 바흐,tomaseu baheu
andré schürrle,안드레 쉬를레,andeure swireulre
daniel brühl,다니엘 브륄,daniel beurwil
ernst röhm,에른스트 룀,ereunseuteu roem
franz müntefering,프란츠 뮌터페링,peuranceu mwinteopering
moritz bleibtreu,모리츠 블라이프트로이,moriceu beulraipeuteuroi
maria schrader,마리아 슈라더,maria syuradeo
ingrid caven,잉그리드 카벤,inggeurideu kaben
christoph schubert,크리스토프 슈베르트,keuriseutopeu syubereuteu
nora tschirner,노라 치르너,nora cireuneo
hans hotter,한스 호터,hanseu hoteo
hans fritzsche,한스 프리체,hanseu peurice
karl gebhardt,카를 게프하르트,kareul gepeuhareuteu
ernst august von hannover,에른스트 아우구스트 폰 하노버,ereunseuteu auguseuteu pon hanobeo
david kross,다비트 크로스,dabiteu keuroseu
holger behrendt,홀거 베렌트,holgeo berenteu
natalia wörner,나탈리아 뵈르너,natalria boereuneo
tobias regner,토비아스 레그너,tobiaseu regeuneo
walter giller,발터 길러,balteo gilreo
robert ley,로베르트 라이,robereuteu rai
anton dostler,안톤 도슈틀러,anton dosyuteulreo
friedrich august von finck,프리드리히 아우구스트 폰 피흐,peurideurihi auguseuteu pon piheu
cornelia froboess,코르넬리아 프로뵈스,koreunelria peuroboeseu
friedrich wilhelm gotter,프리드리히 빌헬름 고터,peurideurihi bilhelreum goteo
arthur rudolph,아르투어 루돌프,areutueo rudolpeu
marcel goc,마르셀 고치,mareusel goci
juliane köhler,율리아네 쾰러,yulriane koelreo
otto braun,오토 브라운,oto beuraun
robert förster,로베르트 푀르스터,robereuteu poereuseuteo
bettina zimmermann,베티타 치머만,betita cimeoman
martina müller,마르티나 뮐러,mareutina mwilreo
oskar dirlewanger,오스카르 디를레방거,oseukareu direulrebanggeo
günther rall,귄터 랄,gwinteo ral
marco sturm,마르코 슈투름,mareuko syutureum
thomas nipperdey,토마스 니퍼다이,tomaseu nipeodai
wolfgang borchert,볼프강 보르헤르트,bolpeugang boreuhereuteu
heinz linge,하인츠 링에,hainceu ringe
arthur scherbius,아르투르 슈르비우스,areutureu syureubiuseu
andreas krieger,안드레아스 크리거,andeureaseu keurigeo
simone laudehr,지모네 라우더,jimone raudeo
daniel fridman,다니엘 프리드만,daniel peurideuman
margit carstensen,마르기트 카르스텐센,mareugiteu kareuseutensen
kurt symanzik,쿠르트 쥐만치크,kureuteu jwimancikeu
gerd von rundstedt,게르트 폰 룬트슈테트,gereuteu pon runteusyuteteu
karlotto apel,카를오토 아펠,kareuloto apel
simone hauswald,지모네 하우스발트,jimone hauseubalteu
jens voigt,옌스 포이크트,yenseu poikeuteu
hans georg dehmelt,한스 게오르크 데멜트,hanseu georeukeu demelteu
anton malloth,안톤 말로트,anton malroteu
hans hermann von katte,한스 헤르만 폰 카테,hanseu hereuman pon kate
maik bullmann,마이크 불만,maikeu bulman
serge gnabry,세르주 그나브리,sereuju geunabeuri
hanswilhelm müllerwohlfahrt,한스빌헬름 뮐러볼파르트,hanseubilhelreum mwilreobolpareuteu
per mertesacker,페어 메르테자커,peeo mereutejakeo
mark keller,마르크 켈러,mareukeu kelreo
ole bischof,올레 비쇼프,olre bisyopeu
wilhelm ritter von leeb,빌헬름 폰 레프 기사,bilhelreum pon repeu gisa
robin szolkowy,로빈 숄코비,robin syolkobi
doris schröderköpf,도리스 슈뢰더쾨프,doriseu syuroedeokoepeu
fedor von bock,페도어 폰 보크,pedoeo pon bokeu
walter model,발터 모델,balteo model
heinz guderian,하인츠 구데리안,hainceu guderian
anni friesingerpostma,아니 프리징거포스트마,ani peurijinggeoposeuteuma
hartwig gauder,하르트비히 가우더,hareuteubihi gaudeo
hannah arendt,한나 아렌트,hanna arenteu
herbert marcuse,헤르베르트 마르쿠제,hereubereuteu mareukuje
gottlob frege,고틀로프 프레게,goteulropeu peurege
stephan schröck,슈테판 슈뢰크,syutepan syuroekeu
theo jörgensmann,테오 요르겐스만,teo yoreugenseuman
udo dirkschneider,우도 디르크슈나이더,udo direukeusyunaideo
babett peter,바베트 페터,babeteu peteo
hans denck,한스 뎅크,hanseu dengkeu
heidi klum,하이디 클룸,haidi keulrum
gerhard ertl,게르하르트 에르틀,gereuhareuteu ereuteul
gabriel heinze,가브리엘 에인세,gabeuriel einse
sarah connor,사라 코너,sara koneo
arne friedrich,아르네 프리드리히,areune peurideurihi
sibel kekilli,지벨 케킬리,jibel kekilri
peter gay,피터 게이,piteo gei
christian petzold,크리스티안 페촐트,keuriseutian pecolteu
frank giering,프랑크 기링,peurangkeu giring
lutz heßlich,루츠 헤슬리히,ruceu heseulrihi
ulrich matthes,울리히 마테스,ulrihi mateseu
pasquale passarelli,파스쿠알레 파사렐리,paseukualre pasarelri
rolf carls,롤프 카를스,rolpeu kareulseu
david katz,데이비드 카츠,deibideu kaceu
ernst jacobi,에른스트 야코비,ereunseuteu yakobi
hans frank,한스 프랑크,hanseu peurangkeu
konrad zuse,콘라트 추제,konrateu cuje
otto von guericke,오토 폰 게리케,oto pon gerike
marcel schlutt,마르셀 슐루트,mareusel syulruteu
irma grese,이르마 그레제,ireuma geureje
serdar taşçı,세르다르 타쉬츠,sereudareu taswiceu
andré hennicke,안드레 헤니케,andeure henike
oswald mathias ungers,오스발트 마티아스 웅거스,oseubalteu matiaseu unggeoseu
paul panzer,폴 팬저,pol paenjeo
bernhard von bülow,베른하르트 폰 뷜로,bereunhareuteu pon bwilro
günter blobel,권터 블로벨,gweonteo beulrobel
roland emmerich,롤란트 에머리히,rolranteu emeorihi
gerhard ebeling,게하르트 에벨링,gehareuteu ebelring
michael gwisdek,미하엘 그비스데크,mihael geubiseudekeu
manuela schwesig,마누엘라 슈베지히,manuelra syubejihi
carlo ljubek,카를로 류베크,kareulro ryubekeu
max amann,막스 아만,magseu aman
christian träsch,크리스티안 트레슈,keuriseutian teuresyu
eckhart tolle,에크하르트 톨레,ekeuhareuteu tolre
hermann scherchen,헤르만 셰르헨,hereuman syereuhen
ernst kretschmer,에른스트 크레치머,ereunseuteu keurecimeo
conrad schumann,콘라트 슈만,konrateu syuman
aby warburg,아비 바르부르크,abi bareubureukeu
roberto hilbert,로베르토 힐버트,robereuto hilbeoteu
britta heidemann,브리타 하이데만,beurita haideman
julia jentsch,율리아 옌치,yulria yenci
assani lukimya,아사니 루키미아물롱고티,asani rukimiamulronggoti
leo weisgerber,레오 바이스게르버,reo baiseugereubeo
frederick lau,프레더릭 라우,peuredeorig rau
dietrich eckart,디트리히 에카르트,diteurihi ekareuteu
wilhelm backhaus,빌헬름 박하우스,bilhelreum baghauseu
alexander von kluck,알렉산데르 폰 클루크,alregsandereu pon keulrukeu
wolf kahler,볼프 칼러,bolpeu kalreo
lou bega,루 베가,ru bega
paul biedermann,파울 비더만,paul bideoman
jürgen moltmann,위르겐 몰트만,wireugen molteuman
wilhelm herrmann,빌헬름 헤르만,bilhelreum hereuman
carlo schmid,카를로 슈미트,kareulro syumiteu
gunda niemannstirnemann,군다 니만슈티르네만,gunda nimansyutireuneman
ernst troeltsch,에른스트 트뢸치,ereunseuteu teuroelci
karl korsch,카를 코르슈,kareul koreusyu
