кирилл,基里尔,jī lǐ ěr
абинск,阿宾斯克,ā bīn sī kè
осетия,奥塞梯,ào sāi tī
красноуральск,克拉斯诺乌拉尔斯克,kè lā sī nuò wū lā ěr sī kè
краснозаводск,克拉斯诺扎沃茨克,kè lā sī nuò zhā wò cí kè
краснознаменск,克拉斯诺兹纳缅斯克,kè lā sī nuò zī nà miǎn sī kè
демянск,杰米扬斯克,jié mǐ yáng sī kè
лиман,利曼,lì màn
кувандык,库万德克,kù wàn dé kè
кубинка,库宾卡,kù bīn kǎ
кувшиново,库夫希诺沃,kù fū xī nuò wò
аэрофлоткарго,俄罗斯货运航空,é luó sī huò yùn háng kōng
колывань,科雷万,kē léi wàn
красноуфимск,克拉斯诺乌菲姆斯克,kè lā sī nuò wū fēi mǔ sī kè
новошахтинск,新沙赫京斯克,xīn shā hè jīng sī kè
кошка,科什卡亚山,kē shén kǎ yà shān
малошуйка,小舒伊卡,xiǎo shū yī kǎ
анжи,马哈奇卡拉安郅足球俱乐部,mǎ hā qí kǎ lā ān zhì zú qiú jù lè bù
подольск,波多利斯克,bō duō lì sī kè
симферополь,辛菲罗波尔,xīn fēi luó bō ěr
кремёнки,克列苗恩基,kè liè miáo ēn jī
кронштадт,喀琅施塔得,kā láng shī tǎ dé
кстово,克斯托沃,kè sī tuō wò
забайкальск,外贝加尔斯克,wài bèi jiā ěr sī kè
кулшариф,库尔沙里夫清真寺,kù ěr shā lǐ fū qīng zhēn sì
интерфакс,国际文传电讯社,guó jì wén chuán diàn xùn shè
палтога,帕托加,pà tuō jiā
купино,库皮诺,kù pí nuò
курильск,库里尔斯克,kù lǐ ěr sī kè
курлово,库尔洛沃,kù ěr luò wò
куровское,库罗夫斯科耶,kù luó fū sī kē yē
куртамыш,库尔塔梅什,kù ěr tǎ méi shén
кудымкар,库德姆卡尔,kù dé mǔ kǎ ěr
кунгур,昆古尔,kūn gǔ ěr
калинка,雪球花,xuě qiú huā
кулебаки,库列巴基,kù liè bā jī
кузнецк,库兹涅茨克,kù zī niè cí kè
куйбышев,古比雪夫,gǔ bǐ xuě fū
афипский,阿菲普斯基,ā fēi pǔ sī jī
черский,切尔斯基,qiè ěr sī jī
кумертау,库梅尔套,kù méi ěr tào
кяхта,恰克图,qià kè tú
кыштым,克什特姆,kè shén tè mǔ
лабытнанги,拉贝特南吉,lā bèi tè nán jí
мытищи,梅季希,méi jì xī
ладушкин,拉杜什金,lā dù shén jīn
рамонь,拉蒙,lā méng
голицыны,戈利岑家族,gē lì cén jiā zú
черногорск,切尔诺戈尔斯克,qiè ěr nuò gē ěr sī kè
кушва,库什瓦,kù shén wǎ
куса,库萨,kù sà
находка,纳霍德卡,nà huò dé kǎ
майский,迈斯基,mài sī jī
лангепас,兰格帕斯,lán gé pà sī
керчь,刻赤,kè chì
лермонтов,莱蒙托夫,lái méng tuō fū
ленск,连斯克,lián sī kè
ликинодулёво,利基诺杜廖沃,lì jī nuò dù liào wò
лесосибирск,列索西比尔斯克,liè suǒ xī bǐ ěr sī kè
ливны,利夫内,lì fū nèi
лахденпохья,拉赫坚波希亚,lā hè jiān bō xī yà
футуризм,未来主义,wèi lái zhǔ yì
ленинск,列宁斯克,liè níng sī kè
лениногорск,列宁诺戈尔斯克,liè níng nuò gē ěr sī kè
лебедянь,列别姜,liè bié jiāng
ленинсккузнецкий,列宁斯克库兹涅茨基,liè níng sī kè kù zī niè cí jī
лесозаводск,列索扎沃茨克,liè suǒ zhā wò cí kè
зюраткуль,久拉特库尔国家公园,jiǔ lā tè kù ěr guó jiā gōng yuán
сербы,塞尔维亚族,sāi ěr wéi yà zú
ялта,雅尔塔,yǎ ěr tǎ
лагань,拉甘,lā gān
лаишево,莱舍沃,lái shè wò
агинское,阿金斯科耶,ā jīn sī kē yē
борисоглебск,鲍里索格列布斯克,bào lǐ suǒ gé liè bù sī kè
липки,利普基,lì pǔ jī
лиски,利斯基,lì sī jī
кадошкино,卡多什基诺,kǎ duō shén jī nuò
дербент,杰尔宾特,jié ěr bīn tè
лесной,列斯诺伊,liè sī nuò yī
лихославль,利霍斯拉夫尔,lì huò sī lā fū ěr
лобня,洛布尼亚,luò bù ní yà
лосинопетровский,洛西诺彼得罗夫斯基,luò xī nuò bǐ dé luó fū sī jī
луховицы,卢霍维齐,lú huò wéi qí
ломоносов,罗蒙诺索夫,luó méng nuò suǒ fū
буй,布伊,bù yī
буйнакск,布伊纳克斯克,bù yī nà kè sī kè
бутурлиновка,布图尔利诺夫卡,bù tú ěr lì nuò fū kǎ
валдай,瓦尔代,wǎ ěr dài
малоархангельск,小阿尔汉格尔斯克,xiǎo ā ěr hàn gé ěr sī kè
малоярославец,小雅罗斯拉韦茨,xiǎo yǎ luó sī lā wéi cí
бронницы,布龙尼齐,bù lóng ní qí
боровск,博罗夫斯克,bó luó fū sī kè
боровичи,博罗维奇,bó luó wéi qí
велиж,韦利日,wéi lì rì
валуйки,瓦卢伊基,wǎ lú yī jī
малмыж,马尔梅日,mǎ ěr méi rì
бородино,博罗季诺,bó luó jì nuò
братск,布拉茨克,bù lā cí kè
макарьев,马卡里耶夫,mǎ kǎ lǐ yē fū
макаров,马卡罗夫,mǎ kǎ luó fū
эрмитаж,埃尔米塔日博物馆,āi ěr mǐ tǎ rì bó wù guǎn
лысково,雷斯科沃,léi sī kē wò
лысьва,雷西瓦,léi xī wǎ
мамадыш,马马德什,mǎ mǎ dé shén
льгов,利戈夫,lì gē fū
лыткарино,雷特卡里诺,léi tè kǎ lǐ nuò
любим,柳比姆,liǔ bǐ mǔ
правдинский,普拉夫金斯基,pǔ lā fū jīn sī jī
айхал,艾哈尔,ài hā ěr
мегион,梅吉翁,méi jí wēng
мглин,姆格林,mǔ gé lín
бугульма,布古利马,bù gǔ lì mǎ
будённовск,布琼诺夫斯克,bù qióng nuò fū sī kè
бугуруслан,布古鲁斯兰,bù gǔ lǔ sī lán
людиново,柳季诺沃,liǔ jì nuò wò
буинск,布因斯克,bù yīn sī kè
лянтор,良托尔,liáng tuō ěr
вознесенье,沃兹涅谢尼耶,wò zī niè xiè ní yē
махнёво,马赫尼奥沃,mǎ hè ní ào wò
малышева,马雷舍瓦,mǎ léi shè wǎ
медногорск,梅德诺戈尔斯克,méi dé nuò gē ěr sī kè
медвежьегорск,梅德韦日耶戈尔斯克,méi dé wéi rì yē gē ěr sī kè
видное,维德诺耶,wéi dé nuò yē
вилюйск,维柳伊斯克,wéi liǔ yī sī kè
макушино,马库希诺,mǎ kù xī nuò
вешкайма,韦什凯马,wéi shén kǎi mǎ
вельск,韦利斯克,wéi lì sī kè
малгобек,马尔戈别克,mǎ ěr gē bié kè
верещагино,韦列夏吉诺,wéi liè xià jí nuò
верея,韦列亚,wéi liè yà
венёв,韦尼奥夫,wéi ní ào fū
февральск,费夫拉利斯克,fèi fū lā lì sī kè
верхнеуральск,上乌拉尔斯克,shàng wū lā ěr sī kè
мамоново,马莫诺沃,mǎ mò nuò wò
мантурово,曼图罗沃,màn tú luó wò
кубань,克拉斯诺达尔库班足球俱乐部,kè lā sī nuò dá ěr kù bān zú qiú jù lè bù
коломна,科洛姆纳,kē luò mǔ nà
междуреченск,梅日杜列琴斯克,méi rì dù liè qín sī kè
межгорье,梅日戈里耶,méi rì gē lǐ yē
минусинск,米努辛斯克,mǐ nǔ xīn sī kè
ленфильм,列宁格勒电影制片厂,liè níng gé lè diàn yǐng zhì piàn chǎng
медынь,梅登,méi dēng
меленки,梅连基,méi lián jī
мезень,梅津,méi jīn
мелеуз,梅列乌兹,méi liè wū zī
аян,阿扬,ā yáng
алания,弗拉季高加索阿拉尼亚足球俱乐部,fú lā jì gāo jiā suǒ ā lā ní yà zú qiú jù lè bù
верхотурье,韦尔霍图里耶,wéi ěr huò tú lǐ yē
верхоянск,上扬斯克,shàng yáng sī kè
кусково,库斯科沃,kù sī kē wò
весьегонск,韦西耶贡斯克,wéi xī yē gòng sī kè
ветлуга,韦特卢加,wéi tè lú jiā
мензелинск,缅泽林斯克,miǎn zé lín sī kè
мещовск,梅晓夫斯克,méi xiǎo fū sī kè
менделеевск,门捷列夫斯克,mén jié liè fū sī kè
могоча,莫戈恰,mò gē qià
будогощь,布多戈希,bù duō gē xī
зеленогорский,泽列诺戈尔斯基,zé liè nuò gē ěr sī jī
миллерово,米列罗沃,mǐ liè luó wò
микунь,米昆,mǐ kūn
вичуга,维丘加,wéi qiū jiā
вилючинск,维柳钦斯克,wéi liǔ qīn sī kè
вихоревка,维霍列夫卡,wéi huò liè fū kǎ
миньяр,米尼亚尔,mǐ ní yà ěr
волгодонск,伏尔加顿斯克,fú ěr jiā dùn sī kè
михайловка,米哈伊洛夫卡,mǐ hā yī luò fū kǎ
михайлов,米哈伊洛夫,mǐ hā yī luò fū
михайловск,米哈伊洛夫斯克,mǐ hā yī luò fū sī kè
камов,卡莫夫设计局,kǎ mò fū shè jì jú
мичуринск,米丘林斯克,mǐ qiū lín sī kè
моршанск,莫尔尚斯克,mò ěr shàng sī kè
шойна,绍伊纳,shào yī nà
яшкино,亚什基诺,yà shén jī nuò
аник,阿尼克山,ā ní kè shān
володарск,沃洛达尔斯克,wò luò dá ěr sī kè
вуктыл,武克特尔,wǔ kè tè ěr
волжск,沃尔日斯克,wò ěr rì sī kè
уральский,乌拉尔斯基,wū lā ěr sī jī
свободный,斯沃博德内,sī wò bó dé nèi
протон,质子运载火箭,zhì zǐ yùn zài huǒ jiàn
камаз,卡马汽车厂,kǎ mǎ qì chē chǎng
волгореченск,伏尔加列琴斯克,fú ěr jiā liè qín sī kè
можга,莫日加,mò rì jiā
можайск,莫扎伊斯克,mò zhā yī sī kè
мончегорск,蒙切戈尔斯克,méng qiè gē ěr sī kè
морозовск,莫罗佐夫斯克,mò luó zuǒ fū sī kè
алупка,阿卢普卡,ā lú pǔ kǎ
вольск,沃利斯克,wò lì sī kè
мосальск,莫萨利斯克,mò sà lì sī kè
муравленко,穆拉夫连科,mù lā fū lián kē
московский,莫斯科夫斯基,mò sī kē fū sī jī
ворсма,沃尔斯马,wò ěr sī mǎ
воркута,沃尔库塔,wò ěr kù tǎ
карабаново,卡拉巴诺沃,kǎ lā bā nuò wò
воскресенск,沃斯克列先斯克,wò sī kè liè xiān sī kè
воткинск,沃特金斯克,wò tè jīn sī kè
высоковск,维索科夫斯克,wéi suǒ kē fū sī kè
выкса,维克萨,wéi kè sà
саки,萨基,sà jī
похвистнево,波赫维斯特涅沃,bō hè wéi sī tè niè wò
красноперекопск,克拉斯诺彼列科普斯克,kè lā sī nuò bǐ liè kē pǔ sī kè
вяземский,维亚泽姆斯基,wéi yà zé mǔ sī jī
луганск,卢甘斯克,lú gān sī kè
муром,穆罗姆,mù luó mǔ
мураши,穆拉希,mù lā xī
вязники,维亚兹尼基,wéi yà zī ní jī
гавриловям,加夫里洛夫亚姆,jiā fū lǐ luò fū yà mǔ
мценск,姆岑斯克,mǔ cén sī kè
мышкин,梅什金,méi shén jīn
стрельна,斯特列利纳,sī tè liè lì nà
приамурье,外东北,wài dōng běi
прохоровка,普洛霍罗夫卡,pǔ luò huò luó fū kǎ
гагарин,加加林,jiā jiā lín
гаджиево,加吉耶沃,jiā jí yē wò
восход,沃斯霍德,wò sī huò dé
сосьва,索西瓦,suǒ xī wǎ
юдиттенкирха,尤迪滕教堂,yóu dí téng jiào táng
глазов,格拉佐夫,gé lā zuǒ fū
горбатов,戈尔巴托夫,gē ěr bā tuō fū
горнозаводск,戈尔诺扎沃茨克,gē ěr nuò zhā wò cí kè
голицыно,戈利齐诺,gē lì qí nuò
гай,加伊,jiā yī
галич,加利奇,jiā lì qí
гдов,格多夫,gé duō fū
раменское,拉缅斯科耶,lā miǎn sī kē yē
дыхтау,德赫套山,dé hè tào shān
навашино,纳瓦希诺,nà wǎ xī nuò
наволоки,纳沃洛基,nà wò luò jī
назарово,纳扎罗沃,nà zhā luó wò
городище,戈罗季谢,gē luó jì xiè
городовиковск,戈罗多维科夫斯克,gē luó duō wéi kē fū sī kè
городец,戈罗杰茨,gē luó jié cí
губкинский,古布金斯基,gǔ bù jīn sī jī
жешарт,热沙尔特,rè shā ěr tè
нарткала,纳尔特卡拉,nà ěr tè kǎ lā
кижи,基日岛的木结构教堂,jī rì dǎo de mù jié gòu jiào táng
гороховец,戈罗霍韦茨,gē luó huò wéi cí
грайворон,格赖沃龙,gé lài wò lóng
гремячинск,格列米亚钦斯克,gé liè mǐ yà qīn sī kè
грязовец,格里亚佐韦茨,gé lǐ yà zuǒ wéi cí
грязи,格里亚济,gé lǐ yà jì
называевск,纳济瓦耶夫斯克,nà jì wǎ yē fū sī kè
назрань,纳兹兰,nà zī lán
нариманов,纳里曼诺夫,nà lǐ màn nuò fū
губкин,古布金,gǔ bù jīn
губаха,古巴哈,gǔ bā hā
нарофоминск,纳罗福明斯克,nà luó fú míng sī kè
гуково,古科沃,gǔ kē wò
гудермес,古杰尔梅斯,gǔ jié ěr méi sī
гурьевск,古里耶夫斯克,gǔ lǐ yē fū sī kè
невель,涅韦尔,niè wéi ěr
гусиноозёрск,古西诺奥泽尔斯克,gǔ xī nuò ào zé ěr sī kè
гусьхрустальный,古西赫鲁斯塔利内,gǔ xī hè lǔ sī tǎ lì nèi
невельск,涅韦尔斯克,niè wéi ěr sī kè
невинномысск,涅温诺梅斯克,niè wēn nuò méi sī kè
невьянск,涅维扬斯克,niè wéi yáng sī kè
давлеканово,达夫列卡诺沃,dá fū liè kǎ nuò wò
далматово,达尔马托沃,dá ěr mǎ tuō wò
узбеки,乌孜别克族,wū zī bié kè zú
аврора,阿芙乐尔号巡洋舰,ā fú lè ěr hào xún yáng jiàn
дедовск,杰多夫斯克,jié duō fū sī kè
орлов,奥尔洛夫,ào ěr luò fū
глонасс,格洛纳斯系统,gé luò nà sī xì tǒng
дальнереченск,达利涅列琴斯克,dá lì niè liè qín sī kè
данков,丹科夫,dān kē fū
данилов,丹尼洛夫,dān ní luò fū
таганрог,塔甘罗格,tǎ gān luó gé
тобольск,托博尔斯克,tuō bó ěr sī kè
рубин,喀山红宝石足球俱乐部,kā shān hóng bǎo shí zú qiú jù lè bù
нижневартовск,下瓦尔托夫斯克,xià wǎ ěr tuō fū sī kè
нижнекамск,下卡姆斯克,xià kǎ mǔ sī kè
нефтекамск,涅夫捷卡姆斯克,niè fū jié kǎ mǔ sī kè
нефтекумск,涅夫捷库姆斯克,niè fū jié kù mǔ sī kè
нефтеюганск,涅夫捷尤甘斯克,niè fū jié yóu gān sī kè
нея,涅亚,niè yà
нерехта,涅列赫塔,niè liè hè tǎ
нелидово,涅利多沃,niè lì duō wò
нерюнгри,涅留恩格里,niè liú ēn gé lǐ
нестеров,涅斯捷罗夫,niè sī jié luó fū
нефтегорск,涅夫捷戈尔斯克,niè fū jié gē ěr sī kè
нижнеудинск,下乌金斯克,xià wū jīn sī kè
юрино,尤里诺,yóu lǐ nuò
архара,阿尔哈拉,ā ěr hā lā
белоозёрский,别洛奥焦尔斯基,bié luò ào jiāo ěr sī jī
гопники,高普尼克,gāo pǔ ní kè
николаевск,尼古拉耶夫斯克,ní gǔ lā yē fū sī kè
николаевскнаамуре,庙街,miào jiē
мидланд,米德兰车队,mǐ dé lán chē duì
никольск,尼科利斯克,ní kē lì sī kè
новоалександровск,新亚历山德罗夫斯克,xīn yà lì shān dé luó fū sī kè
новоалтайск,新阿尔泰斯克,xīn ā ěr tài sī kè
маруся,玛鲁西亚车队,mǎ lǔ xī yà chē duì
новоаннинский,新安宁斯基,xīn ān níng sī jī
северсталь,北方钢铁,běi fāng gāng tiě
плесецк,普列谢茨克,pǔ liè xiè cí kè
нововоронеж,新沃罗涅日,xīn wò luó niè rì
мангазея,曼加泽亚,màn jiā zé yà
новодвинск,新德文斯克,xīn dé wén sī kè
новокуйбышевск,新古比雪夫斯克,xīn gǔ bǐ xuě fū sī kè
лежнево,列日涅沃,liè rì niè wò
анаун,阿纳温火山,ā nà wēn huǒ shān
мордовия,莫尔多瓦萨兰斯克足球俱乐部,mò ěr duō wǎ sà lán sī kè zú qiú jù lè bù
новопавловск,新巴甫洛夫斯克,xīn bā fǔ luò fū sī kè
новомосковск,新莫斯科夫斯克,xīn mò sī kē fū sī kè
новоржев,新勒热夫,xīn lè rè fū
новосиль,诺沃西利,nuò wò xī lì
новомичуринск,新米丘林斯克,xīn mǐ qiū lín sī kè
новосокольники,新索科利尼基,xīn suǒ kē lì ní jī
