マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
ホリエ,堀江,MODIFIED,kū jiāng,horie
シンボウ,新房,MODIFIED,xīn fáng,shinbou
アキユキ,昭之,MODIFIED,zhāo zhī,akiyuki
ヒサコ,寿子,MODIFIED,shòu zǐ,hisako
キヨシ,清,MODIFIED,qīng,kiyoshi
コン,昆,MODIFIED,kūn,kon
ミヤザキ,宫崎,MODIFIED,gōng qí,miyazaki
シュン,骏,MODIFIED,jùn,shun
タイショウ,大正,MODIFIED,dà zhèng,taishou
テンノウ,天皇,MODIFIED,tiān huáng,tennou
ノヨリ,野依,MODIFIED,yě yī,noyori
ヨシハル,良治,MODIFIED,liáng zhì,yoshiharu
ノウミタケシ,乃海刚司,MODIFIED,nǎi hǎi gāng sī,noumitakeshi
リュウノスケ,龙之介,MODIFIED,lóng zhī jiè,ryuunosuke
アキタ,秋田,MODIFIED,qiū tián,akita
ウジャク,雨雀,MODIFIED,yǔ què,ujaku
コトノ,琴乃,MODIFIED,qín nǎi,kotono
ツヨシ,彊,MODIFIED,qiáng,tsuyoshi
カツラフトシ,桂太,MODIFIED,guì tài,katsurafutoshi
ロウ,郎,MODIFIED,láng,rou
スギハラ,杉原,MODIFIED,shān yuán,sugihara
ダテ,伊达,MODIFIED,yī dá,date
チュウムネ,忠宗,MODIFIED,zhōng zōng,chuumune
フチタ,渊田,MODIFIED,yuān tián,fuchita
ミツオ,美津雄,MODIFIED,měi jīn xióng,mitsuo
キキョウ,贵教,MODIFIED,guì jiào,kikyou
トヨトミ,丰臣,MODIFIED,fēng chén,toyotomi
ヒデヨシ,秀吉,MODIFIED,xiù jí,hideyoshi
ワタナベ,渡边,MODIFIED,dù biān,watanabe
マユ,麻友,MODIFIED,má yǒu,mayu
クリタ,栗田,MODIFIED,lì tián,kurita
タケオ,健男,MODIFIED,jiàn nán,takeo
カタヤマ,片山,MODIFIED,piàn shān,katayama
トラノスケ,虎之助,MODIFIED,hǔ zhī zhù,toranosuke
ハマザキ,滨崎,MODIFIED,bīn qí,hamazaki
アユミ,步,MODIFIED,bù,ayumi
アンノ,庵野,MODIFIED,ān yě,anno
ヒデアキ,秀明,MODIFIED,xiù míng,hideaki
マツサカ,松坂,MODIFIED,sōng bǎn,matsusaka
ダイスケ,大辅,MODIFIED,dà fǔ,daisuke
タケヨシ,武吉,MODIFIED,wǔ jí,takeyoshi
コヅ,小津,MODIFIED,xiǎo jīn,kodzu
ミゾグチ,沟口,MODIFIED,gōu kǒu,mizoguchi
ミヤザワ,宫泽,MODIFIED,gōng zé,miyazawa
ケンジ,贤治,MODIFIED,xián zhì,kenji
タテヤマ,馆山,MODIFIED,guǎn shān,tateyama
ショウヘイ,昌平,MODIFIED,chāng píng,shouhei
ナギサ,渚,MODIFIED,zhǔ,nagisa
カノウ,嘉纳,MODIFIED,jiā nà,kanou
チュウジョウ,中条,MODIFIED,zhōng tiáo,chuujou
ジミ,自见,MODIFIED,zì jiàn,jimi
モリユウ,森有,MODIFIED,sēn yǒu,moriyuu
タダシ,正,MODIFIED,zhèng,tadashi
アキマサ,明正,MODIFIED,míng zhèng,akimasa
ヌカタ,额田,MODIFIED,é tián,nukata
オウ,姬王,MODIFIED,jī wáng,ou
ウチダ,内田,MODIFIED,nèi tián,uchida
リョウヘイ,良平,MODIFIED,liáng píng,ryouhei
ミナモトヨリユキ,源赖,MODIFIED,yuán lài,minamotoyoriyuki
セイ,政,MODIFIED,zhèng,sei
オオスガ,大菅,MODIFIED,dà jiān,oosuga
ナガタニ,长谷,MODIFIED,cháng gǔ,nagatani
ブマコト,部诚,MODIFIED,bù chéng,bumakoto
ソタ,曾田,MODIFIED,céng tián,sota
ゼンヒョウエ,善兵卫,MODIFIED,shàn bīng wèi,zenhyoue
ナンブ,南部,MODIFIED,nán bù,nanbu
マサキ,真崎,MODIFIED,zhēn qí,masaki
コウ,航,MODIFIED,háng,kou
シバザキ,柴崎,MODIFIED,chái qí,shibazaki
メグミジ,惠次,MODIFIED,huì cì,megumiji
ヒエタ,稗田,MODIFIED,bài tián,hieta
アレイ,阿礼,MODIFIED,ā lǐ,arei
エンドウ,远藤,MODIFIED,yuǎn téng,endou
アリオカ,有冈,MODIFIED,yǒu gāng,arioka
ダイタカ,大贵,MODIFIED,dà guì,daitaka
マサノブ,正信,MODIFIED,zhèng xìn,masanobu
タニグチ,谷口,MODIFIED,gǔ kǒu,taniguchi
タケウチ,竹内,MODIFIED,zhú nèi,takeuchi
メンタイロウ,明太郎,MODIFIED,míng tài láng,mentairou
カツノリ,克则,MODIFIED,kè zé,katsunori
ノダ,野田,MODIFIED,yě tián,noda
ヨシヒコ,佳彦,MODIFIED,jiā yàn,yoshihiko
ゲンハ,玄叶,MODIFIED,xuán yè,genha
リョウフト,谅太,MODIFIED,liàng tài,ryoufuto
ヒデオ,英夫,MODIFIED,yīng fū,hideo
ススムワレ,晋吾,MODIFIED,jìn wú,susumuware
カンヨシ,菅义,MODIFIED,jiān yì,kanyoshi
エラ,伟,MODIFIED,wěi,era
ヒロシブ,广部,MODIFIED,guǎng bù,hiroshibu
コウテル,好辉,MODIFIED,hǎo huī,kouteru
コウショウ,后小,MODIFIED,hòu xiǎo,koushou
マツテンノウ,松天皇,MODIFIED,sōng tiān huáng,matsutennou
ヤオ,矢尾,MODIFIED,shǐ wěi,yao
トウノ,东野,MODIFIED,dōng yě,touno
ケイゴ,圭吾,MODIFIED,guī wú,keigo
コヤマ,小山,MODIFIED,xiǎo shān,koyama
キヨシゲ,清茂,MODIFIED,qīng mào,kiyoshige
コヅカ,小冢,MODIFIED,xiǎo zhǒng,kodzuka
タケハル,武春,MODIFIED,wǔ chūn,takeharu
ヨオモネ,世阿,MODIFIED,shì ā,yoomone
ワタル,弥,MODIFIED,mí,wataru
レナ,玲奈,MODIFIED,líng nài,rena
シマザキ,岛崎,MODIFIED,dǎo qí,shimazaki
ハタタスク,秦佐,MODIFIED,qín zuǒ,hatatasuku
カズコ,和子,MODIFIED,hé zǐ,kazuko
タクマ,琢磨,MODIFIED,zhuó mó,takuma
タイムネ,泰宗,MODIFIED,tài zōng,taimune
アマチ,天知,MODIFIED,tiān zhī,amachi
ブンヤ,文屋,MODIFIED,wén wū,bunya
ヤスヒデ,康秀,MODIFIED,kāng xiù,yasuhide
ユウスケ,祐辅,MODIFIED,yòu fǔ,yuusuke
ウエハラ,上原,MODIFIED,shàng yuán,uehara
ユウサク,勇作,MODIFIED,yǒng zuò,yuusaku
シバタ,柴田,MODIFIED,chái tián,shibata
マツイ,松井,MODIFIED,sōng jǐng,matsui
ホシノ,星野,MODIFIED,xīng yě,hoshino
イヌイタカ,干贵,MODIFIED,gān guì,inuitaka
シ,士,MODIFIED,shì,shi
ヒカ,比嘉,MODIFIED,bǐ jiā,hika
リカルド,列卡度,MODIFIED,liè kǎ dù,rikarudo
シュンスケ,俊辅,MODIFIED,jùn fǔ,shunsuke
テヅカ,手冢,MODIFIED,shǒu zhǒng,tedzuka
オサム,治虫,MODIFIED,zhì chóng,osamu
ムサシ,武藏,MODIFIED,wǔ cáng,musashi
アソウ,麻生,MODIFIED,má shēng,asou
サクラウチ,樱内,MODIFIED,yīng nèi,sakurauchi
ユキオ,幸雄,MODIFIED,xìng xióng,yukio
キヨコ,贵代子,MODIFIED,guì dài zǐ,kiyoko
フジワラ,藤原,MODIFIED,téng yuán,fujiwara
タカコ,高子,MODIFIED,gāo zǐ,takako
コダマ,儿玉,MODIFIED,ér yù,kodama
ミナモトタロウ,源太郎,MODIFIED,yuán tài láng,minamototarou
ショウワ,昭和,MODIFIED,zhāo hé,shouwa
ナカジマ,中嶋,MODIFIED,zhōng dǎo,nakajima
ヨサ,与谢,MODIFIED,yǔ xiè,yosa
ミナモトヨシ,源义,MODIFIED,yuán yì,minamotoyoshi
イエ,家,MODIFIED,jiā,ie
ナガセ,长濑,MODIFIED,cháng lài,nagase
トミロウ,富郎,MODIFIED,fù láng,tomirou
サダヲ,贞夫,MODIFIED,zhēn fū,sadawo
テラウチ,寺内,MODIFIED,sì nèi,terauchi
カワサカエ,川荣,MODIFIED,chuān róng,kawasakae
ホウアキラ,方明,MODIFIED,fāng míng,houakira
イリヤマ,入山,MODIFIED,rù shān,iriyama
アンナ,杏奈,MODIFIED,xìng nài,anna
ドイ,土居,MODIFIED,tǔ jū,doi
ミサキ,美咲,MODIFIED,měi xiào,misaki
ナカタ,中田,MODIFIED,zhōng tián,nakata
ヒデトシ,英寿,MODIFIED,yīng shòu,hidetoshi
ヨネリョウ,米良,MODIFIED,mǐ liáng,yoneryou
サコン,左近,MODIFIED,zuǒ jìn,sakon
ウキョウ,右京,MODIFIED,yòu jīng,ukyou
アカシ,明石,MODIFIED,míng shí,akashi
トシオ,利男,MODIFIED,lì nán,toshio
ナカザワ,中泽,MODIFIED,zhōng zé,nakazawa
サトフトシ,聪太,MODIFIED,cōng tài,satofutoshi
カンスグル,康英,MODIFIED,kāng yīng,kansuguru
ユウダイロウ,祐大朗,MODIFIED,yòu dà lǎng,yuudairou
ヒライ,平井,MODIFIED,píng jǐng,hirai
ショウセイ,将生,MODIFIED,jiāng shēng,shousei
ヨシザワ,吉泽,MODIFIED,jí zé,yoshizawa
アキラフ,明步,MODIFIED,míng bù,akirafu
オオウラ,大浦,MODIFIED,dà pǔ,ooura
ワタセ,渡濑,MODIFIED,dù lài,watase
シライシ,白石,MODIFIED,bái shí,shiraishi
マイ,麻衣,MODIFIED,má yī,mai
トモザキ,友崎,MODIFIED,yǒu qí,tomozaki
アキ,亚希,MODIFIED,yà xī,aki
トニー,东尼,MODIFIED,dōng ní,tonī
タイボク,大木,MODIFIED,dà mù,taiboku
ミズキ,水木,MODIFIED,shuǐ mù,mizuki
ムラサキアヤ,紫彩,MODIFIED,zǐ cǎi,murasakiaya
ホソノ,细野,MODIFIED,xì yě,hosono
セイブン,正文,MODIFIED,zhèng wén,seibun
ヤスダ,安田,MODIFIED,ān tián,yasuda
リダイ,理大,MODIFIED,lǐ dà,ridai
イシイ,石井,MODIFIED,shí jǐng,ishii
キクジロウ,菊次郎,MODIFIED,jú cì láng,kikujirou
オオエ,大江,MODIFIED,dà jiāng,ooe
コイズミ,小泉,MODIFIED,xiǎo quán,koizumi
マルヤマ,丸山,MODIFIED,wán shān,maruyama
ヨシアキ,良明,MODIFIED,liáng míng,yoshiaki
シゲルノリ,滋则,MODIFIED,zī zé,shigerunori
タカギ,高木,MODIFIED,gāo mù,takagi
トラノカイ,虎之介,MODIFIED,hǔ zhī jiè,toranokai
リュウサトシホ,隆智穗,MODIFIED,lóng zhì suì,ryuusatoshiho
マエハラ,前原,MODIFIED,qián yuán,maehara
サカグチ,坂口,MODIFIED,bǎn kǒu,sakaguchi
アンゴ,安吾,MODIFIED,ān wú,ango
ハトヤマ,鸠山,MODIFIED,jiū shān,hatoyama
イエヤス,家康,MODIFIED,jiā kāng,ieyasu
マスダ,增田,MODIFIED,zēng tián,masuda
ユウキ,裕生,MODIFIED,yù shēng,yuuki
タネタ,种田,MODIFIED,zhǒng tián,taneta
リサ,梨沙,MODIFIED,lí shā,risa
クニオ,国男,MODIFIED,guó nán,kunio
クラフジ,仓藤,MODIFIED,cāng téng,kurafuji
ヨネモト,米本,MODIFIED,mǐ běn,yonemoto
タクジ,拓司,MODIFIED,tuò sī,takuji
マエダ,前田,MODIFIED,qián tián,maeda
タカヒロ,孝弘,MODIFIED,xiào hóng,takahiro
サンチュウ,山中,MODIFIED,shān zhōng,sanchuu
シンワタル,伸弥,MODIFIED,shēn mí,shinwataru
ヤスゲイ,安艺,MODIFIED,ān yì,yasugei
ノウミセツオ,乃海节男,MODIFIED,nǎi hǎi jié nán,noumisetsuo
サトル,悟,MODIFIED,wù,satoru
アクサト,亚久里,MODIFIED,yà jiǔ lǐ,akusato
イデ,井出,MODIFIED,jǐng chū,ide
ユウチ,有治,MODIFIED,yǒu zhì,yuuchi
マツバラ,松原,MODIFIED,sōng yuán,matsubara
リョウコウ,良香,MODIFIED,liáng xiāng,ryoukou
オオサコ,大迫,MODIFIED,dà pò,oosako
ケンタロウ,健太朗,MODIFIED,jiàn tài lǎng,kentarou
モリワキ,森脇,MODIFIED,sēn xié,moriwaki
リョウタ,良太,MODIFIED,liáng tài,ryouta
ケンタ,健太,MODIFIED,jiàn tài,kenta
トゴシ,户越,MODIFIED,hù yuè,togoshi
マゴメ,马込,MODIFIED,mǎ yū,magome
コノエ,近卫,MODIFIED,jìn wèi,konoe
モトミ,基实,MODIFIED,jī shí,motomi
リンヒサシ,伦央,MODIFIED,lún yāng,rinhisashi
カゲヤマ,影山,MODIFIED,yǐng shān,kageyama
マサヒサシ,雅永,MODIFIED,yǎ yǒng,masahisashi
ソウマ,相马,MODIFIED,xiàng mǎ,souma
ヤマザキ,山崎,MODIFIED,shān qí,yamazaki
トミタ,富田,MODIFIED,fù tián,tomita
ヨシオ,芳郎,MODIFIED,fāng láng,yoshio
イシハラ,石原,MODIFIED,shí yuán,ishihara
マキタロウ,慎太郎,MODIFIED,shèn tài láng,makitarou
ヤスノ,安野,MODIFIED,ān yě,yasuno
モヨコ,梦洋子,MODIFIED,mèng yáng zǐ,moyoko
タカシ,乔,MODIFIED,qiáo,takashi
タロウ,太郎,MODIFIED,tài láng,tarou
カジウラ,梶浦,MODIFIED,wěi pǔ,kajiura
フナコシ,船越,MODIFIED,chuán yuè,funakoshi
ギチン,义珍,MODIFIED,yì zhēn,gichin
ミナモトミノル,源实,MODIFIED,yuán shí,minamotominoru
アサ,朝,MODIFIED,cháo,asa
メイジ,明治,MODIFIED,míng zhì,meiji
ヒロブミ,博文,MODIFIED,bó wén,hirobumi
ヤクショウ,役小,MODIFIED,yì xiǎo,yakushou
カク,角,MODIFIED,jiǎo,kaku
コマチ,小町,MODIFIED,xiǎo tǐng,komachi
サルワレ,申吾,MODIFIED,shēn wú,saruware
ジンム,神武,MODIFIED,shén wǔ,jinmu
カズヤ,和也,MODIFIED,hé yě,kazuya
ヒロシゲ,广重,MODIFIED,guǎng zhòng,hiroshige
カワグチ,川口,MODIFIED,chuān kǒu,kawaguchi
ノウカツ,能活,MODIFIED,néng huó,noukatsu
モリシゲル,森重,MODIFIED,sēn zhòng,morishigeru
ブン,文,MODIFIED,wén,bun
アンドウ,安藤,MODIFIED,ān téng,andou
タダオ,忠雄,MODIFIED,zhōng xióng,tadao
アケボノフトシ,曙太,MODIFIED,shǔ tài,akebonofutoshi
ゴンベエ,权兵卫,MODIFIED,quán bīng wèi,gonbee
カワバタ,川端,MODIFIED,chuān duān,kawabata
ヤスナリ,康成,MODIFIED,kāng chéng,yasunari
ゼンシン,善臣,MODIFIED,shàn chén,zenshin
シロコモ,白隐,MODIFIED,bái yǐn,shirokomo
トシツル,慧鹤,MODIFIED,huì hè,toshitsuru
マサヤマ,雅山,MODIFIED,yǎ shān,masayama
テツシ,哲士,MODIFIED,zhé shì,tetsushi
キヨミ,喜代美,MODIFIED,xǐ dài měi,kiyomi
キヨハラ,清原,MODIFIED,qīng yuán,kiyohara
オオヒサ,大久,MODIFIED,dà jiǔ,oohisa
ホナガヤス,保长安,MODIFIED,bǎo zhǎng ān,honagayasu
フヒトウ,不比等,MODIFIED,bù bǐ děng,fuhitou
ヒロヤ,浩哉,MODIFIED,hào zāi,hiroya
タカハタ,高畑,MODIFIED,gāo tián,takahata
クン,勋,MODIFIED,xūn,kun
マツモト,松本,MODIFIED,sōng běn,matsumoto
セイチョウ,清张,MODIFIED,qīng zhāng,seichou
タグチ,田口,MODIFIED,tián kǒu,taguchi
サダミ,贞美,MODIFIED,zhēn měi,sadami
トリヤマ,鸟山,MODIFIED,niǎo shān,toriyama
マコト,诚,MODIFIED,chéng,makoto
マキハラ,槙原,MODIFIED,diān yuán,makihara
ヒロシオノレ,宽己,MODIFIED,kuān jǐ,hiroshionore
ケイタスク,圭佑,MODIFIED,guī yòu,keitasuku
モトヨシ,本吉,MODIFIED,běn jí,motoyoshi
ジョウテンノウ,条天皇,MODIFIED,tiáo tiān huáng,joutennou
ソウマイ,相米,MODIFIED,xiāng mǐ,soumai
ダイセツ,大拙,MODIFIED,dà zhuō,daisetsu
ニシダ,西田,MODIFIED,xī tián,nishida
キタロウ,几多郎,MODIFIED,jǐ duō láng,kitarou
ハヅキ,叶月,MODIFIED,yè yuè,hadzuki
マレイ,真礼,MODIFIED,zhēn lǐ,marei
シノヤマ,筿山,MODIFIED,xiǎo shān,shinoyama
キノシン,纪信,MODIFIED,jì xìn,kinoshin
マツダ,松田,MODIFIED,sōng tián,matsuda
ヒロシ,浩,MODIFIED,hào,hiroshi
ヒロユキ,裕幸,MODIFIED,yù xìng,hiroyuki
アントニオ,安东尼奥,MODIFIED,ān dōng ní ào,antonio
イノキ,猪木,MODIFIED,zhū mù,inoki
アシハラ,芦原,MODIFIED,lú yuán,ashihara
キサキナゴ,妃名子,MODIFIED,fēi míng zǐ,kisakinago
チュウセツ,仲哀,MODIFIED,zhòng āi,chuusetsu
トシヒデ,敏英,MODIFIED,mǐn yīng,toshihide
ノサカ,野坂,MODIFIED,yě bǎn,nosaka
オオタ,太田,MODIFIED,tài tián,oota
アキヒロ,昭宏,MODIFIED,zhāo hóng,akihiro
ヒガシグチ,东口,MODIFIED,dōng kǒu,higashiguchi
ジュンアキラ,顺昭,MODIFIED,shùn zhāo,junakira
タサカ,田坂,MODIFIED,tián bǎn,tasaka
クラタ,仓田,MODIFIED,cāng tián,kurata
マツバヤシ,松林,MODIFIED,sōng lín,matsubayashi
ソウメグミ,宗惠,MODIFIED,zōng huì,soumegumi
フジタ,藤田,MODIFIED,téng tián,fujita
ラクザン,乐山,MODIFIED,lè shān,rakuzan
フジヶタニ,藤谷,MODIFIED,téng gǔ,fujiヶtani
マツダイ,松代,MODIFIED,sōng dài,matsudai
ナオキ,直树,MODIFIED,zhí shù,naoki
アイダ,合田,MODIFIED,hé tián,aida
シイ,志位,MODIFIED,zhì wèi,shii
カズオ,和夫,MODIFIED,hé fū,kazuo
ナシモト,梨本,MODIFIED,lí běn,nashimoto
ミヤモリタダシオウ,宫守正王,MODIFIED,gōng shǒu zhèng wáng,miyamoritadashiou
モリヤマ,森山,MODIFIED,sēn shān,moriyama
ツトシコ,津敏子,MODIFIED,jīn mǐn zǐ,tsutoshiko
フサエ,房江,MODIFIED,fáng jiāng,fusae
テツヤ,哲也,MODIFIED,zhé yě,tetsuya
ヤスタカ,安孝,MODIFIED,ān xiào,yasutaka
ヨシユキ,善之,MODIFIED,shàn zhī,yoshiyuki
カンノ,菅野,MODIFIED,jiān yě,kanno
ハタアキラ,将晃,MODIFIED,jiāng huàng,hataakira
ウエノ,上野,MODIFIED,shàng yě,ueno
オグラ,小椋,MODIFIED,xiǎo liáng,ogura
マカイ,真介,MODIFIED,zhēn jiè,makai
アキノリ,明纪,MODIFIED,míng jì,akinori
カサイ,葛西,MODIFIED,gě xī,kasai
キノアキラ,纪明,MODIFIED,jì míng,kinoakira
ミメイ,未明,MODIFIED,wèi míng,mimei
タツヤ,龙也,MODIFIED,lóng yě,tatsuya
タハタ,田畑,MODIFIED,tián tián,tahata
ハジ,端,MODIFIED,duān,haji
カズヒサ,和久,MODIFIED,hé jiǔ,kazuhisa
コウジ,浩史,MODIFIED,hào shǐ,kouji
ヤスハラ,安原,MODIFIED,ān yuán,yasuhara
ナルタイ,成泰,MODIFIED,chéng tài,narutai
マサノリ,昌典,MODIFIED,chāng diǎn,masanori
フカサク,深作,MODIFIED,shēn zuò,fukasaku
イシノモリアキラ,石之森章,MODIFIED,shí zhī sēn zhāng,ishinomoriakira
セキタカシ,关孝,MODIFIED,guān xiào,sekitakashi
ワ,和,MODIFIED,hé,wa
ノブツナ,信纲,MODIFIED,xìn gāng,nobutsuna
ホリシゲル,堀秀,MODIFIED,kū xiù,horishigeru
タツミ,辰巳,MODIFIED,chén sì,tatsumi
ヨシヒロ,嘉裕,MODIFIED,jiā yù,yoshihiro
コウキ,光辉,MODIFIED,guāng huī,kouki
ウエスギ,上杉,MODIFIED,shàng shān,uesugi
ノリザネ,宪实,MODIFIED,xiàn shí,norizane
トモエスイ,巴水,MODIFIED,bā shuǐ,tomoesui
クニサン,邦山,MODIFIED,bāng shān,kunisan
サカモト,坂本,MODIFIED,bǎn běn,sakamoto
イケダ,池田,MODIFIED,chí tián,ikeda
ソウリョウ,惣领,MODIFIED,zǒng lǐng,souryou
フユミ,冬实,MODIFIED,dōng shí,fuyumi
アリヨシ,有吉,MODIFIED,yǒu jí,ariyoshi
サワコ,佐和子,MODIFIED,zuǒ hé zǐ,sawako
ナツメ,夏目,MODIFIED,xià mù,natsume
ソウセキ,漱石,MODIFIED,shù shí,souseki
アミ,亚美,MODIFIED,yà měi,ami
ナンサ,南沙,MODIFIED,nán shā,nansa
イフク,伊福,MODIFIED,yī fú,ifuku
ブアキラ,部昭,MODIFIED,bù zhāo,buakira
ムラカミ,村上,MODIFIED,cūn shàng,murakami
ハルキ,春树,MODIFIED,chūn shù,haruki
トヨダ,丰田,MODIFIED,fēng tián,toyoda
サキチ,佐吉,MODIFIED,zuǒ jí,sakichi
トシキチ,利吉,MODIFIED,lì jí,toshikichi
オガタ,绪方,MODIFIED,xù fāng,ogata
サダコ,贞子,MODIFIED,zhēn zǐ,sadako
エモト,江本,MODIFIED,jiāng běn,emoto
カチ,胜,MODIFIED,shèng,kachi
ミチバタ,道端,MODIFIED,dào duān,michibata
ジェシカ,洁西卡,MODIFIED,jié xī kǎ,jeshika
ソノコ,园子,MODIFIED,yuán zǐ,sonoko
ヌル,温,MODIFIED,wēn,nuru
エザキ,江崎,MODIFIED,jiāng qí,ezaki
レオナ,玲于奈,MODIFIED,líng yú nài,reona
エイサク,荣作,MODIFIED,róng zuò,eisaku
コダイラ,小平,MODIFIED,xiǎo píng,kodaira
ジケン,义雄,MODIFIED,yì xióng,jiken
エドウィン,埃德温,MODIFIED,āi dé wēn,edowin
シモヒラ,下平,MODIFIED,xià píng,shimohira
タクミ,匠,MODIFIED,jiàng,takumi
カキダニ,柿谷,MODIFIED,shì gǔ,kakidani
カシワギ,柏木,MODIFIED,bǎi mù,kashiwagi
シホ,志穗,MODIFIED,zhì suì,shiho
サトシ,聪志,MODIFIED,cōng zhì,satoshi
アサヒ,旭,MODIFIED,xù,asahi
コリエダ,梱枝,MODIFIED,kǔn zhī,korieda
エダ,江田,MODIFIED,jiāng tián,eda
ケン,谦,MODIFIED,qiān,ken
イワタ,岩田,MODIFIED,yán tián,iwata
ハナレイ,华怜,MODIFIED,huá lián,hanarei
ケイアキ,庆秋,MODIFIED,qìng qiū,keiaki
アンジュウ,安住,MODIFIED,ān zhù,anjuu
アツシ,淳,MODIFIED,chún,atsushi
ウラサワ,浦泽,MODIFIED,pǔ zé,urasawa
ジュン,润,MODIFIED,rùn,jun
アカニシ,赤西,MODIFIED,chì xī,akanishi
ヒトシ,仁,MODIFIED,rén,hitoshi
ヒロ,浩,MODIFIED,hào,hiro
カナザワ,金泽,MODIFIED,jīn zé,kanazawa
ヒロカズ,弘和,MODIFIED,hóng hé,hirokazu
コウエン,后圆,MODIFIED,hòu yuán,kouen
トオルテンノウ,融天皇,MODIFIED,róng tiān huáng,toorutennou
シセイ,资生,MODIFIED,zī shēng,shisei
ヨリユキケイ,赖经,MODIFIED,lài jīng,yoriyukikei
チョウジュン,长顺,MODIFIED,cháng shùn,choujun
エイジ,英治,MODIFIED,yīng zhì,eiji
カイオウ,魁皇,MODIFIED,kuí huáng,kaiou
タカシコウ,崇光,MODIFIED,chóng guāng,takashikou
ヒカリゲン,光严,MODIFIED,guāng yán,hikarigen
コウニシ,后西,MODIFIED,hòu xī,kounishi
コウヒ,后阳,MODIFIED,hòu yáng,kouhi
ナルテンノウ,成天皇,MODIFIED,chéng tiān huáng,narutennou
エンデン,盐田,MODIFIED,yán tián,enden
ナオミ,直美,MODIFIED,zhí měi,naomi
アダチ,安达,MODIFIED,ān dá,adachi
ホヒトシ,保仁,MODIFIED,bǎo rén,hohitoshi
ナガタケ,长武,MODIFIED,cháng wǔ,nagatake
アオキ,青木,MODIFIED,qīng mù,aoki
エド,江户,MODIFIED,jiāng hù,edo
カワランポ,川乱步,MODIFIED,chuān luàn bù,kawaranpo
ニシザワ,西泽,MODIFIED,xī zé,nishizawa
アキラクン,明训,MODIFIED,míng xùn,akirakun
ナカハラ,中原,MODIFIED,zhōng yuán,nakahara
ヨシモト,吉本,MODIFIED,jí běn,yoshimoto
タカアキ,隆明,MODIFIED,lóng míng,takaaki
ナガヤマ,永山,MODIFIED,yǒng shān,nagayama
アキラフトシ,瑛太,MODIFIED,yīng tài,akirafutoshi
ケンジロウ,健次郎,MODIFIED,jiàn cì láng,kenjirou
ヨウコ,洋子,MODIFIED,yáng zǐ,youko
ウエダ,植田,MODIFIED,zhí tián,ueda
ケンキチ,谦吉,MODIFIED,qiān jí,kenkichi
ムトウ,武藤,MODIFIED,wǔ téng,mutou
キムヨシ,金义,MODIFIED,jīn yì,kimuyoshi
カナモト,金本,MODIFIED,jīn běn,kanamoto
