김일,金日,jīn rì,gimil
강건,姜健,jiāng jiàn,ganggeon
김정,金仲,jīn zhòng,gimjeong
김철,金哲,jīn zhé,gimceol
남일,南日,nán rì,namil
백석,白石,bái shí,baegseog
허담,许锬,xǔ tán,heodam
김책,金策,jīn cè,gimcaeg
김무정,武亭,wǔ tíng,gimmujeong
서휘,徐辉,xú huī,seohwi
최휘,崔辉,cuī huī,coehwi
최광,崔光,cuī guāng,coegwang
박열,朴烈,pǔ liè,bagyeol
허헌,许宪,xǔ xiàn,heoheon
김옥,金玉,jīn yù,gimog
찰스 로버트 젱킨스,查尔斯·罗伯特·詹金斯,chá ěr sī · luó bǎi tè · zhān jīn sī,calseu robeoteu jengkinseu
최현,崔贤,cuī xián,coehyeon
안길,安吉,ān jí,angil
장철,张哲,zhāng zhé,jangceol
이찬,李灿,lǐ càn,ican
반디,潘迪,pān dí,bandi
임화,林和,lín hé,imhwa
배철,裴哲,péi zhé,baeceol
김웅,金雄,jīn xióng,gimung
이특,利特,lì tè,iteug
김숙,金淑,jīn shū,gimsug
진혁,陈赫,chén hè,jinhyeog
찬희,姜澯熙,jiāng càn xī,canhyi
라비,金元植,jīn yuán zhí,rabi
정욱,郑旭,zhèng xù,jeongug
최란,崔兰,cuī lán,coeran
채림,蔡琳,cài lín,caerim
루나,朴善英,pǔ shàn yīng,runa
휘성,辉晟,huī shèng,hwiseong
유진,柳真,liǔ zhēn,yujin
장하오저,张镐哲,zhāng hào zhé,janghaojeo
리세,权梨世,quán lí shì,rise
황보,皇甫惠贞,huáng fǔ huì zhēn,hwangbo
조순,赵淳,zhào chún,josun
니모,吴尚恩,wú shàng ēn,nimo
다니,金岱妮,jīn dài nī,dani
노을,卢乙,lú yǐ,noeul
수애,秀爱,xiù ài,suae
이완,李莞,lǐ wǎn,iwan
류담,柳潭,liǔ tán,ryudam
이언,李言,lǐ yán,ieon
지성,池晟,chí shèng,jiseong
홍기,洪基,hóng jī,honggi
선우은숙,鲜于银淑,xiān yú yín shū,seonueunsug
나현,罗玄,luó xuán,nahyeon
박나래,朴娜𠡠,pǔ nà 𠡠,bagnarae
김신,金信,jīn xìn,gimsin
방민아,珉雅,mín yǎ,bangmina
성준,盛骏,shèng jùn,seongjun
에릭,文晸赫,wén zhěng hè,erig
맷 사이먼,麦·西蒙,mài · xī méng,maes saimeon
김민,金玟,jīn mín,gimmin
이영,俐英,lì yīng,iyeong
정헌,正宪,zhèng xiàn,jeongheon
우혜림,惠林,huì lín,uhyerim
이훈,李勋,lǐ xūn,ihun
성민,晟敏,shèng mǐn,seongmin
고은,高银,gāo yín,goeun
혜리,惠利,huì lì,hyeri
김청,金清,jīn qīng,gimceong
신사동호랭이,新沙洞老虎,xīn shā dòng lǎo hǔ,sinsadonghoraengi
강별,姜星,jiāng xīng,gangbyeol
성제,金成帝,jīn chéng dì,seongje
박봄,朴春,pǔ chūn,bagbom
홍진,洪震,hóng zhèn,hongjin
강민,姜旼,jiāng mín,gangmin
성모,尹成模,yǐn chéng mó,seongmo
유선,裕善,yù shàn,yuseon
윤학,郑允鹤,zhèng yǔn hè,yunhag
채빈,彩彬,cǎi bīn,caebin
강지영,知英,zhī yīng,gangjiyeong
선우용여,鲜于龙女,xiān yú lóng nǚ,seonuyongyeo
설훈,薛勋,xuē xūn,seolhun
온유,温流,wēn liú,onyu
션 리차드,肖恩·理查德,xiào ēn · lǐ chá dé,syeon ricadeu
규현,圭贤,guī xián,gyuhyeon
원빈,元斌,yuán bīn,weonbin
길건,吉健,jí jiàn,gilgeon
듀크,李浩成,lǐ hào chéng,dyukeu
진경,陈庆,chén qìng,jingyeong
유노윤호,郑允浩,zhèng yǔn hào,yunoyunho
박소진,素珍,sù zhēn,bagsojin
손성아,成雅,chéng yǎ,sonseonga
최권,崔权,cuī quán,coegweon
림킴,金艺琳,jīn yì lín,rimkim
마린,张庆欢,zhāng qìng huān,marin
디오,都敬秀,dōu jìng xiù,dio
정다소미,郑多素美,zhèng duō sù měi,jeongdasomi
우현,禹贤,yǔ xián,uhyeon
티애,李太恩,lǐ tài ēn,tiae
조아영,雅英,yǎ yīng,joayeong
정엽,郑烨,zhèng yè,jeongyeob
이엘,李伊,lǐ yī,iel
선우재덕,鲜于载德,xiān yú zǎi dé,seonujaedeog
승재,许泰熙,xǔ tài xī,seungjae
오희,吴熙,wú xī,ohyi
최민,崔珉,cuī mín,coemin
이얼,李臬,lǐ niè,ieol
윤조,慎胤祖,shèn yìn zǔ,yunjo
최희,崔熙,cuī xī,coehyi
한희,韩熙,hán xī,hanhyi
창조,创造,chuàng zào,cangjo
병헌,秉宪,bǐng xiàn,byeongheon
슬기,瑟琪,sè qí,seulgi
매드라이프,洪珉绮,hóng mín qǐ,maedeuraipeu
배우희,优熙,yōu xī,baeuhyi
산들,灿多,càn duō,sandeul
진영,振永,zhèn yǒng,jinyeong
공찬,孔灿,kǒng càn,gongcan
정우,郑宇,zhèng yǔ,jeongu
지우,至祐,zhì yòu,jiu
박경리,倞利,liàng lì,baggyeongri
세리,世理,shì lǐ,seri
황우슬혜,黄雨瑟惠,huáng yǔ sè huì,hwanguseulhye
윤박,尹博,yǐn bó,yunbag
승호,升昊,shēng hào,seungho
정현,郑泫,zhèng xuàn,jeonghyeon
시현,金始炫,jīn shǐ xuàn,sihyeon
렌,崔珉起,cuī mín qǐ,ren
민희,朱敏熙,zhū mǐn xī,minhyi
동현,金东玄,jīn dōng xuán,donghyeon
재효,宰孝,zǎi xiào,jaehyo
권민아,珉娥,mín é,gweonmina
고윤,高允,gāo yǔn,goyun
소향,素香,sù xiāng,sohyang
효은,李孝恩,lǐ xiào ēn,hyoeun
최웅,崔雄,cuī xióng,coeung
지선,黄智宣,huáng zhì xuān,jiseon
영재,崔荣宰,cuī róng zǎi,yeongjae
유겸,金有谦,jīn yǒu qiān,yugyeom
죠앤,李妍智,lǐ yán zhì,jyoaen
박진,朴振,pǔ zhèn,bagjin
양현,梁贤,liáng xián,yanghyeon
은비,高恩妃,gāo ēn fēi,eunbi
초아,草娥,cǎo é,coa
표혜미,慧美,huì měi,pyohyemi
김설현,雪炫,xuě xuàn,gimseolhyeon
인섹,崔仁石,cuī rén shí,inseg
이레,李蕊,lǐ ruǐ,ire
전율,田庾理,tián yǔ lǐ,jeonyul
달수빈,秀彬,xiù bīn,dalsubin
미케일라 디츠,米凯拉·迪耶兹,mǐ kǎi lā · dí yē zī,mikeilra diceu
신지민,智珉,zhì mín,sinjimin
허준,许俊,xǔ jùn,heojun
선우정아,鲜于贞娥,xiān yú zhēn é,seonujeonga
솔지,率智,lǜ zhì,solji
엘린,金旼荣,jīn mín róng,elrin
시은,朴莳恩,pǔ shì ēn,sieun
금미,白宝蓝,bái bǎo lán,geummi
김경남,夫裴,fū péi,gimgyeongnam
유나,酉奈,yǒu nài,yuna
한다라,海岭,hǎi lǐng,handara
하니,哈妮,hā nī,hani
혜린,慧潾,huì lín,hyerin
동하,东夏,dōng xià,dongha
공명,孔明,kǒng míng,gongmyeong
신혜정,惠晶,huì jīng,sinhyejeong
이엘리야,李伊利雅,lǐ yī lì yǎ,ielriya
소율,昭燏,zhāo yù,soyul
허웅,许雄,xǔ xióng,heoung
김권,金权,jīn quán,gimgweon
레오,郑泽运,zhèng zé yùn,reo
켄,李宰焕,lǐ zǎi huàn,ken
주영,周永,zhōu yǒng,juyeong
주권,朱权,zhū quán,jugweon
스테파니 리,斯蒂芬妮·李,sī dì fēn nī · lǐ,seutepani ri
슈가,闵玧其,mǐn mén qí,syuga
홍빈,李弘彬,lǐ hóng bīn,hongbin
하준,嘏俊,gǔ jùn,hajun
해찬,楷灿,kǎi càn,haecan
화사,华莎,huá shā,hwasa
승희,胜熙,shèng xī,seunghyi
원우,全圆佑,quán yuán yòu,weonu
이로,加频,jiā pín,iro
문별,玟星,mín xīng,munbyeol
솔라,颂乐,sòng lè,solra
장률,张律,zhāng lǜ,jangryul
김필,金必,jīn bì,gimpil
최환,崔桓,cuī huán,coehwan
지수,金志洙,jīn zhì zhū,jisu
효정,效定,xiào dìng,hyojeong
주헌,李周宪,lǐ zhōu xiàn,juheon
다혜,多惠,duō huì,dahye
수민,池受玟,chí shòu mín,sumin
케빈 오,凯文·吴,kǎi wén · wú,kebin o
재민,渽民,zāi mín,jaemin
라이언 전,莱恩·全,lái ēn · quán,raieon jeon
고준,高俊,gāo jùn,gojun
조가은,佳恩,jiā ēn,jogaeun
디노,李灿,lǐ càn,dino
우효,于孝恩,yú xiào ēn,uhyo
승관,夫胜宽,fū shèng kuān,seunggwan
에스쿱스,崔胜哲,cuī shèng zhé,eseukubseu
민규,金珉奎,jīn mín kuí,mingyu
우지,李知勋,lǐ zhī xūn,uji
도겸,李硕珉,lǐ shuò mín,dogyeom
문빈,文彬,wén bīn,munbin
박훈,朴勋,pǔ xūn,baghun
해빈,韩海彬,hán hǎi bīn,haebin
양예나,睿娜,ruì nà,yangyena
유영,刘永,liú yǒng,yuyeong
민혁,民赫,mín hè,minhyeog
민재,旼宰,mín zǎi,minjae
김봄소리,金本索里,jīn běn suǒ lǐ,gimbomsori
허율,许律,xǔ lǜ,heoyul
로운,金锡佑,jīn xī yòu,roun
보나,苞娜,bāo nà,bona
다원,达渊,dá yuān,daweon
강혜연,蕙妍,huì yán,ganghyeyeon
정유지,有智,yǒu zhì,jeongyuji
박경,朴经,pǔ jīng,baggyeong
채영,彩瑛,cǎi yīng,caeyeong
기현,柳基现,liǔ jī xiàn,gihyeon
지효,志效,zhì xiào,jihyo
다현,多贤,duō xián,dahyeon
나연,娜琏,nà liǎn,nayeon
셔누,孙贤祐,sūn xián yòu,syeonu
강다니엘,姜丹尼尔,jiāng dān ní ěr,gangdaniel
소영,林昭瑛,lín zhāo yīng,soyeong
오혁,吴赫,wú hè,ohyeog
미미,金美贤,jīn měi xián,mimi
신현수,申𫍽洙,shēn 𫍽 zhū,sinhyeonsu
연우,妍雨,yán yǔ,yeonu
종섭,金钟燮,jīn zhōng xiè,jongseob
백호,姜东昊,jiāng dōng hào,baegho
최리,崔里,cuī lǐ,coeri
유정,金柔廷,jīn róu tíng,yujeong
소희,金昭喜,jīn zhāo xǐ,sohyi
민서,金敏书,jīn mǐn shū,minseo
후이,李会泽,lǐ huì zé,hui
헤즈,洪宜珍,hóng yí zhēn,hejeu
태일,李泰欥,lǐ tài yù,taeil
황희,黄熙,huáng xī,hwanghyi
박정,朴钉,pǔ dīng,bagjeong
성연,成嬿,chéng yàn,seongyeon
박시연,施妍,shī yán,bagsiyeon
류원,柳垣,liǔ yuán,ryuweon
학진,鹤辰,hè chén,hagjin
권채원,恩彩,ēn cǎi,gweoncaeweon
문숙,文淑,wén shū,munsug
원호,李虎锡,lǐ hǔ xī,weonho
피넛,韩旺乎,hán wàng hū,pineos
루아,金秀璟,jīn xiù jǐng,rua
리나,姜昭恩,jiāng zhāo ēn,rina
다영,多荣,duō róng,dayeong
정연,定延,dìng yán,jeongyeon
제이크 최,杰克·崔,jié kè · cuī,jeikeu coe
설아,雪娥,xuě é,seola
폰,许元硕,xǔ yuán shuò,pon
여름,夏天,xià tiān,yeoreum
서훈,徐薰,xú xūn,seohun
곽빈,郭彬,guō bīn,gwagbin
코고나다,名田高梧,míng tián gāo wú,kogonada
홍석,梁洪硕,liáng hóng shuò,hongseog
현진,贤真,xián zhēn,hyeonjin
던,金晓钟,jīn xiǎo zhōng,deon
진호,赵珍虎,zhào zhēn hǔ,jinho
도영,道英,dào yīng,doyeong
태용,泰容,tài róng,taeyong
고욱,宋元锡,sòng yuán xī,goug
이진솔,真率,zhēn lǜ,ijinsol
솔빈,率滨,lǜ bīn,solbin
린샤오쥔,林孝埈,lín xiào jùn,rinsyaojwin
정채연,彩娟,cǎi juān,jeongcaeyeon
선우예권,鲜于艺权,xiān yú yì quán,seonuyegweon
의진,李宜缜,lǐ yí zhěn,yijin
로몬,朴所罗门,pǔ suǒ luó mén,romon
은서,恩熙,ēn xī,eunseo
재현,在玹,zài xuán,jaehyeon
청하,请夏,qǐng xià,ceongha
연정,俞延静,yú yán jìng,yeonjeong
인성,金仁性,jīn rén xìng,inseong
키노,姜炯求,jiāng jiǒng qiú,kino
우석,郑禹奭,zhèng yǔ shì,useog
주연,李柱延,lǐ zhù yán,juyeon
지안,智眼,zhì yǎn,jian
영훈,金泳勋,jīn yǒng xūn,yeonghun
루리,李秀炫,lǐ xiù xuàn,ruri
진예,津锐,jīn ruì,jinye
황보승희,皇甫承希,huáng fǔ chéng xī,hwangboseunghyi
홍경,洪庆,hóng qìng,honggyeong
나윤,金娜允,jīn nà yǔn,nayun
재호,徐在宇,xú zài yǔ,jaeho
혜빈,慧彬,huì bīn,hyebin
장준,张准,zhāng zhǔn,jangjun
유경,湵京,yǒu jīng,yugyeong
범규,杋圭,fán guī,beomgyu
수빈,秀彬,xiù bīn,subin
방찬,方灿,fāng càn,bangcan
정휘,郑𪸩,zhèng 𪸩,jeonghwi
신원,高信源,gāo xìn yuán,sinweon
해윤,海允,hǎi yǔn,haeyun
지원,智媛,zhì yuàn,jiweon
영빈,金永彬,jīn yǒng bīn,yeongbin
한결,李翰洁,lǐ hàn jié,hangyeol
강훈,姜勋,jiāng xūn,ganghun
은상,李垠尚,lǐ yín shàng,eunsang
시연,始娟,shǐ juān,siyeon
리노,李旻浩,lǐ mín hào,rino
루키,宋义进,sòng yì jìn,ruki
희진,姬振,jī zhèn,hyijin
미연,曹薇娟,cáo wēi juān,miyeon
재윤,李在允,lǐ zài yǔn,jaeyun
전웅,田雄,tián xióng,jeonung
원필,金元弼,jīn yuán bì,weonpil
이도현,李到𬀪,lǐ dào 𬀪,idohyeon
도운,尹度云,yǐn dù yún,doun
하슬,夏瑟,xià sè,haseul
이설,李雪,lǐ xuě,iseol
진솔,郑真率,zhèng zhēn lǜ,jinsol
채령,李彩领,lǐ cǎi lǐng,caeryeong
류진,申留真,shēn liú zhēn,ryujin
예지,黄礼志,huáng lǐ zhì,yeji
승민,金升玟,jīn shēng mín,seungmin
엘라,金京主,jīn jīng zhǔ,elra
라키,朴慜赫,pǔ mǐn hè,raki
진진,朴真佑,pǔ zhēn yòu,jinjin
보라,紫萝,zǐ luó,bora
현재,李在贤,lǐ zài xián,hyeonjae
김우진,宇珍,yǔ zhēn,gimujin
창빈,彰彬,zhāng bīn,cangbin
진안,秦安,qín ān,jinan
성찬,成灿,chéng càn,seongcan
적재,郑宰沅,zhèng zǎi yuán,jeogjae
준규,金俊奎,jīn jùn kuí,jungyu
허영,许荣,xǔ róng,heoyeong
이근,李根,lǐ gēn,igeun
나나,权娜延,quán nà yán,nana
주은,李主恩,lǐ zhǔ ēn,jueun
김히어라,金赫拉,jīn hè lā,gimhieora
베릴,赵干熙,zhào gān xī,beril
쇼메이커,许秀,xǔ xiù,syomeikeo
허찬,许灿,xǔ càn,heocan
동헌,李东宪,lǐ dōng xiàn,dongheon
선우,金善禹,jīn shàn yǔ,seonu
수진,徐穗珍,xú suì zhēn,sujin
려운,厉云,lì yún,ryeoun
현준,许玹准,xǔ xuán zhǔn,hyeonjun
서욱,徐旭,xú xù,seoug
제우스,宙斯,zhòu sī,jeuseu
태현,太显,tài xiǎn,taehyeon
황보름별,黄宝凛星,huáng bǎo lǐn xīng,hwangboreumbyeol
셀린 송,席琳·宋,xí lín · sòng,selrin song
휴닝바히에,休宁巴伊叶,xiū níng bā yī yè,hyuningbahie
지니,崔允珍,cuī yǔn zhēn,jini
윤호,丁润浩,dīng rùn hào,yunho
홍중,金弘中,jīn hóng zhōng,hongjung
이연,李妍,lǐ yán,iyeon
덱스,金珍映,jīn zhēn yìng,degseu
반,潘,MODIFIED,pān,ban
기문,基文,MODIFIED,jī wén,gimun
연아,妍儿,MODIFIED,yán ér,yeona
영표,荣杓,MODIFIED,róng sháo,yeongpyo
두리,杜里,MODIFIED,dù lǐ,duri
명박,明博,MODIFIED,míng bó,myeongbag
정희,正姬,MODIFIED,zhèng jī,jeonghyi
민기,民基,MODIFIED,mín jī,mingi
용화,容和,MODIFIED,róng hé,yonghwa
영생,永生,MODIFIED,yǒng shēng,yeongsaeng
영권,英权,MODIFIED,yīng quán,yeonggweon
진현,镇铉,MODIFIED,zhèn xuàn,jinhyeon
현수,贤秀,MODIFIED,xián xiù,hyeonsu
문식,文植,MODIFIED,wén zhí,munsig
영린,荣邻,MODIFIED,róng lín,yeongrin
원순,元淳,MODIFIED,yuán chún,weonsun
상현,相现,MODIFIED,xiāng xiàn,sanghyeon
병국,秉局,MODIFIED,bǐng jú,byeonggug
한나,汉娜,MODIFIED,hàn nà,hanna
은선,银善,MODIFIED,yín shàn,eunseon
손,孙,MODIFIED,sūn,son
태진,泰珍,MODIFIED,tài zhēn,taejin
수미,秀美,MODIFIED,xiù měi,sumi
남규,南奎,MODIFIED,nán kuí,namgyu
승모,升模,MODIFIED,shēng mó,seungmo
염,廉,MODIFIED,lián,yeom
기훈,基勋,MODIFIED,jī xūn,gihun
나,罗,MODIFIED,luó,na
아름,雅凛,MODIFIED,yǎ lǐn,areum
진,真,MODIFIED,zhēn,jin
이한,理翰,MODIFIED,lǐ hàn,ihan
하이,遐怡,MODIFIED,xiá yí,hai
선진,善津,MODIFIED,shàn jīn,seonjin
격호,格浩,MODIFIED,gé hào,gyeogho
현상,贤尚,MODIFIED,xián shàng,hyeonsang
선유,善有,MODIFIED,shàn yǒu,seonyu
재중,在中,MODIFIED,zài zhōng,jaejung
명숙,明淑,MODIFIED,míng shū,myeongsug
영애,英爱,MODIFIED,yīng ài,yeongae
용준,勇浚,MODIFIED,yǒng jùn,yongjun
태훈,太勋,MODIFIED,tài xūn,taehun
승완,承完,MODIFIED,chéng wán,seungwan
민정,玟廷,MODIFIED,mín tíng,minjeong
영희,令姬,MODIFIED,lìng jī,yeonghyi
원재,源载,MODIFIED,yuán zǎi,weonjae
장은,章银,MODIFIED,zhāng yín,jangeun
요섭,耀燮,MODIFIED,yào xiè,yoseob
성현,成贤,MODIFIED,chéng xián,seonghyeon
찬욱,赞郁,MODIFIED,zàn yù,canug
운재,云在,MODIFIED,yún zài,unjae
태환,泰桓,MODIFIED,tài huán,taehwan
수환,寿焕,MODIFIED,shòu huàn,suhwan
무현,武铉,MODIFIED,wǔ xuàn,muhyeon
정환,贞桓,MODIFIED,zhēn huán,jeonghwan
규하,圭夏,MODIFIED,guī xià,gyuha
명보,明甫,MODIFIED,míng fǔ,myeongbo
진실,真实,MODIFIED,zhēn shí,jinsil
효리,孝利,MODIFIED,xiào lì,hyori
영아,永雅,MODIFIED,yǒng yǎ,yeonga
은경,恩庆,MODIFIED,ēn qìng,eungyeong
기,奇,MODIFIED,qí,gi
성용,诚庸,MODIFIED,chéng yōng,seongyong
아중,亚中,MODIFIED,yà zhōng,ajung
근석,根硕,MODIFIED,gēn shuò,geunseog
청준,清俊,MODIFIED,qīng jùn,ceongjun
경리,景利,MODIFIED,jǐng lì,gyeongri
준섭,俊燮,MODIFIED,jùn xiè,junseob
대중,大中,MODIFIED,dà zhōng,daejung
소민,沼玟,MODIFIED,zhǎo mín,somin
승만,承晚,MODIFIED,chéng wǎn,seungman
경아,暻娥,MODIFIED,jǐng é,gyeonga
운찬,云灿,MODIFIED,yún càn,uncan
민영,敏英,MODIFIED,mǐn yīng,minyeong
종필,钟泌,MODIFIED,zhōng mì,jongpil
정무,丁茂,MODIFIED,dīng mào,jeongmu
자철,滋哲,MODIFIED,zī zhé,jaceol
범근,范根,MODIFIED,fàn gēn,beomgeun
천수,天秀,MODIFIED,tiān xiù,ceonsu
두환,斗焕,MODIFIED,dòu huàn,duhwan
형택,亨泽,MODIFIED,hēng zé,hyeongtaeg
숙자,淑子,MODIFIED,shū zǐ,sugja
차옥,次玉,MODIFIED,cì yù,caog
무교,戊校,MODIFIED,wù xiào,mugyo
해정,海晶,MODIFIED,hǎi jīng,haejeong
경은,景银,MODIFIED,jǐng yín,gyeongeun
남준,南准,MODIFIED,nán zhǔn,namjun
흥민,兴慜,MODIFIED,xīng mǐn,heungmin
윤진,伦珍,MODIFIED,lún zhēn,yunjin
창동,沧东,MODIFIED,cāng dōng,cangdong
혜선,惠善,MODIFIED,huì shàn,hyeseon
수녕,水宁,MODIFIED,shuǐ níng,sunyeong
태우,泰愚,MODIFIED,tài yú,taeu
은희,银姬,MODIFIED,yín jī,eunhyi
희경,熙琼,MODIFIED,xī qióng,hyigyeong
수연,受延,MODIFIED,shòu yán,suyeon
재범,宰范,MODIFIED,zǎi fàn,jaebeom
수경,秀卿,MODIFIED,xiù qīng,sugyeong
진석,镇奭,MODIFIED,zhèn shì,jinseog
소리,素利,MODIFIED,sù lì,sori
황식,滉植,MODIFIED,huàng zhí,hwangsig
광현,广铉,MODIFIED,guǎng xuàn,gwanghyeon
승용,承龙,MODIFIED,chéng lóng,seungyong
동호,东浩,MODIFIED,dōng hào,dongho
은중,殷中,MODIFIED,yīn zhōng,eunjung
광선,光善,MODIFIED,guāng shàn,gwangseon
상화,相花,MODIFIED,xiāng huā,sanghwa
이경,利卿,MODIFIED,lì qīng,igyeong
지현,智贤,MODIFIED,zhì xián,jihyeon
미란,美兰,MODIFIED,měi lán,miran
경영,京宁,MODIFIED,jīng níng,gyeongyeong
성룡,成龙,MODIFIED,chéng lóng,seongryong
동진,东进,MODIFIED,dōng jìn,dongjin
방자,方子,MODIFIED,fāng zǐ,bangja
종신,钟信,MODIFIED,zhōng xìn,jongsin
진수,真秀,MODIFIED,zhēn xiù,jinsu
봉,奉,MODIFIED,fèng,bong
중근,重根,MODIFIED,zhòng gēn,junggeun
범수,范洙,MODIFIED,fàn zhū,beomsu
연석,演锡,MODIFIED,yǎn xī,yeonseog
소현,所泫,MODIFIED,suǒ xuàn,sohyeon
옥빈,玉彬,MODIFIED,yù bīn,ogbin
혜옥,惠玉,MODIFIED,huì yù,hyeog
지혜,智惠,MODIFIED,zhì huì,jihye
현확,铉碻,MODIFIED,xuàn qiāo,hyeonhwag
석,石,MODIFIED,shí,seog
은미,银美,MODIFIED,yín měi,eunmi
은실,恩实,MODIFIED,ēn shí,eunsil
영자,英子,MODIFIED,yīng zǐ,yeongja
승훈,承勋,MODIFIED,chéng xūn,seunghun
짐,吉姆,MODIFIED,jí mǔ,jim
범석,范锡,MODIFIED,fàn xī,beomseog
승렬,升烈,MODIFIED,shēng liè,seungryeol
형일,亨镒,MODIFIED,hēng yì,hyeongil
연성,延星,MODIFIED,yán xīng,yeonseong
재성,在成,MODIFIED,zài chéng,jaeseong
민아,敏儿,MODIFIED,mǐn ér,mina
민수,敏寿,MODIFIED,mǐn shòu,minsu
민우,玟雨,MODIFIED,mín yǔ,minu
보선,潽善,MODIFIED,pū shàn,boseon
예진,艺真,MODIFIED,yì zhēn,yejin
미진,美进,MODIFIED,měi jìn,mijin
아라,雅罗,MODIFIED,yǎ luó,ara
혜진,惠轸,MODIFIED,huì zhěn,hyejin
아람,雅岚,MODIFIED,yǎ lán,aram
태규,太奎,MODIFIED,tài kuí,taegyu
은지,恩智,MODIFIED,ēn zhì,eunji
학선,鹤善,MODIFIED,hè shàn,hagseon
혜수,憓秀,MODIFIED,huì xiù,hyesu
재헌,载宪,MODIFIED,zǎi xiàn,jaeheon
휘향,辉香,MODIFIED,huī xiāng,hwihyang
은아,恩雅,MODIFIED,ēn yǎ,euna
호정,好贞,MODIFIED,hǎo zhēn,hojeong
종원,钟原,MODIFIED,zhōng yuán,jongweon
시완,时完,MODIFIED,shí wán,siwan
세훈,世勋,MODIFIED,shì xūn,sehun
진희,珍熙,MODIFIED,zhēn xī,jinhyi
근영,瑾莹,MODIFIED,jǐn yíng,geunyeong
사랑,思朗,MODIFIED,sī lǎng,sarang
기덕,基德,MODIFIED,jī dé,gideog
두나,斗娜,MODIFIED,dòu nà,duna
수정,秀贞,MODIFIED,xiù zhēn,sujeong
연경,软景,MODIFIED,ruǎn jǐng,yeongyeong
경선,敬善,MODIFIED,jìng shàn,gyeongseon
신영,信永,MODIFIED,xìn yǒng,sinyeong
도연,道嬿,MODIFIED,dào yàn,doyeon
남선,南善,MODIFIED,nán shàn,namseon
담비,淡妃,MODIFIED,dàn fēi,dambi
원근,源根,MODIFIED,yuán gēn,weongeun
근철,根哲,MODIFIED,gēn zhé,geunceol
주호,柱昊,MODIFIED,zhù hào,juho
선,宣,MODIFIED,xuān,seon
동열,铜烈,MODIFIED,tóng liè,dongyeol
준수,俊秀,MODIFIED,jùn xiù,junsu
희섭,希涉,MODIFIED,xī shè,hyiseob
양숙,良淑,MODIFIED,liáng shū,yangsug
상은,尚垠,MODIFIED,shàng yín,sangeun
영광,永光,MODIFIED,yǒng guāng,yeonggwang
세혁,世爀,MODIFIED,shì hè,sehyeog
태희,泰希,MODIFIED,tài xī,taehyi
희선,喜善,MODIFIED,xǐ shàn,hyiseon
은숙,银淑,MODIFIED,yín shū,eunsug
문열,文烈,MODIFIED,wén liè,munyeol
태호,台镐,MODIFIED,tái hào,taeho
남길,南佶,MODIFIED,nán jí,namgil
희숙,希淑,MODIFIED,xī shū,hyisug
준영,俊英,MODIFIED,jùn yīng,junyeong
광희,光熙,MODIFIED,guāng xī,gwanghyi
준기,准基,MODIFIED,zhǔn jī,jungi
동준,桐俊,MODIFIED,tóng jùn,dongjun
종욱,锺郁,MODIFIED,zhōng yù,jongug
시경,始璄,MODIFIED,shǐ jǐng,sigyeong
육,陆,MODIFIED,lù,yug
경화,京和,MODIFIED,jīng hé,gyeonghwa
동원,东原,MODIFIED,dōng yuán,dongweon
기정,基祯,MODIFIED,jī zhēn,gijeong
재영,在咏,MODIFIED,zài yǒng,jaeyeong
회찬,会灿,MODIFIED,huì càn,hoecan
윤혜,允慧,MODIFIED,yǔn huì,yunhye
정석,政奭,MODIFIED,zhèng shì,jeongseog
리수,莉秀,MODIFIED,lì xiù,risu
보배,甫倍,MODIFIED,fǔ bèi,bobae
용기,镛基,MODIFIED,yōng jī,yonggi
근혜,槿惠,MODIFIED,jǐn huì,geunhye
규식,奎植,MODIFIED,kuí zhí,gyusig
태지,太志,MODIFIED,tài zhì,taeji
보경,甫炅,MODIFIED,fǔ jiǒng,bogyeong
용형,容衡,MODIFIED,róng héng,yonghyeong
청용,青龙,MODIFIED,qīng lóng,ceongyong
아성,我星,MODIFIED,wǒ xīng,aseong
혜영,惠英,MODIFIED,huì yīng,hyeyeong
상천,商天,MODIFIED,shāng tiān,sangceon
모,牟,MODIFIED,mù,mo
태범,太钒,MODIFIED,tài fán,taebeom
종오,钟午,MODIFIED,zhōng wǔ,jongo
용은,容银,MODIFIED,róng yín,yongeun
혜석,蕙锡,MODIFIED,huì xī,hyeseog
동건,东健,MODIFIED,dōng jiàn,donggeon
치영,致暎,MODIFIED,zhì yìng,ciyeong
자연,紫妍,MODIFIED,zǐ yán,jayeon
선명,鲜明,MODIFIED,xiān míng,seonmyeong
하늘,荷娜,MODIFIED,hé nà,haneul
웅용,雄镕,MODIFIED,xióng róng,ungyong
유천,有天,MODIFIED,yǒu tiān,yuceon
요환,遥焕,MODIFIED,yáo huàn,yohwan
한봉,汉奉,MODIFIED,hàn fèng,hanbong
루마,闰珉,MODIFIED,rùn mín,ruma
택상,泽相,MODIFIED,zé xiāng,taegsang
나영,奈映,MODIFIED,nài yìng,nayeong
영하,英夏,MODIFIED,yīng xià,yeongha
중문,重文,MODIFIED,zhòng wén,jungmun
재형,宰亨,MODIFIED,zǎi hēng,jaehyeong
후락,厚洛,MODIFIED,hòu luò,hurag
궁민,宫珉,MODIFIED,gōng mín,gungmin
성기,圣基,MODIFIED,shèng jī,seonggi
사,史,MODIFIED,shǐ,sa
재혁,载赫,MODIFIED,zǎi hè,jaehyeog
선화,善花,MODIFIED,shàn huā,seonhwa
