lech wałęsa,레흐 바웬사,reheu bawensa
rafał zawierucha,라파엘 자와이어처,rapael jawaieoceo
helena duniczniwińska,헬레나 두니치니빈스카,helrena dunicinibinseuka
przemysław stippa,프셰미스와프 스티파,peusyemiseuwapeu seutipa
józef lubański,요제프 루반스키,yojepeu rubanseuki
izabela zwierzyńska,이자벨라 즈비에진스카,ijabelra jeubiejinseuka
gabriela grzywińska,가브리엘라 그지빈스카,gabeurielra geujibinseuka
rafał malczewski,라파우 말체프스키,rapau malcepeuseuki
robert bernatowicz,로베르토 베르나토비치,robereuto bereunatobici
bartosz ciura,바르토시 치우라,bareutosi ciura
sławomir szewiński,스와보미르 셰빈스키,seuwabomireu syebinseuki
olga kalicka,올가 칼리츠카,olga kalriceuka
krzysztof środa,크시슈토프 시로다,keusisyutopeu siroda
paulina sykutjeżyna,파울리나 시쿠트예지나,paulrina sikuteuyejina
filip jagiełło,필리프 야기에워,pilripeu yagieweo
paweł poljański,파베우 폴랸스키,pabeu polryanseuki
włodzimierz szomański,브워지미에시 쇼만스키,beuweojimiesi syomanseuki
mateusz kwiatkowski,마테우시 크비아트코프스키,mateusi keubiateukopeuseuki
maria pawłowska,마리아 파블로프스카,maria pabeulropeuseuka
paweł domagała,파베우 도마가와,pabeu domagawa
katarzyna bonda,카타지나 본다,katajina bonda
hanna zaremska,한나 자렘스카,hanna jaremseuka
paweł tanajno,파베우 타나이노,pabeu tanaino
małgorzata tusk,마우고자타 투스크,maugojata tuseukeu
michał tusk,미하우 투스크,mihau tuseukeu
katarzyna tusk,카타지나 투스크,katajina tuseukeu
mikołaj tusk,미코와이 투스크,mikowai tuseukeu
anna smołowik,안나 스모워비크,anna seumoweobikeu
jerzy snopek,예지 스노페크,yeji seunopekeu
stefan pawłowski,스테판 파브워프스키,seutepan pabeuweopeuseuki
stanisława gierekciaciura,스타니스와바 기에레크치아치우라,seutaniseuwaba gierekeuciaciura
małgorzata tracz,마우고자타 트라치,maugojata teuraci
maurycy popiel,마우리치 포피엘,maurici popiel
wojciech kolarski,보이치에흐 콜라르스키,boicieheu kolrareuseuki
sandra kubicka,산드라 쿠비카,sandeura kubika
henryk hescheles,헨리크 헤스헬레스,henrikeu heseuhelreseu
piotr stramowski,피오트르 스트라모프스키,pioteureu seuteuramopeuseuki
przemysław czarnek,프셰미스와프 차르네크,peusyemiseuwapeu careunekeu
małgorzata smoleńskakwiatkowska,마우고자타 스몰렌스카크비아트코프스카,maugojata seumolrenseukakeubiateukopeuseuka
joanna augustynowska,요안나 아우구스티노프스카,yoanna auguseutinopeuseuka
kamila gasiukpihowicz,카밀라 가시우크피호비치,kamilra gasiukeupihobici
ewa piaskowska,에바 피아스코프스카,eba piaseukopeuseuka
elżbieta zielińska,엘주비에타 보로프스카,eljubieta boropeuseuka
paulina hennigkloska,파울리나 헨니크클로스카,paulrina hennikeukeulroseuka
antoni duda,안토니 두다,antoni duda
ewa lieder,에바 리에데르,eba riedereu
krzysztof łapiński,크시슈토프 와핀스키,keusisyutopeu wapinseuki
marta golbik,마르타 골비크,mareuta golbikeu
zofia szymanowskalenartowicz,조피아 시마노프스카레나르토비치,jopia simanopeuseukarenareutobici
andrzej stankiewicz,안제이 스탄키에비치,anjei seutankiebici
anna kwiecień,안나 크비에치엔,anna keubiecien
paweł pudłowski,파베우 푸드워프스키,pabeu pudeuweopeuseuki
arkadiusz marchewka,아르카디우시 마르헤프카,areukadiusi mareuhepeuka
halina ogarekczoj,할리나 오가레크초이,halrina ogarekeucoi
mirosław suchoń,미로스와프 수혼,miroseuwapeu suhon
piotr misiło,피오트르 미시워,pioteureu misiweo
joanna scheuringwielgus,요아나 쇼이링비엘구스,yoana syoiringbielguseu
adam szłapka,아담 슈왑카,adam syuwabka
paweł szramka,파베우 슈람카,pabeu syuramka
agnieszka ścigaj,아그니에슈카 시치가이,ageuniesyuka sicigai
łukasz rzepecki,우카시 제페츠키,ukasi jepeceuki
tomasz rzymkowski,토마시 짐코프스키,tomasi jimkopeuseuki
jarosław sachajko,야로스와프 사하이코,yaroseuwapeu sahaiko
zbigniew stonoga,즈비그니에프 스토노가,jeubigeuniepeu seutonoga
kornelia wróblewska,코르넬리아 브루블레프스카,koreunelria beurubeulrepeuseuka
witold zembaczyński,비톨트 젬바친스키,bitolteu jembacinseuki
anna woźniacka,안나 보즈니아키,anna bojeuniaki
grzegorz długi,그제고시 드우기,geujegosi deuugi
marek całka,마렉 차우카,mareg cauka
remigiusz mróz,레미기우시 므루스,remigiusi meuruseu
jan kwiatkowski,얀 크비아트코프스키,yan keubiateukopeuseuki
daniel obajtek,다니엘 오바이테크,daniel obaitekeu
tomasz oświeciński,토마시 오시비에친스키,tomasi osibiecinseuki
piotr ostaszewski,피오트르 오스타셰프스키,pioteureu oseutasyepeuseuki
henryk gradkowski,헨리크 그라트코프스키,henrikeu geurateukopeuseuki
zofia zborowska,조피아 즈보로프스카,jopia jeuboropeuseuka
włodzimierz dzieduszycki,브워지미에시 지에두시스키,beuweojimiesi jiedusiseuki
aleksandra ciupa,올라 치우파,olra ciupa
michał andryszak,미하우 안드리샤크,mihau andeurisyakeu
mateusz surma,마테우스 수르마,mateuseu sureuma
mateusz kijowski,마테우시 키조프스키,mateusi kijopeuseuki
jadwiga emilewicz,야드비가 에밀레비치,yadeubiga emilrebici
krzysztof śmiszek,크시슈토프 시미셰크,keusisyutopeu simisyekeu
krzysztof szpetmański,크시슈토프 슈페트만스키,keusisyutopeu syupeteumanseuki
jerzy ciapała,예지 치아파와,yeji ciapawa
przemysław krompiec,프셰므스와브 크롬피에츠,peusyemeuseuwabeu keurompieceu
kazimierz jerzy czartoryski,카지미에시 예지 차르토리스키,kajimiesi yeji careutoriseuki
dawid celt,다비트 첼트,dabiteu celteu
wojciech niżyński,보이치에흐 니진스키,boicieheu nijinseuki
maja chwalińska,마야 흐발린스카,maya heubalrinseuka
jacek styszyński,야체크 스티신스키,yacekeu seutisinseuki
roman kwiatkowski,로만 크비아트코프스키,roman keubiateukopeuseuki
jacek buko,야체크 부코,yacekeu buko
maciej kopeć,마치에이 코페치,maciei kopeci
dominik rozkrut,도미니크 로스크루트,dominikeu roseukeuruteu
przemysław kwiatkowski,프셰미스와프 크비아트코프스키,peusyemiseuwapeu keubiateukopeuseuki
aleksandra terpińska,알렉산드라 테르핀스카,alregsandeura tereupinseuka
kamil lemieszewski,카밀 레미에쉐브스키,kamil remieswebeuseuki
daria zawiałow,다리아 자비아워프,daria jabiaweopeu
dariusz dudek,다리우시 두데크,dariusi dudekeu
barbara czerwijowska,바르바라 체르비요프스카,bareubara cereubiyopeuseuka
joanna opozda,요안나 오포즈다,yoanna opojeuda
dominika kryszczyńska,도미니카 크리슈친스카,dominika keurisyucinseuka
jakub józef orliński,야쿠프 유제프 오를린스키,yakupeu yujepeu oreulrinseuki
krzysztof ciebień,크쥐슈또프 체벤,keujwisyuddopeu ceben
monika braun,모니카 브라운,monika beuraun
aleksandra domańska,알렉산드라 도만스카,alregsandeura domanseuka
milena suszyńska,밀레나 수신스카,milrena susinseuka
halina szymańska,할리나 시만스카,halrina simanseuka
bartosz cichocki,바르토시 치호츠키,bareutosi cihoceuki
olga jankowska,올가 얀코프스카,olga yankopeuseuka
bartosz czarnecki,바르토시 차르네츠키,bareutosi careuneceuki
anna terpiłowska,안나 테르피워프스카,anna tereupiweopeuseuka
oskar kwiatkowski,오스카르 크비아트코프스키,oseukareu keubiateukopeuseuki
kamila stormowska,카밀라 스토르모프스카,kamilra seutoreumopeuseuka
mariusz wróblewski,마리우스 로블르스키,mariuseu robeulreuseuki
aleksandra adamska,알렉산드라 아담스카,alregsandeura adamseuka
elżbieta czerczuk,엘주비에타 체르추크,eljubieta cereucukeu
marta gałuszewska,마르타 가우셰프스카,mareuta gausyepeuseuka
adrianna kalska,아드리안나 칼스카,adeurianna kalseuka
weronika łukaszewska,베로니카 우카셰프스카,beronika ukasyepeuseuka
joanna grudzińska,요안나 그루진스카,yoanna geurujinseuka
iga krefft,이가 크레프트,iga keurepeuteu
michał kołodziejski,미하우 코워지에이스키,mihau koweojieiseuki
mieczysław inglot,미에치스와프 인글로트,mieciseuwapeu ingeulroteu
małgorzata manowska,마우고자타 마노프스카,maugojata manopeuseuka
izabella krzan,이자벨라 크샨,ijabelra keusyan
marcel ponitka,마르첼 포니트카,mareucel poniteuka
marta knoch,마르타 부이치크,mareuta buicikeu
gosia rdest,고시아 르데스트,gosia reudeseuteu
lukasz kuczynski,우카시 쿠친스키,ukasi kucinseuki
błażej spychalski,브와제이 스피할스키,beuwajei seupihalseuki
aleksandra dulkiewicz,알렉산드라 둘키에비치,alregsandeura dulkiebici
alicja konieczek,알리차 코니에체크,alrica koniecekeu
jan antoni czochralski,얀 안토니 초흐랄스키,yan antoni coheuralseuki
arkadiusz smoleński,아르카디우시 스몰렌스키,areukadiusi seumolrenseuki
kinga flagagieruszyńska,킹가 플라가기에루신스카,kingga peulragagierusinseuka
michalina sosna,미할리나 소스나,mihalrina soseuna
diane sellier,디아네 셀리에,diane selrie
sebastian kaleta,세바스티안 칼레타,sebaseutian kalreta
blanka lipińska,블란카 리핀스카,beulranka ripinseuka
natalia zambrzycka,나탈리아 잠브지츠카,natalria jambeujiceuka
mateo klimowicz,마테오 클리모비치,mateo keulrimobici
izabela lutosławska,이자벨라 루토스와프스카,ijabelra rutoseuwapeuseuka
maciej kawulski,마치에이 카불스키,maciei kabulseuki
teoniki rożynek,테오니키 로지네크,teoniki rojinekeu
tatiana tokarczuk,타티아나 토카르추크,tatiana tokareucukeu
marcin jankowski,마르친 얀코프스키,mareucin yankopeuseuki
józef elsner,유제프 엘스네르,yujepeu elseunereu
adrian meronk,아드리안 메론크,adeurian meronkeu
zbigniew dylewski,즈비그니에프 딜레프스키,jeubigeuniepeu dilrepeuseuki
barbara białowąs,바르바라 비아워봉스,bareubara biaweobongseu
witold skrzydlewski,비톨트 스크시들레프스키,bitolteu seukeusideulrepeuseuki
malwina wędzikowska,말비나 벵지코프스카,malbina bengjikopeuseuka
adriana achcińska,아드리아나 아흐친스카,adeuriana aheucinseuka
bartosz grzybowski,바르토슈 그쥐보프스키,bareutosyu geujwibopeuseuki
karolina bielawska,카롤리나 비에라프스카,karolrina bierapeuseuka
maciej musiałowski,마치에이 무시아워프스키,maciei musiaweopeuseuki
grzegorz kowal,그제코시 코발,geujekosi kobal
bartosz czuba,바르토시 추바,bareutosi cuba
stanisław frejlak,스타니스와프 프레이라크,seutaniseuwapeu peureirakeu
mateusz łasowski,마테우스 라소스키,mateuseu rasoseuki
piotr sierzputowski,피오트르 시에슈푸토프스키,pioteureu siesyuputopeuseuki
margot,마르고트,mareugoteu
filip kalczyński,필리프 칼친스키,pilripeu kalcinseuki
brunon kamiński,브루논 카민스키,beurunon kaminseuki
stanisław bryliński,스타니스와프 브릴린스키,seutaniseuwapeu beurilrinseuki
helena górska,헬레나 구르스카,helrena gureuseuka
barbara lem,바르바라 렘,bareubara rem
andrzej pietras,안제이 피에트라스,anjei pieteuraseu
monika witusikperkowska,모니카 위투식페르코프스카,monika witusigpereukopeuseuka
aneta konieczek,아네타 코니에체크,aneta koniecekeu
oliwia bieniuk,올리비아 비에니우크,olribia bieniukeu
krystian ochman,크리스티안 오크만,keuriseutian okeuman
michał niewiński,미하우 니에빈스키,mihau niebinseuki
wojciech fuliński,보이치에흐 풀린스키,boicieheu pulrinseuki
przemysław pawlak,프셰미스와프 파블라크,peusyemiseuwapeu pabeulrakeu
helena skrzydlewska,헬레나 스크시들레프스카,helrena seukeusideulrepeuseuka
jann,잔,jan
owińska,오빈스카,obinseuka
kluczbork,클루치보르크,keulruciboreukeu
swarzędz,스바젱츠,seubajengceu
pobiedziska,포비에지스카,pobiejiseuka
szamotuły,샤모투위,syamotuwi
puszczykowo,푸슈치코보,pusyucikobo
luboń,루본,rubon
września,브제시니아,beujesinia
szczebrzeszyn,슈체브제신,syucebeujesin
koło,코워,koweo
stosunki polskorosyjskie,러시아폴란드 관계,reosiapolrandeu gwangye
świebodzin,시비에보진,sibiebojin
świecie,스비에치에,seubiecie
pyrzyce,피지체,pijice
garwolin,가르볼린,gareubolrin
żarów,자루프,jarupeu
grójec,그루예츠,geuruyeceu
żórawina,주라비나,jurabina
koleje dolnośląskie,돌니실롱스크의 철도,dolnisilrongseukeuyi ceoldo
sulechów,술레후프,sulrehupeu
pińczów,핀추프,pincupeu
hajnówka,하이누프카,hainupeuka
stosunki polskowęgierskie,폴란드헝가리 관계,polrandeuheonggari gwangye
fabryka emalia oskara schindlera,오스카 쉰들러의 에나멜 공장,oseuka swindeulreoyi enamel gongjang
długopolezdrój,드우고폴레즈드루이,deuugopolrejeudeurui
kaszuby,카슈비아,kasyubia
krasnystaw,크라스니스타프,keuraseuniseutapeu
nidzica,니지차,nijica
pabianice,파비아니체,pabianice
oblężenie westerplatte,베스테르플라테 전투,beseutereupeulrate jeontu
puławy,푸와비,puwabi
poddębice,포뎅비체,podengbice
żnin,주닌,junin
ryn,린,rin
wypadek kolejowy pod szczekocinami,슈체코치니 열차 충돌 사고,syucekocini yeolca cungdol sago
nowe,노베,nobe
aleksandrów kujawski,알렉산드루프 쿠야프스키,alregsandeurupeu kuyapeuseuki
myślenice,미실레니체,misilrenice
zdany,즈다느,jeudaneu
iłowa,이워바,iweoba
stęszew,스텡셰프,seutengsyepeu
arkady kubickiego,쿠비치키 아케이드,kubiciki akeideu
gryfice,그리피체,geuripice
ćmielów,치미엘루프,cimielrupeu
kartuzy,카르투지,kareutuji
zduńska wola,즈둔스카 볼라,jeudunseuka bolra
skarżyskokamienna,스카르지스코카미엔나,seukareujiseukokamienna
burmistrz,수령,suryeong
wągrowiec,봉그로비에츠,bonggeurobieceu
siedliszcze,시에들리슈체,siedeulrisyuce
stadion energa gdańsk,스타디온 에네르가 그단스크,seutadion enereuga geudanseukeu
klecina,클레치나,keulrecina
jordanów śląski,요르다누프 실롱스키,yoreudanupeu silrongseuki
zelów,젤루프,jelrupeu
łuski,어린,eorin
połczynzdrój,포우친즈드루이,poucinjeudeurui
wschowa,프스호바,peuseuhoba
szczuczyn,슈추친,syucucin
mońki,몬키,monki
koleje śląskie,실롱스크의 철도,silrongseukeuyi ceoldo
mszana dolna,므샤나 돌나,meusyana dolna
legionowo,레기오노보,regionobo
oława,오와바,owaba
szydłowiec,시드워비에츠,sideuweobieceu
granica polskorosyjska,러시아폴란드 국경,reosiapolrandeu guggyeong
granice polski,폴란드의 국경,polrandeuyi guggyeong
piaseczno,피아세치노,piasecino
otwock,오트보츠크,oteuboceukeu
krotoszyn,크로토신,keurotosin
mikołajki,미콜라이키,mikolraiki
kościerzyna,코시치에지나,kosiciejina
rytro,르트로,reuteuro
węgorzewo,벵고제보,benggojebo
premierzy polski,폴란드의 총리,polrandeuyi congri
lidzbark warmiński,리즈바르크 바르민스키,rijeubareukeu bareuminseuki
starachowice,스타라호비체,seutarahobice
bardo,바르도,bareudo
komorniki,코모르니키,komoreuniki
przysucha,프시수하,peusisuha
newag,네바그,nebageu
wojcieszów,보이치에슈프,boiciesyupeu
drezdenko,드레즈덴코,deurejeudenko
kcynia,크치니아,keucinia
pruszcz gdański,프루스크 그단스키,peuruseukeu geudanseuki
grybów,그르부프,geureubupeu
kozienice,코지에니체,kojienice
chełmża,헤움자,heumja
gołdap,고우다프,goudapeu
białobrzegi,비알로브제기,bialrobeujegi
olecko,올레츠코,olreceuko
kąty wrocławskie,콩트 브로츠와프스키에,kongteu beuroceuwapeuseukie
biedronka,비에드론카,biedeuronka
bieżuń,비에준,biejun
szczytno,슈치트노,syuciteuno
gniewino,그니에비노,geuniebino
gietrzwałd,기에트슈바우트,gieteusyubauteu
boboszów,보보슈프,bobosyupeu
tymbark,틈바르크,teumbareukeu
międzylesie,미엥즐레시에,miengjeulresie
miss polonia,미스 폴란드,miseu polrandeu
grunwald,그룬발트,geurunbalteu
olsztynek,올슈티네크,olsyutinekeu
zwierzyniec,즈비에지니에츠,jeubiejinieceu
krzyżtopór,크리지즈토푸르,keurijijeutopureu
suchedniów,수헤드니우프,suhedeuniupeu
kolegium europejskie,유럽 대학교,yureob daehaggyo
port lotniczy modlin,바르샤바 모들린 공항,bareusyaba modeulrin gonghang
stadion zagłębia lubin,스타디온 자그웽비아 루빈,seutadion jageuwengbia rubin
łososina dolna,워소시나 돌나,weososina dolna
granica polskosłowacka,슬로바키아폴란드 국경,seulrobakiapolrandeu guggyeong
granica polskoczeska,체코폴란드 국경,cekopolrandeu guggyeong
orkiestra symfoniczna filharmonii narodowej,바르샤바 국립 필하모니 관현악단,bareusyaba gugrib pilhamoni gwanhyeonagdan
uniwersytet szczeciński,슈체친 대학교,syucecin daehaggyo
opole lubelskie,오폴레 루벨스키에,opolre rubelseukie
kultura polski,폴란드의 문화,polrandeuyi munhwa
prężynka,프렝진카,peurengjinka
domaszków,도마슈쿠프,domasyukupeu
medyka,메디카,medika
nałęczów,나웽추프,nawengcupeu
niepruszewo,니에프루셰보,niepeurusyebo
konina,코니나,konina
granica polskolitewska,리투아니아폴란드 국경,rituaniapolrandeu guggyeong
białowieża,비아워비에자,biaweobieja
polskie listy przebojów,폴란드 음악 차트,polrandeu eumag cateu
lanckorona,란츠코로나,ranceukorona
tyniec mały,트니에츠 마우으,teunieceu maueu
przeźmierowo,프셰지미에로보,peusyejimierobo
lusowo,루소보,rusobo
granica polskobiałoruska,벨라루스폴란드 국경,belraruseupolrandeu guggyeong
pełkinie,페우키니에,peukinie
granica polskoukraińska,우크라이나폴란드 국경,ukeurainapolrandeu guggyeong
żabka,자브카,jabeuka
wylatowo,블라토보,beulratobo
antoniówka,안토니우프카,antoniupeuka
kozłówka,코주프카,kojupeuka
baranowo,바라노보,baranobo
brodnia górna,브로드니아 구르나,beurodeunia gureuna
chojnata,호이나타,hoinata
chochołów,호호우프,hohoupeu
sułoszowa,수워쇼바,suweosyoba
emilcin,에밀친,emilcin
domasław,도마스와프,domaseuwapeu
grudza,그루자,geuruja
ogrodniczki,오그로드니치키,ogeurodeuniciki
bobrówka,보브루프카,bobeurupeuka
koninki,코닌키,koninki
kośmin,코시민,kosimin
małuszów,마우슈프,mausyupeu
potrzanowo,포트샤노보,poteusyanobo
teyon,테이온,teion
wikidot,위키닷,wikidas
sędziejowice,셍지에요비체,sengjieyobice
więckowice,비엥츠코비체,biengceukobice
turbacz,투르바츠,tureubaceu
wysocko,비소츠코,bisoceuko
żernica,제르니차,jereunica
zborowo,즈보로보,jeuborobo
świebodów,시비에보두프,sibiebodupeu
fundacja nautilus,노틸러스 재단,notilreoseu jaedan
strzeżenice,스트셰제니체,seuteusyejenice
wartogłowiec,바르토그워비에츠,bareutogeuweobieceu
ambasada hiszpanii w polsce,주 폴란드 스페인 대사관,ju polrandeu seupein daesagwan
lewiatan,레비아탄,rebiatan
partynice,파르트니체,pareuteunice
porębianka,포렝비안카,porengbianka
polski instytut spraw międzynarodowych,폴란드 국제 관계 연구원,polrandeu gugje gwangye yeonguweon
polskie towarzystwo chemiczne,폴란드 화학 협회,polrandeu hwahag hyeobhoe
granica polskoszwedzka,스웨덴폴란드 국경,seuwedenpolrandeu guggyeong
granica polskoduńska,덴마크폴란드 국경,denmakeupolrandeu guggyeong
granica polskoniemiecka,독일폴란드 국경,dogilpolrandeu guggyeong
koleje małopolskie,마워폴스카의 철도,maweopolseukayi ceoldo
polska grupa zbrojeniowa,폴란드 군비 그룹,polrandeu gunbi geurub
komitet obrony demokracji,민주주의 수호 위원회,minjujuyi suho wiweonhoe
teren skansenu,노비송치 민속촌,nobisongci minsogcon
huragan alex,폭풍 알렉스,pogpung alregseu
zabytki w sosnowcu,소스노비에츠의 문화유산 기념물,soseunobieceuyi munhwayusan ginyeommul
orkan eunice,폭풍우 유니스,pogpungu yuniseu
warsaw,바르샤바,bareusyaba
bielskobiala,비엘스코비아와,bielseukobiawa
europe,유럽,yureob
stadion miejski,스타디온 미에이스키,seutadion mieiseuki
usedom island,우제돔 섬,ujedom seom
