douglas adams,ダグラス・アダムズ,dagurasu・adamuzu
john paul getty jr,ジョン・ポール・ゲティ・ジュニア,jon・pōru・geti・junia
logan pearsall smith,ローガン・ピアソル・スミス,rōgan・piasoru・sumisu
joe launchbury,ジョー・ローンチブリー,jō・rōnchiburī
steve nicol,スティーブ・ニコル,sutību・nikoru
timothy barnes,ティモシー・バーンズ,timoshī・bānzu
andy gibb,アンディ・ギブ,andi・gibu
steve ovett,スティーブ・オベット,sutību・obetto
james mirrlees,ジェームズ・マーリーズ,jēmuzu・mārīzu
bessie love,ベッシー・ラヴ,besshī・ravu
charles lightoller,チャールズ・ライトラー,chāruzu・raitorā
joyce hatto,ジョイス・ハット,joisu・hatto
hamilton harty,ハミルトン・ハーティ,hamiruton・hāti
landon ronald,ランドン・ロナルド,randon・ronarudo
simon blackburn,サイモン・ブラックバーン,saimon・burakkubān
stan laurel,スタン・ローレル,sutan・rōreru
billy idol,ビリー・アイドル,birī・aidoru
craig ferguson,クレイグ・ファーガソン,kureigu・fāgason
charlotte auerbach,シャーロット・アワーバック,shārotto・awābakku
james morrison,ジェームズ・モリソン,jēmuzu・morison
peter sellers,ピーター・セラーズ,pītā・serāzu
paul rutherford,ポール・ラザフォード,pōru・razafōdo
eugene simon,ユージン・サイモン,yūjin・saimon
tom conti,トム・コンティ,tomu・konti
ellen terry,エレン・テリー,eren・terī
ann packer,アン・パッカー,an・pakkā
john flamsteed,ジョン・フラムスティード,jon・furamusutīdo
gary barlow,ゲイリー・バーロウ,geirī・bārou
dani rowe,ダニエル・キング,danieru・kingu
matthew herbert,マシュー・ハーバート,mashū・hābāto
tessa sanderson,テッサ・サンダーソン,tessa・sandāson
gregg sulkin,グレッグ・サルキン,gureggu・sarukin
emma kirkby,エマ・カークビー,ema・kākubī
sylvia sleigh,シルヴィア・スレイ,shiruvia・surei
rachel kempson,レイチェル・ケンプソン,reicheru・kenpuson
andrea riseborough,アンドレア・ライズボロー,andorea・raizuborō
sandy powell,サンディ・パウエル,sandi・paueru
denise mina,デニーズ・ミーナ,denīzu・mīna
david gilmour,デヴィッド・ギルモア,deviddo・girumoa
patricia hayes,パトリシア・ヘイズ,patorishia・heizu
jason gardener,ジェイソン・ガードナー,jeison・gādonā
richard seaman,リチャード・シーマン,richādo・shīman
irvine welsh,アーヴィン・ウェルシュ,āvin・werushu
frederic john walker,フレデリック・ジョン・ウォーカー,furederikku・jon・wōkā
margaret murray,マーガレット・マリー,māgaretto・marī
lindsay duncan,リンジー・ダンカン,rinjī・dankan
chris de burgh,クリス・デ・バー,kurisu・de・bā
peter osgood,ピーター・オスグッド,pītā・osuguddo
luke moore,ルーク・ムーア,rūku・mūa
ida haendel,イダ・ヘンデル,ida・henderu
marie rambert,マリー・ランバート,marī・ranbāto
kathleen ferrier,キャスリーン・フェリア,kyasurīn・feria
donald runnicles,ドナルド・ラニクルズ,donarudo・ranikuruzu
paul hunter,ポール・ハンター,pōru・hantā
janet baker,ジャネット・ベイカー,janetto・beikā
mary bell,メアリー・ベル,mearī・beru
w t stead,ウィリアム・トーマス・ステッド,wiriamu・tōmasu・suteddo
birdy,バーディー,bādī
angela mortimer,アンジェラ・モーティマー,anjera・mōtimā
rachel stevens,レイチェル・スティーヴンス,reicheru・sutīvunsu
stephen warnock,スティーヴン・ウォーノック,sutīvun・wōnokku
beverley allitt,ビヴァリー・アリット,bivarī・aritto
anne perry,アン・ペリー,an・perī
gwyneth jones,ギネス・ジョーンズ,ginesu・jōnzu
yvette cooper,イヴェット・クーパー,ivuェtto・kūpā
nigel martyn,ナイジェル・マーティン,naijeru・mātin
jeremy corbyn,ジェレミー・コービン,jeremī・kōbin
cleo laine,クレオ・レーン,kureo・rēn
alan cartwright,アラン・カートライト,aran・kātoraito
ric sanders,リック・サンダース,rikku・sandāsu
victor mclaglen,ヴィクター・マクラグレン,vikutā・makuraguren
madeleine carroll,マデリーン・キャロル,maderīn・kyaroru
craig johnston,クレイグ・ジョンストン,kureigu・jonsuton
cicely saunders,シシリー・ソンダース,shishirī・sondāsu
thérèse coffey,テレーズ・コフィー,terēzu・kofī
elizabeth hurley,エリザベス・ハーレイ,erizabesu・hārei
hans kornberg,ハンス・コーンバーグ,hansu・kōnbāgu
paul gilroy,ポール・ギルロイ,pōru・giruroi
john ellis,ジョン・エリス,jon・erisu
adrian scott stokes,エイドリアン・スコット・ストークス,eidorian・sukotto・sutōkusu
harry melling,ハリー・メリング,harī・meringu
tom courtenay,トム・コートネイ,tomu・kōtonei
norbert elias,ノルベルト・エリアス,noruberuto・eriasu
martin fowler,マーティン・ファウラー,mātin・faurā
andrew weatherall,アンドリュー・ウェザオール,andoryū・wezaōru
archie panjabi,アーチー・パンジャビ,āchī・panjabi
kate beckinsale,ケイト・ベッキンセイル,keito・bekkinseiru
gabrielle,ガブリエル,gaburieru
paul bettany,ポール・ベタニー,pōru・betanī
pauline collins,ポーリーン・コリンズ,pōrīn・korinzu
alicia markova,アリシア・マルコワ,arishia・marukowa
darcey bussell,ダーシー・バッセル,dāshī・basseru
mary garden,メアリー・ガーデン,mearī・gāden
judy dyble,ジュディ・ダイブル,judi・daiburu
tracey crouch,トレーシー・クラウチ,torēshī・kurauchi
sylvia syms,シルヴィア・シムズ,shiruvia・shimuzu
elizabeth von arnim,エリザベス・フォン・アーニム,erizabesu・fon・ānimu
e f schumacher,エルンスト・フリードリッヒ・シューマッハー,erunsuto・furīdorihhi・shūmahhā
william joyce,ウィリアム・ジョイス,wiriamu・joisu
karl mannheim,カール・マンハイム,kāru・manhaimu
erich mendelsohn,エーリヒ・メンデルゾーン,ērihi・menderuzōn
edward elgar,エドワード・エルガー,edowādo・erugā
antonia fraser,アントニア・フレーザー,antonia・furēzā
draco malfoy,ドラコ・マルフォイ,dorako・marufoi
venetia burney,ヴァニーシア・バーニー,vanīshia・bānī
beatrice lillie,ベアトリス・リリー,beatorisu・rirī
sinead kerr,シネイド・ケアー,shineido・keā
juliet aubrey,ジュリエット・オーブリー,jurietto・ōburī
freya stark,フレヤ・スターク,fureya・sutāku
david julyan,デヴィッド・ジュリアン,deviddo・jurian
mike westbrook,マイク・ウェストブルック,maiku・wesutoburukku
talvin singh,タルヴィン・シン,taruvin・shin
brian freemantle,ブライアン・フリーマントル,buraian・furīmantoru
eric frank russell,エリック・フランク・ラッセル,erikku・furanku・rasseru
lindy hemming,リンディ・ヘミングス,rindi・hemingusu
anastasia griffith,アナスタシア・グリフィス,anasutashia・gurifisu
michael sprott,マイケル・スプロット,maikeru・supurotto
martine mccutcheon,マルティン・マカッチョン,marutin・makatchon
katarina waters,カタリナ・ウォーターズ,katarina・wōtāzu
sophie muller,ソフィー・ミュラー,sofī・myurā
marin alsop,マリン・オールソップ,marin・ōrusoppu
emma thomas,エマ・トーマス,ema・tōmasu
graham kendrick,グラハム・ケンドリック,gurahamu・kendorikku
russ bray,ラス・ブレイ,rasu・burei
mickie most,ミッキー・モスト,mikkī・mosuto
mary of teck,メアリー・オブ・テック,mearī・obu・tekku
ralf dahrendorf,ラルフ・ダーレンドルフ,rarufu・dārendorufu
ludwig guttmann,ルートヴィヒ・グットマン,rūtovihi・guttoman
benedict cumberbatch,ベネディクト・カンバーバッチ,benedikuto・kanbābatchi
terence stamp,テレンス・スタンプ,terensu・sutanpu
anna freud,アンナ・フロイト,anna・furoito
max perutz,マックス・ペルーツ,makkusu・perūtsu
mcdonald bailey,マクドナルド・ベイリー,makudonarudo・beirī
cecilia colledge,セシリア・カレッジ,seshiria・karejji
christopher lee,クリストファー・リー,kurisutofā・rī
boris johnson,ボリス・ジョンソン,borisu・jonson
julian huxley,ジュリアン・ハクスリー,jurian・hakusurī
peter mansfield,ピーター・マンスフィールド,pītā・mansufīrudo
arthur koestler,アーサー・ケストラー,āsā・kesutorā
roger waters,ロジャー・ウォーターズ,rojā・wōtāzu
peter crouch,ピーター・クラウチ,pītā・kurauchi
peter shilton,ピーター・シルトン,pītā・shiruton
ross turnbull,ロス・ターンブル,rosu・tānburu
andrew lloyd webber,アンドルー・ロイド・ウェバー,andorū・roido・webā
john prescott,ジョン・プレスコット,jon・puresukotto
stafford cripps,スタッフォード・クリップス,sutaffōdo・kurippusu
oswald mosley,オズワルド・モズレー,ozuwarudo・mozurē
aneurin barnard,アナイリン・バーナード,anairin・bānādo
dev patel,デーヴ・パテール,dēvu・patēru
tom stoppard,トム・ストッパード,tomu・sutoppādo
geoff hoon,ジェフ・フーン,jefu・fūn
jay sean,ジェイ・ショーン,jei・shōn
christine truman,クリスティン・トルーマン,kurisutin・torūman
damien hirst,ダミアン・ハースト,damian・hāsuto
henry ian cusick,ヘンリー・イアン・キュージック,henrī・ian・kyūjikku
william bligh,ウィリアム・ブライ,wiriamu・burai
sophie dahl,ソフィー・ダール,sofī・dāru
steve bruce,スティーヴ・ブルース,sutīvu・burūsu
gary numan,ゲイリー・ニューマン,geirī・nyūman
peter finch,ピーター・フィンチ,pītā・finchi
steve mcmanaman,スティーブ・マクマナマン,sutību・makumanaman
liam ridgewell,リアム・リッジウェル,riamu・rijjiweru
geoffrey howe,ジェフリー・ハウ,jefurī・hau
michael heseltine,マイケル・ヘーゼルタイン,maikeru・hēzerutain
alan johnson,アラン・ジョンソン,aran・jonson
denis healey,デニス・ヒーリー,denisu・hīrī
john profumo,ジョン・プロヒューモ,jon・purohyūmo
ernest bevin,アーネスト・ベヴィン,ānesuto・bevin
john smith,ジョン・スミス,jon・sumisu
liam fox,リアム・フォックス,riamu・fokkusu
tony benn,トニー・ベン,tonī・ben
michael foot,マイケル・フット,maikeru・futto
ernst gombrich,エルンスト・ゴンブリッチ,erunsuto・gonburitchi
otto erich deutsch,オットー・エーリヒ・ドイチュ,ottō・ērihi・doichu
richard tauber,リヒャルト・タウバー,rihyaruto・taubā
walter scott,ウォルター・スコット,worutā・sukotto
elizabeth haffenden,エリザベス・ハフェンデン,erizabesu・hafenden
emma goldman,エマ・ゴールドマン,ema・gōrudoman
henry cavill,ヘンリー・カヴィル,henrī・kaviru
george lansbury,ジョージ・ランズベリー,jōji・ranzuberī
julian barnes,ジュリアン・バーンズ,jurian・bānzu
g e moore,ジョージ・エドワード・ムーア,jōji・edowādo・mūa
mark delaney,マーク・ディレイニー,māku・direinī
elias canetti,エリアス・カネッティ,eriasu・kanetti
agyness deyn,アギネス・ディーン,aginesu・dīn
brian josephson,ブライアン・ジョゼフソン,buraian・jozefuson
julie christie,ジュリー・クリスティ,jurī・kurisuti
john gurdon,ジョン・ガードン,jon・gādon
gilbert taylor,ギルバート・テイラー,girubāto・teirā
jessica tandy,ジェシカ・タンディ,jeshika・tandi
rudolf abel,ルドルフ・アベル,rudorufu・aberu
vivian woodward,ビビアン・ウッドワード,bibian・uddowādo
kevin mcgarrity,ケビン・マクガリティー,kebin・makugaritī
paul lambert,ポール・ランバート,pōru・ranbāto
ray milland,レイ・ミランド,rei・mirando
banesh hoffmann,バーネッシュ・ホフマン,bānesshu・hofuman
ryan shawcross,ライアン・ショウクロス,raian・shoukurosu
john ruddy,ジョン・ラディ,jon・radi
lennox lewis,レノックス・ルイス,renokkusu・ruisu
john higgins,ジョン・ヒギンズ,jon・higinzu
julianne moore,ジュリアン・ムーア,jurian・mūa
glenda jackson,グレンダ・ジャクソン,gurenda・jakuson
george arliss,ジョージ・アーリス,jōji・ārisu
tom hooper,トム・フーパー,tomu・fūpā
brian johnson,ブライアン・ジョンソン,buraian・jonson
rab butler,ラブ・バトラー,rabu・batorā
jack dunn,ジャック・ダン,jakku・dan
ioan gruffudd,ヨアン・グリフィズ,yoan・gurifizu
robbie coltrane,ロビー・コルトレーン,robī・korutorēn
alfred molina,アルフレッド・モリーナ,arufureddo・morīna
justine greening,ジャスティン・グリーニング,jasutin・gurīningu
john buchan,ジョン・バカン,jon・bakan
george osborne,ジョージ・オズボーン,jōji・ozubōn
nicky butt,ニッキー・バット,nikkī・batto
alex pettyfer,アレックス・ペティファー,arekkusu・petifā
norman lamont,ノーマン・ラモント,nōman・ramonto
leon brittan,レオン・ブリタン,reon・buritan
rodney robert porter,ロドニー・ロバート・ポーター,rodonī・robāto・pōtā
scott carson,スコット・カーソン,sukotto・kāson
marty feldman,マーティ・フェルドマン,māti・ferudoman
tom hiddleston,トム・ヒドルストン,tomu・hidorusuton
