angela merkel,アンゲラ・メルケル,angera・merukeru
timothy chandler,ティモシー・チャンドラー,timoshī・chandorā
heinrich thyssen,ハインリヒ・ティッセン,hainrihi・tissen
michael stürmer,ミヒャエル・シュテュルマー,mihyaeru・shutyurumā
hanna reitsch,ハンナ・ライチュ,hanna・raichu
hermann müller,ヘルマン・ミュラー,heruman・myurā
kelly trump,ケリー・トランプ,kerī・toranpu
helmuth von pannwitz,ヘルムート・フォン・パンヴィッツ,herumūto・fon・panvittsu
max abraham,マックス・アブラハム,makkusu・aburahamu
franz josias,フランツ・ヨシアス,furantsu・yoshiasu
ernst tugendhat,エルンスト・トゥーゲントハット,erunsuto・tūgentohatto
kurt von der chevallerie,クルト・フォン・デア・シュヴァルリー,kuruto・fon・dea・shuvarurī
björn engholm,ビョルン・エングホルム,byorun・enguhorumu
rudolf schlechter,ルドルフ・シュレヒター,rudorufu・shurehitā
gustav bauer,グスタフ・バウアー,gusutafu・bauā
frits clausen,フリッツ・クラウゼン,furittsu・kurauzen
dorothee sölle,ドロテー・ゼレ,dorotē・zere
ernst wilhelm bohle,エルンスト・ヴィルヘルム・ボーレ,erunsuto・viruherumu・bōre
günther pancke,ギュンター・パンケ,gyuntā・panke
martin luther,マルティン・ルター,marutin・rutā
henry maske,ヘンリー・マスケ,henrī・masuke
ingrid micklerbecker,イングリット・ベッカー,inguritto・bekkā
mathilde von sachsen,マティルデ・フォン・ザクセン,matirude・fon・zakusen
rené kollo,ルネ・コロ,rune・koro
otto sander,オットー・ザンダー,ottō・zandā
hermann uhde,ヘルマン・ウーデ,heruman・ūde
johann hartwig ernst von bernstorff,ヨハン・ハルトヴィヒ・エルンスト・フォン・ベルンシュトルフ,yohan・harutovihi・erunsuto・fon・berunshutorufu
ulrike gräßler,ウルリケ・グレッスラー,ururike・guressurā
eleonore dolbreuse,エレオノール・ドルブリューズ,ereonōru・doruburyūzu
carl troll,カール・トロール,kāru・torōru
eugen johann christoph esper,オイゲン・ヨハン・クリストフ・エシュペル,oigen・yohan・kurisutofu・eshuperu
godfrey kneller,ゴドフリー・ネラー,godofurī・nerā
emil leeb,エミール・レープ,emīru・rēpu
harald welte,ハラルト・ヴェルテ,hararuto・vuェrute
wolfgang petersen,ウォルフガング・ペーターゼン,worufugangu・pētāzen
gottfried wagner,ゴットフリート・ワーグナー,gottofurīto・wāgunā
kurt christoph von schwerin,クルト・クリストフ・フォン・シュヴェリーン,kuruto・kurisutofu・fon・shuvuェrīn
paul levi,パウル・レヴィ,pauru・revi
ferdinand schörner,フェルディナント・シェルナー,ferudinanto・sherunā
sepp dietrich,ヨーゼフ・ディートリヒ,yōzefu・dītorihi
paul hausser,パウル・ハウサー,pauru・hausā
matthias sammer,マティアス・ザマー,matiasu・zamā
eugen dalbert,オイゲン・ダルベール,oigen・darubēru
alfred bohrmann,アルフレート・ボーアマン,arufurēto・bōaman
ferdinand sauerbruch,フェルディナント・ザウアーブルッフ,ferudinanto・zauāburuffu
werner schroeter,ヴェルナー・シュレーター,vuェrunā・shurētā
magda goebbels,マクダ・ゲッベルス,makuda・gebberusu
peter müller,ペーター・ミュラー,pētā・myurā
ulrich plenzdorf,ウルリヒ・プレンツドルフ,ururihi・purentsudorufu
hans von seeckt,ハンス・フォン・ゼークト,hansu・fon・zēkuto
georg von oldenburg,ゲオルク・フォン・オルデンブルク,georuku・fon・orudenburuku
alexander wendt,アレクサンダー・ウェント,arekusandā・wento
adolf galland,アドルフ・ガーランド,adorufu・gārando
hermann kesten,ヘルマン・ケステン,heruman・kesuten
gustav fröhlich,グスタフ・フレーリッヒ,gusutafu・furērihhi
paul cassirer,パウル・カッシーラー,pauru・kasshīrā
carl friedrich von weizsäcker,カール・フリードリヒ・フォン・ヴァイツゼッカー,kāru・furīdorihi・fon・vaitsuzekkā
kevin mirocha,ケビン・ミロチャ,kebin・mirocha
margarete von der pfalz,マルガレーテ・フォン・デア・プファルツ,marugarēte・fon・dea・pufarutsu
otto heinrich,オットー・ハインリヒ,ottō・hainrihi
georg von küchler,ゲオルク・フォン・キュヒラー,georuku・fon・kyuhirā
franz halder,フランツ・ハルダー,furantsu・harudā
hans rademacher,ハンス・ラーデマッヘル,hansu・rādemahheru
ralf waldmann,ラルフ・ウォルドマン,rarufu・worudoman
ernst witt,エルンスト・ヴィット,erunsuto・vitto
hans albert,ハンス・アルバート,hansu・arubāto
carl dahlhaus,カール・ダールハウス,kāru・dāruhausu
senta berger,センタ・バーガー,senta・bāgā
anneliese rothenberger,アンネリーゼ・ローテンベルガー,annerīze・rōtenberugā
jonas kaufmann,ヨナス・カウフマン,yonasu・kaufuman
erwin stresemann,エルヴィン・シュトレーゼマン,eruvin・shutorēzeman
lena valaitis,リナ・ワライティス,rina・waraitisu
dieter zetsche,ディーター・ツェッチェ,dītā・tsetche
otto weidt,オットー・ヴァイト,ottō・vaito
walter buch,ヴァルター・ブーフ,varutā・būfu
august,アウグスト,augusuto
christoph schneider,クリストフ・シュナイダー,kurisutofu・shunaidā
ludwig beck,ルートヴィヒ・ベック,rūtovihi・bekku
erhard milch,エアハルト・ミルヒ,eaharuto・miruhi
herbert kroemer,ハーバート・クレーマー,hābāto・kurēmā
walter rethel,ヴァルター・レーテル,varutā・rēteru
august wilhelm,アウグスト・ヴィルヘルム,augusuto・viruherumu
lothar bisky,ロタール・ビスキー,rotāru・bisukī
gundi busch,ガンディ・ブッシュ,gandi・busshu
tobias unger,トビアス・ウンガー,tobiasu・ungā
severin freund,ゼヴェリン・フロイント,zevuェrin・furointo
viola bauer,ヴィオラ・バウアー,viora・bauā
hermann sudermann,ヘルマン・ズーダーマン,heruman・zūdāman
willy rampf,ウィリー・ランプ,wirī・ranpu
horst ludwig störmer,ホルスト・ルートヴィヒ・シュテルマー,horusuto・rūtovihi・shuterumā
robert ritter,ロベルト・リッター,roberuto・rittā
bernd pischetsrieder,ベルント・ピシェッツリーダー,berunto・pishettsurīdā
wolfgang preiss,ヴォルフガング・プライス,vuォrufugangu・puraisu
kati winkler,カティ・ウィンクラー,kati・winkurā
maria jakobäa von baden,マリア・ヤコベア・フォン・バーデン,maria・yakobea・fon・bāden
lothar thoms,ロター・トムス,rotā・tomusu
walter blume,ヴァルター・ブルーメ,varutā・burūme
theodor hänsch,テオドール・ヘンシュ,teodōru・henshu
friedrich blume,フリードリヒ・ブルーメ,furīdorihi・burūme
béla barényi,ベラ・バレニー,bera・barenī
heinrich nordhoff,ハインリヒ・ノルトホフ,hainrihi・norutohofu
werner von blomberg,ヴェルナー・フォン・ブロンベルク,vuェrunā・fon・buronberuku
hugo ball,フーゴ・バル,fūgo・baru
ralph baer,ラルフ・ベア,rarufu・bea
artur fischer,アルトゥール・フィッシャー,arutūru・fisshā
manfred von ardenne,マンフレート・フォン・アルデンヌ,manfurēto・fon・arudennu
claude dornier,クラウディウス・ドルニエ,kuraudiusu・dorunie
erich hartmann,エーリヒ・ハルトマン,ērihi・harutoman
moritz schlick,モーリッツ・シュリック,mōrittsu・shurikku
joachim peiper,ヨアヒム・パイパー,yoahimu・paipā
wilhelm list,ヴィルヘルム・リスト,viruherumu・risuto
gottfried kirch,ゴットフリート・キルヒ,gottofurīto・kiruhi
rudolf lehmann,ルドルフ・レーマン,rudorufu・rēman
constantin carathéodory,コンスタンティン・カラテオドリ,konsutantin・karateodori
hermann paul,ヘルマン・パウル,heruman・pauru
thomas ostermeier,トーマス・オスターマイアー,tōmasu・osutāmaiā
erik charell,エリック・シャレル,erikku・shareru
stefan george,シュテファン・ゲオルゲ,shutefan・georuge
hans lewy,ハンス・レヴィー,hansu・revī
gerhard domagk,ゲルハルト・ドーマク,geruharuto・dōmaku
karin dor,カリン・ドール,karin・dōru
katja riemann,カッチャ・リーマン,katcha・rīman
sophie von der pfalz,ゾフィー・フォン・デア・プファルツ,zofī・fon・dea・pufarutsu
andreas hinkel,アンドレアス・ヒンケル,andoreasu・hinkeru
kurt meyer,クルト・マイヤー,kuruto・maiyā
wolfgang paul,ヴォルフガング・パウル,vuォrufugangu・pauru
nikolaus von falkenhorst,ニコラウス・フォン・ファルケンホルスト,nikorausu・fon・farukenhorusuto
tom tykwer,トム・ティクヴァ,tomu・tikuva
sigmund jähn,ジークムント・イェーン,jīkumunto・yēn
johann friedrich gmelin,ヨハン・フリードリヒ・グメリン,yohan・furīdorihi・gumerin
juan linz,ホアン・リンス,hoan・rinsu
ferdinand leitner,フェルディナント・ライトナー,ferudinanto・raitonā
walther rauff,ヴァルター・ラウフ,varutā・raufu
dana vávrová,ダーナ・ヴァヴロヴァ,dāna・vavurova
theodor blank,テオドール・ブランク,teodōru・buranku
peter altmaier,ペーター・アルトマイヤー,pētā・arutomaiyā
ernst baier,エルンスト・バイアー,erunsuto・baiā
wilhelm der jüngere,ヴィルヘルム・デア・ユンゲレ,viruherumu・dea・yungere
walther funk,ヴァルター・フンク,varutā・funku
johannes blaskowitz,ヨハネス・ブラスコヴィッツ,yohanesu・burasukovittsu
ernst bloch,エルンスト・ブロッホ,erunsuto・burohho
niklas luhmann,ニクラス・ルーマン,nikurasu・rūman
hertha bothe,ヘルタ・ボーテ,heruta・bōte
manuel reuter,マヌエル・ロイター,manueru・roitā
manuela henkel,マヌエラ・ヘンケル,manuera・henkeru
alex wright,アレックス・ライト,arekkusu・raito
oskar von hutier,オスカー・フォン・フーチェル,osukā・fon・fūcheru
karl abraham,カール・アーブラハム,kāru・āburahamu
max kalbeck,マックス・カルベック,makkusu・karubekku
eberhard von danckelman,エーバーハルト・フォン・ダンケルマン,ēbāharuto・fon・dankeruman
karen horney,カレン・ホーナイ,karen・hōnai
ernst ruska,エルンスト・ルスカ,erunsuto・rusuka
klaus von klitzing,クラウス・フォン・クリッツィング,kurausu・fon・kurittsingu
heike drechsler,ハイケ・ドレクスラー,haike・dorekusurā
hans modrow,ハンス・モドロウ,hansu・modorou
wendelin wiedeking,ヴェンデリン・ヴィーデキング,vuェnderin・vīdekingu
beatrix von bayern,ベアトリクス・フォン・バイエルン,beatorikusu・fon・baierun
elsa einstein,エルザ・アインシュタイン,eruza・ainshutain
hermann muhs,ヘルマン・ムース,heruman・mūsu
klaus hänsch,クラウス・ヘンシュ,kurausu・henshu
josias von heeringen,ヨシアス・フォン・ヘーリンゲン,yoshiasu・fon・hēringen
heinz tietjen,ハインツ・ティーティエン,haintsu・tītien
michael lippert,ミヒャエル・リッペルト,mihyaeru・ripperuto
emil haussmann,エミール・ハウスマン,emīru・hausuman
wolfgang rolff,ヴォルフガンク・ロルフ,vuォrufuganku・rorufu
maurizio gaudino,マウリツィオ・ガウディーノ,mauritsio・gaudīno
karl,カール,kāru
alexander von falkenhausen,アレクサンダー・フォン・ファルケンハウゼン,arekusandā・fon・farukenhauzen
matthias pintscher,マティアス・ピンチャー,matiasu・pinchā
hans furler,ハンス・フルラー,hansu・fururā
graciano rocchigiani,グラシアノ・ロッシジャーニ,gurashiano・rosshijāni
rudolf august,ルドルフ・アウグスト,rudorufu・augusuto
maria sibylla merian,マリア・ジビーラ・メーリアン,maria・jibīra・mērian
ernst zermelo,エルンスト・ツェルメロ,erunsuto・tserumero
wilhelm bittrich,ヴィルヘルム・ビットリヒ,viruherumu・bittorihi
paul hindemith,パウル・ヒンデミット,pauru・hindemitto
ulf timmermann,ウルフ・ティンマーマン,urufu・tinmāman
heinrich aldegrever,ハインリヒ・アルデグレーファー,hainrihi・arudegurēfā
reinhold roth,ラインハルト・ロス,rainharuto・rosu
august thienemann,アウグスト・ティーネマン,augusuto・tīneman
cora stephan,アンネ・シャプレ,anne・shapure
sizzo von schwarzburg,ジッツォ・フォン・シュヴァルツブルク,jittso・fon・shuvarutsuburuku
hugo gressmann,フーゴー・グレスマン,fūgō・guresuman
margrit kennedy,マルグリット・ケネディ,maruguritto・kenedi
jens müller,イェンス・ミューラー,yensu・myūrā
wolf erlbruch,ヴォルフ・エァルブルッフ,vuォrufu・eァruburuffu
erwin blask,エルヴィン・ブラスク,eruvin・burasuku
wolfgang schneiderhan,ヴォルフガング・シュナイダーハン,vuォrufugangu・shunaidāhan
josef rufer,ヨーゼフ・ルーファー,yōzefu・rūfā
richard freitag,リヒャルト・フライターク,rihyaruto・furaitāku
alfred saalwächter,アルフレート・ザールヴェヒター,arufurēto・zāruvuェhitā
matthias kleinheisterkamp,マティアス・クラインハイスターカンプ,matiasu・kurainhaisutākanpu
hans apel,ハンス・アーペル,hansu・āperu
josef kammhuber,ヨーゼフ・カムフーバー,yōzefu・kamufūbā
ralph kronig,ラルフ・クローニッヒ,rarufu・kurōnihhi
arthur nikisch,アルトゥール・ニキシュ,arutūru・nikishu
hasso von manteuffel,ハッソ・フォン・マントイフェル,hasso・fon・mantoiferu
gotthard heinrici,ゴットハルト・ハインリツィ,gottoharuto・hainritsi
violante beatrix von bayern,ヴィオランテ・ベアトリーチェ・ディ・バヴィエーラ,viorante・beatorīche・di・baviēra
oskar kummetz,オスカー・クメッツ,osukā・kumettsu
wolfram sievers,ヴォルフラム・ジーヴァス,vuォrufuramu・jīvasu
