françois hollande,フランソワ・オランド,furansowa・orando
théodore caruelle d'aligny,テオドール・カリュエル・ダリニー,teodōru・karyueru・darinī
louis lacombe,ルイ・ラコンブ,rui・rakonbu
dany robin,ダニー・ロバン,danī・roban
nicolas douchez,ニコラ・ドゥシェ,nikora・dushe
andré gide,アンドレ・ジッド,andore・jiddo
arsène wenger,アーセン・ベンゲル,āsen・bengeru
paul celan,パウル・ツェラン,pauru・tseran
aristide maillol,アリスティド・マイヨール,arisutido・maiyōru
isabeau de bavière,イザボー・ド・バヴィエール,izabō・do・baviēru
györgy kurtág,クルターグ・ジェルジュ,kurutāgu・jeruju
gabriel marcel,ガブリエル・マルセル,gaburieru・maruseru
angélique kidjo,アンジェリーク・キジョー,anjerīku・kijō
jacques monod,ジャック・モノー,jakku・monō
marie d'anjou,マリー・ダンジュー,marī・danjū
didier drogba,ディディエ・ドログバ,didie・doroguba
odilon redon,オディロン・ルドン,odiron・rudon
françois arago,フランソワ・アラゴ,furansowa・arago
claire keim,クレール・ケーム,kurēru・kēmu
jules bianchi,ジュール・ビアンキ,jūru・bianki
marie leszczynska,マリー・レクザンスカ,marī・rekuzansuka
otar iosseliani,オタール・イオセリアーニ,otāru・ioseriāni
marguerite de france,マルグリット・ド・フランス,maruguritto・do・furansu
florent schmitt,フローラン・シュミット,furōran・shumitto
henry scheffer,アンリ・シェフェール,anri・shefēru
moïse kisling,モイズ・キスリング,moizu・kisuringu
raïs m'bolhi,ライス・エンボリ,raisu・enbori
jules blanchard,ジュール・ブランシャール,jūru・buranshāru
philippe rousseau,フィリップ・ルソー,firippu・rusō
yves klein,イヴ・クライン,ivu・kurain
claude gensac,クロード・ジェンサック,kurōdo・jensakku
pierre louis dulong,ピエール・ルイ・デュロン,piēru・rui・dyuron
xavier boisselot,グザヴィエ・ボワスロ,guzavie・bowasuro
robert nivelle,ロベール・ニヴェル,robēru・nivuェru
pierre clostermann,ピエール・クロステルマン,piēru・kurosuteruman
albert schweitzer,アルベルト・シュヴァイツァー,aruberuto・shuvaitsā
émile borel,エミール・ボレル,emīru・boreru
josephantoine poniatowski,ユゼフ・ポニャトフスキ,yuzefu・ponyatofusuki
jeanne de bourbon,ジャンヌ・ド・ブルボン,jannu・do・burubon
victor vasarely,ヴィクトル・ヴァザルリ,vikutoru・vazaruri
marie cavallier,マリー・カヴァリエ,marī・kavarie
agnès sorel,アニェス・ソレル,aniェsu・soreru
marie de luxembourg,マリー・ド・リュクサンブール,marī・do・ryukusanbūru
anna karina,アンナ・カリーナ,anna・karīna
charles andler,シャルル・アンドレール,sharuru・andorēru
jules breton,ジュール・ブルトン,jūru・buruton
nicolas de préville,ニコラ・ドゥ・プレヴィユ,nikora・du・pureviyu
djamel abdoun,ジャメル・アブドゥン,jameru・abudun
eugène atget,ウジェーヌ・アジェ,ujēnu・aje
robert granjon,ロベール・グランジョン,robēru・guranjon
georges feydeau,ジョルジュ・フェドー,joruju・fedō
léopold sédar senghor,レオポール・セダール・サンゴール,reopōru・sedāru・sangōru
valeria bruni tedeschi,ヴァレリア・ブルーニ・テデスキ,vareria・burūni・tedesuki
nathalie gontcharova,ナタリア・ゴンチャロワ,nataria・goncharowa
robert doisneau,ロベール・ドアノー,robēru・doanō
louise de la vallière,ルイーズ・ド・ラ・ヴァリエール,ruīzu・do・ra・variēru
nathalie tauziat,ナタリー・トージア,natarī・tōjia
basil zaharoff,バジル・ザハロフ,bajiru・zaharofu
maurice schumann,モーリス・シューマン,mōrisu・shūman
andré chastel,アンドレ・シャステル,andore・shasuteru
chiara mastroianni,キアラ・マストロヤンニ,kiara・masutoroyanni
eugène bigot,ウジェーヌ・ビゴー,ujēnu・bigō
moritz moszkowski,モーリッツ・モシュコフスキ,mōrittsu・moshukofusuki
paul delaroche,ポール・ドラローシュ,pōru・dorarōshu
lucien péraire,ルシアン・ペレール,rushian・perēru
pierre de ronsard,ピエール・ド・ロンサール,piēru・do・ronsāru
peter brook,ピーター・ブルック,pītā・burukku
jean gallon,ジャン・ギャロン,jan・gyaron
max ernst,マックス・エルンスト,makkusu・erunsuto
julien benda,ジュリアン・バンダ,jurian・banda
suzanne lenglen,スザンヌ・ランラン,suzannu・ranran
maria malibran,マリア・マリブラン,maria・mariburan
gnassingbé eyadéma,ニャシンベ・エヤデマ,nyashinbe・eyadema
léon jouhaux,レオン・ジュオー,reon・juō
rené cassin,ルネ・カサン,rune・kasan
clémence poésy,クレマンス・ポエジー,kuremansu・poejī
jacqueline robin,ジャクリーヌ・ロバン,jakurīnu・roban
elliott erwitt,エリオット・アーウィット,eriotto・āwitto
jacques ellul,ジャック・エリュール,jakku・eryūru
françois couperin,フランソワ・クープラン,furansowa・kūpuran
louis couperin,ルイ・クープラン,rui・kūpuran
adhémar de monteil,アデマール・ド・モンテイユ,ademāru・do・monteiyu
zacharie astruc,ザカリー・アストリュク,zakarī・asutoryuku
jean renoir,ジャン・ルノワール,jan・runowāru
louis leroy,ルイ・ルロワ,rui・rurowa
eugène de beauharnais,ウジェーヌ・ド・ボアルネ,ujēnu・do・boarune
césar franck,セザール・フランク,sezāru・furanku
philippe léotard,フィリップ・レオタール,firippu・reotāru
paul mauriat,ポール・モーリア,pōru・mōria
éric rohmer,エリック・ロメール,erikku・romēru
benjamin péret,バンジャマン・ペレ,banjaman・pere
colette besson,コレット・ベッソン,koretto・besson
louis de lorraine,ルイ・ド・ロレーヌ,rui・do・rorēnu
tatiana golovin,タチアナ・ゴロビン,tachiana・gorobin
christine arron,クリスティーン・アーロン,kurisutīn・āron
sonia delaunay,ソニア・ドローネー,sonia・dorōnē
marie laurencin,マリー・ローランサン,marī・rōransan
max jacob,マックス・ジャコブ,makkusu・jakobu
sandrine bonnaire,サンドリーヌ・ボネール,sandorīnu・bonēru
louis néel,ルイ・ネール,rui・nēru
pierre boulez,ピエール・ブーレーズ,piēru・būrēzu
georges rouault,ジョルジュ・ルオー,joruju・ruō
lila kedrova,リラ・ケドロヴァ,rira・kedorova
ginette neveu,ジネット・ヌヴー,jinetto・nuvū
arielle dombasle,アリエル・ドンバール,arieru・donbāru
jacques eléonor rouxel de grancey,ジャック・エレオノール・ルーセル・ド・グランシー,jakku・ereonōru・rūseru・do・guranshī
antoinette nana djimou,アントワネット・ナナ・ジムー,antowanetto・nana・jimū
grégoire colin,グレゴワール・コラン,guregowāru・koran
maurice rollet de l'isle,モーリス・ロレ・ド・リル,mōrisu・rore・do・riru
andré weil,アンドレ・ヴェイユ,andore・vuェiyu
michel rolle,ミシェル・ロル,misheru・roru
stephan eicher,ステファン・イーチャー,sutefan・īchā
thomas fersen,トマ・フェルセン,toma・ferusen
vanessa paradis,ヴァネッサ・パラディ,vanessa・paradi
marcellin marbot,マルセラン・マルボ,maruseran・marubo
adolphe marbot,アドルフ・マルボ,adorufu・marubo
gaston julia,ガストン・ジュリア,gasuton・juria
charles léandre,シャルル・レアンドル,sharuru・reandoru
xavier leroux,グザヴィエ・ルルー,guzavie・rurū
georges dandelot,ジョルジュ・ダンドロー,joruju・dandorō
alfred dehodencq,アルフレッド・デオダンク,arufureddo・deodanku
henri cernuschi,エンリコ・チェルヌスキ,enriko・cherunusuki
karl girardet,カール・ジラルデ,kāru・jirarude
andré derain,アンドレ・ドラン,andore・doran
henri rousseau,アンリ・ルソー,anri・rusō
pierre bourdieu,ピエール・ブルデュー,piēru・burudyū
inès armand,イネッサ・アルマンド,inessa・arumando
jeannie longo,ジャニー・ロンゴ,janī・rongo
ludivine sagnier,リュディヴィーヌ・サニエ,ryudivīnu・sanie
marguerite long,マルグリット・ロン,maruguritto・ron
émile henriot,エミール・アンリオ,emīru・anrio
émile guimet,エミール・ギメ,emīru・gime
jean robin,ジャン・ロバン,jan・roban
henri félix emmanuel philippoteaux,アンリ・フェリックス・エマニュエル・フィリッポトー,anri・ferikkusu・emanyueru・firippotō
mark andre,マーク・アンドレ,māku・andore
françois cavanna,フランソワ・カヴァナ,furansowa・kavana
françois truffaut,フランソワ・トリュフォー,furansowa・toryufō
alberto giacometti,アルベルト・ジャコメッティ,aruberuto・jakometti
yann tiersen,ヤン・ティルセン,yan・tirusen
émile schuffenecker,エミール・シェフネッケル,emīru・shefunekkeru
émile senart,エミール・スナール,emīru・sunāru
emmanuelle seigner,エマニュエル・セニエ,emanyueru・senie
julie coin,ジュリー・クワン,jurī・kuwan
maurice halbwachs,モーリス・アルブヴァクス,mōrisu・arubuvakusu
christian karembeu,クリスティアン・カランブー,kurisutian・karanbū
léon gautier,レオン・ゴーティエ,reon・gōtie
jacques tati,ジャック・タチ,jakku・tachi
roman polanski,ロマン・ポランスキー,roman・poransukī
pierre mauroy,ピエール・モーロワ,piēru・mōrowa
juliette gréco,ジュリエット・グレコ,jurietto・gureko
charles de foucauld,シャルル・ド・フーコー,sharuru・do・fūkō
marcel carné,マルセル・カルネ,maruseru・karune
bruno walter,ブルーノ・ワルター,burūno・warutā
françois darlan,フランソワ・ダルラン,furansowa・daruran
constance de bretagne,コンスタンス・ド・ブルターニュ,konsutansu・do・burutānyu
marie de bourgogne,マリー・ド・ブルゴーニュ,marī・do・burugōnyu
eugénie de montijo,ウジェニー・ド・モンティジョ,ujenī・do・montijo
danielle darrieux,ダニエル・ダリュー,danieru・daryū
suzanne valadon,シュザンヌ・ヴァラドン,shuzannu・varadon
marc bloch,マルク・ブロック,maruku・burokku
lucien febvre,リュシアン・フェーヴル,ryushian・fēvuru
jorge semprún,ホルヘ・センプルン,horuhe・senpurun
paul winter,ポール・ウィンテール,pōru・wintēru
émile mâle,エミール・マール,emīru・māru
émile lemoine,エミール・ルモワーヌ,emīru・rumowānu
karina lombard,カリーナ・ロンバード,karīna・ronbādo
gabrielle de polignac,ポリニャックコウシャクフジンヨランド・ド・ポラストロン,porinyakkukoushakufujinyorando・do・porasutoron
philippe sollers,フィリップ・ソレルス,firippu・sorerusu
ernest renan,エルネスト・ルナン,erunesuto・runan
christine de pizan,クリスティーヌ・ド・ピザン,kurisutīnu・do・pizan
émile pessard,エミール・ペサール,emīru・pesāru
lubin baugin,リュバン・ボージャン,ryuban・bōjan
émile ollivier,エミール・オリヴィエ,emīru・orivie
yannick jauzion,ヤニック・ジョジオン,yanikku・jojion
émile paladilhe,エミール・パラディール,emīru・paradīru
enrico macias,エンリコ・マシアス,enriko・mashiasu
claude ballon,クロード・バロン,kurōdo・baron
axel kahn,アクセル・カーン,akuseru・kān
émile picard,エミール・ピカール,emīru・pikāru
émile prudent,エミール・プリューダン,emīru・puryūdan
émile sauret,エミール・ソーレ,emīru・sōre
fernand léger,フェルナン・レジェ,ferunan・reje
mélanie laurent,メラニー・ロラン,meranī・roran
marcel marceau,マルセル・マルソー,maruseru・marusō
jeanne de chantal,ジャンヌ・ド・シャンタル,jannu・do・shantaru
virginie ledoyen,ヴィルジニー・ルドワイヤン,virujinī・rudowaiyan
émilie simon,エミリー・シモン,emirī・shimon
mélissa theuriau,メリッサ・テュリオ,merissa・tyurio
frank horvat,フランク・ホーヴァット,furanku・hōvatto
balthus,バルテュス,barutyusu
vittorio de sica,ヴィットリオ・デ・シーカ,vittorio・de・shīka
francis picabia,フランシス・ピカビア,furanshisu・pikabia
romain gary,ロマン・ガリー,roman・garī
simone weil,シモーヌ・ヴェイユ,shimōnu・vuェiyu
georges perec,ジョルジュ・ペレック,joruju・perekku
yoyo ma,ヨーヨー・マ,yōyō・ma
michèle morgan,ミシェル・モルガン,misheru・morugan
assia djebar,アシア・ジェバール,ashia・jebāru
corinne hermès,コリンヌ・エルメス,korinnu・erumesu
hélène cixous,エレーヌ・シクスー,erēnu・shikusū
thomas couture,トマ・クチュール,toma・kuchūru
anthony knockaert,アントニー・クノッカール,antonī・kunokkāru
émile vaudremer,エミール・ヴォードルメール,emīru・vuォーdorumēru
émile waldteufel,エミール・ワルトトイフェル,emīru・warutotoiferu
alfred roll,アルフレッド・ロル,arufureddo・roru
françoise hardy,フランソワーズ・アルディ,furansowāzu・arudi
stanislas leszczynski,スタニスワフ・レシチニスキ,sutanisuwafu・reshichinisuki
marielouise d'autriche,マリア・ルイーザ,maria・ruīza
rené clair,ルネ・クレール,rune・kurēru
maria de medeiros,マリア・デ・メデイロス,maria・de・medeirosu
arletty,アルレッティ,aruretti
julie clary,ジュリー・クラリー,jurī・kurarī
paulette dubost,ポーレット・デュボスト,pōretto・dyubosuto
émilienne d'alençon,エミリエンヌ・ダランソン,emiriennu・daranson
alix de france,アリックス・ド・フランス,arikkusu・do・furansu
marie trintignant,マリー・トランティニャン,marī・torantinyan
éric di meco,エリック・ディ・メコ,erikku・di・meko
désiré françois laugée,デジレ・フランソワ・ロージェ,dejire・furansowa・rōje
