inna,茵娜,yīn nà
răzvan martin,勒兹万·马丁,lè zī wàn · mǎ dīng
roxana cocoș,罗克萨娜·科科什,luó kè sà nà · kē kē shén
adrian popa,阿德里安·波帕,ā dé lǐ ān · bō pà
mircea fulger,米尔恰·富尔杰,mǐ ěr qià · fù ěr jié
iulian raicea,尤利安·拉伊恰,yóu lì ān · lā yī qià
sonia iovaninovan,索尼娅·约万,suǒ ní yà · yuē wàn
george georgescu,佐治·佐治斯古,zuǒ zhì · zuǒ zhì sī gǔ
cornelia sideri,科尔内利娅·西代里,kē ěr nèi lì yà · xī dài lǐ
uta poreceanuschlandt,乌塔·波雷恰努,wū tǎ · bō léi qià nǔ
alexandra eremia,亚历山德拉·埃雷米亚,yà lì shān dé lā · āi léi mǐ yà
horia tecău,霍里亚·特卡乌,huò lǐ yà · tè kǎ wū
jános fazekas,亚诺什·法泽卡什,yà nuò shén · fǎ zé kǎ shén
gavril balint,加比·巴林特,jiā bǐ · bā lín tè
ilie dumitrescu,伊利·杜米迪斯古,yī lì · dù mǐ dí sī gǔ
florentin petre,弗洛伦廷·彼得,fú luò lún tíng · bǐ dé
oana ban,瓦娜·巴恩,wǎ nà · bā ēn
vanda hădărean,万达·赫德雷安,wàn dá · hè dé léi ān
florin zalomir,弗洛林·扎洛米尔,fú luò lín · zhā luò mǐ ěr
tiberiu dolniceanu,蒂贝留·多尔尼恰努,dì bèi liú · duō ěr ní qià nǔ
valentin silaghi,瓦伦丁·西拉吉,wǎ lún dīng · xī lā jí
gelu radu,杰卢·拉杜,jié lú · lā dù
viorel talapan,维奥雷尔·塔拉潘,wéi ào léi ěr · tǎ lā pān
iuliu maniu,尤柳·马纽,yóu liǔ · mǎ niǔ
oleg moldovan,奥列格·莫尔多万,ào liè gé · mò ěr duō wàn
mircea dobrescu,米尔恰·多布雷斯库,mǐ ěr qià · duō bù léi sī kù
leonte răutu,列昂廷·拉乌图,liè áng tíng · lā wū tú
gheorghe mureșan,格奥尔基·穆雷桑,gé ào ěr jī · mù léi sāng
ion ic brătianu,扬·约内尔·布勒蒂亚努,yáng · yuē nèi ěr · bù lè dì yà nǔ
horațiu mălăele,霍拉蒂乌·马拉埃雷,huò lā dì wū · mǎ lā āi léi
elisabeta polihroniade,伊莉莎白·波莉罗妮雅德,yī lì shā bái · bō lì luó nī yǎ dé
nicolae mărăscu,尼古拉·默勒斯库,ní gǔ lā · mò lè sī kù
teodor florian,特奥多尔·弗洛里安,tè ào duō ěr · fú luò lǐ ān
ion geantă,扬·杰安特,yáng · jié ān tè
adelina cojocariu,阿德利娜·博古什,ā dé lì nà · bó gǔ shén
mirela pașca,米蕾拉·帕什卡,mǐ lěi lā · pà shén kǎ
cristina bontaș,克里斯蒂娜·邦塔什,kè lǐ sī dì nà · bāng tǎ shén
maria neculiță,玛丽亚·内库利策,mǎ lì yà · nèi kù lì cè
boris ștefanov,鲍里斯·斯特凡诺夫,bào lǐ sī · sī tè fán nuò fū
viorica dumitru,维奥丽卡·杜米特鲁,wéi ào lì kǎ · dù mǐ tè lǔ
otilia bădescu,奥蒂莉亚·巴蒂斯库,ào dì lì yà · bā dì sī kù
ion mihai pacepa,扬·米哈伊·帕切帕,yáng · mǐ hā yī · pà qiè pà
nicușor stanciu,尼古拉·斯坦丘,ní gǔ lā · sī tǎn qiū
nicu ceaușescu,尼库·齐奥塞斯库,ní kù · qí ào sāi sī kù
lajos sătmăreanu,绍特马里·拉约什,shào tè mǎ lǐ · lā yuē shén
gheorghe brandabura,格奥尔基·布兰达布拉,gé ào ěr jī · bù lán dá bù lā
gheorghe liliac,格奥尔基·利利亚克,gé ào ěr jī · lì lì yà kè
sabin ilie,沙宾·伊利耶,shā bīn · yī lì yē
gheorghe megelea,格奥尔基·梅杰莱亚,gé ào ěr jī · méi jié lái yà
gheorghe mihali,格奥尔基·米哈利,gé ào ěr jī · mǐ hā lì
marin ceaușescu,马林·寿西斯古,mǎ lín · shòu xī sī gǔ
andreea răducan,安德烈娅·勒杜坎,ān dé liè yà · lè dù kǎn
emil bodnăraș,埃米尔·波德纳拉希,āi mǐ ěr · bō dé nà lā xī
claudiu răducanu,克劳迪尤·拉杜卡努,kè láo dí yóu · lā dù kǎ nǔ
cosmin olăroiu,科斯明·奥拉罗尤,kē sī míng · ào lā luó yóu
ioan pop,伊万·波普,yī wàn · bō pǔ
alexandru chiculiță,亚历山德鲁·基库利策,yà lì shān dé lǔ · jī kù lì cè
alexandru nilca,亚历山德鲁·尼尔卡,yà lì shān dé lǔ · ní ěr kǎ
marin mustață,马林·穆斯塔策,mǎ lín · mù sī tǎ cè
corneliu marin,科尔内尔·马林,kē ěr nèi ěr · mǎ lín
simion ismailciuc,西米翁·伊斯梅尔丘克,xī mǐ wēng · yī sī méi ěr qiū kè
gabriel popescu,盖布瑞·波佩斯库,gài bù ruì · bō pèi sī kù
vasile dumitrescu,瓦西里·杜米特雷斯库,wǎ xī lǐ · dù mǐ tè léi sī kù
albert saritov,阿尔贝特·萨里托夫,ā ěr bèi tè · sà lǐ tuō fū
anișoara mineasorohan,阿尼什瓦拉·米内亚,ā ní shén wǎ lā · mǐ nèi yà
dragoș neagu,德拉戈什·内亚古,dé lā gē shén · nèi yà gǔ
mihai zafiu,米哈伊·扎菲乌,mǐ hā yī · zhā fēi wū
olga homeghi,奥尔加·霍梅吉,ào ěr jiā · huò méi jí
mirela lavric,米蕾拉·拉夫里克,mǐ lěi lā · lā fū lǐ kè
ladislau raffinsky,拉芬斯基·拉斯洛,lā fēn sī jī · lā sī luò
octavian chihaia,奥达维恩·捷凯亚,ào dá wéi ēn · jié kǎi yà
radu lupu,拉杜·鲁普,lā dù · lǔ pǔ
rodion cămătaru,罗迪翁·克默塔鲁,luó dí wēng · kè mò tǎ lǔ
nicolae kovács,科瓦奇·米克洛什,kē wǎ qí · mǐ kè luò shén
cosmina stratan,科斯米娜·斯特拉坦,kē sī mǐ nà · sī tè lā tǎn
gogu rădulescu,格奥尔基·勒杜列斯库,gé ào ěr jī · lè dù liè sī kù
gheorghe pană,格奥尔基·帕纳,gé ào ěr jī · pà nà
alexandru sirițeanu,亚历山德鲁·西里采亚努,yà lì shān dé lǔ · xī lǐ cǎi yà nǔ
dan grecu,达恩·格雷库,dá ēn · gé léi kù
simona gherman,西蒙娜·盖尔曼,xī méng nà · gài ěr màn
adriana bazonchelariu,阿德里安娜·巴宗,ā dé lǐ ān nà · bā zōng
alexandru bârlădeanu,亚历山德鲁·伯尔勒迪亚努,yà lì shān dé lǔ · bǎi ěr lè dí yà nǔ
ana pascu,安娜·帕斯库,ān nà · pà sī kù
anamaria vartolomei,安娜玛丽亚·沃特鲁梅,ān nà mǎ lì yà · wò tè lǔ méi
olga szabóorbán,绍博欧尔班·奥尔加,shào bó ōu ěr bān · ào ěr jiā
augustin buzura,奥古斯汀·布祖拉,ào gǔ sī tīng · bù zǔ lā
andrei bărbulescu,安德烈·伯尔布列斯库,ān dé liè · bǎi ěr bù liè sī kù
andrei glanzmann,安德烈·格兰茨曼,ān dé liè · gé lán cí màn
ioachim moldoveanu,约阿基姆·莫尔多韦亚努,yuē ā jī mǔ · mò ěr duō wéi yà nǔ
iosif sîrbu,约瑟夫·瑟尔布,yuē sè fū · sè ěr bù
ion alexe,扬·阿列克谢,yáng · ā liè kè xiè
ion adrian zare,扬·阿德里安·扎雷,yáng · ā dé lǐ ān · zhā léi
nicușor eșanu,尼库绍尔·埃沙努,ní kù shào ěr · āi shā nǔ
alexandru moghioroș,亚历山德鲁·莫吉奥罗什,yà lì shān dé lǔ · mò jí ào luó shén
alexandru drăghici,亚历山德鲁·德勒吉奇,yà lì shān dé lǔ · dé lè jí qí
grigore preoteasa,格雷戈里·普雷奥蒂亚萨,gé léi gē lǐ · pǔ léi ào dì yà sà
vilmoș szabo,绍博·维尔莫什,shào bó · wéi ěr mò shén
mircea david,米尔恰·达维德,mǐ ěr qià · dá wéi dé
constantin stanciu,康斯坦丁·斯坦丘,kāng sī tǎn dīng · sī tǎn qiū
constantin pârvulescu,康斯坦丁·珀尔伏列斯库,kāng sī tǎn dīng · pò ěr fú liè sī kù
ion țăranu,扬·策拉努,yáng · cè lā nǔ
ion vlădoiu,扬·弗勒多尤,yáng · fú lè duō yóu
ionel augustin,约内尔·奥古斯丁,yuē nèi ěr · ào gǔ sī dīng
ion bogdan,伊万·波格丹,yī wàn · bō gé dān
ionel drîmbă,约内尔·德伦伯,yuē nèi ěr · dé lún bǎi
ion baciu,扬·巴丘,yáng · bā qiū
mihai vardală,米哈伊·瓦尔达勒,mǐ hā yī · wǎ ěr dá lè
sorin mihăilescu,索林·米赫伊列斯库,suǒ lín · mǐ hè yī liè sī kù
ion gârleșteanu,扬·格尔莱什泰亚努,yáng · gé ěr lái shén tài yà nǔ
alin alexucciurariu,阿林·阿列克苏克丘拉留,ā lín · ā liè kè sū kè qiū lā liú
sterian soare,索阿雷·斯泰里安,suǒ ā léi · sī tài lǐ ān
paul vidrașcu,保罗·维德拉什库,bǎo luó · wéi dé lā shén kù
dumitru volvoreanu,杜米特鲁·沃尔沃雷亚努,dù mǐ tè lǔ · wò ěr wò léi yà nǔ
mircea sfetescu,米尔恰·斯费泰斯库,mǐ ěr qià · sī fèi tài sī kù
iosif nemeș,约瑟夫·内梅什,yuē sè fū · nèi méi shén
eugen sfetescu,欧金·斯费泰斯库,ōu jīn · sī fèi tài sī kù
paul nedelcovici,保罗·内德尔科维奇,bǎo luó · nèi dé ěr kē wéi qí
atanasie tănăsescu,阿塔纳谢·特讷塞斯库,ā tǎ nà xiè · tè nè sāi sī kù
teodor marian,特奥多尔·马里安,tè ào duō ěr · mǎ lǐ ān
cornel dinu,科尔内尔·迪努,kē ěr nèi ěr · dí nǔ
corneliu papură,科尔内柳·帕普拉,kē ěr nèi liǔ · pà pǔ lā
constantin dăscălescu,康斯坦丁·德斯克列斯库,kāng sī tǎn dīng · dé sī kè liè sī kù
cosmin moți,科斯明·莫齐,kē sī míng · mò qí
mircea rednic,米尔恰·雷德尼克,mǐ ěr qià · léi dé ní kè
ionel dănciulescu,丹尼尔·丹丘内斯库,dān ní ěr · dān qiū nèi sī kù
constantin alexandru,康斯坦丁·亚历山德鲁,kāng sī tǎn dīng · yà lì shān dé lǔ
constantin tudosie,康斯坦丁·图多西耶,kāng sī tǎn dīng · tú duō xī yē
constantin argetoianu,康斯坦丁·阿尔杰托亚努,kāng sī tǎn dīng · ā ěr jié tuō yà nǔ
corneliu mănescu,科尔内留·曼内斯库,kē ěr nèi liú · màn nèi sī kù
paul papp,保罗·皮帕,bǎo luó · pí pà
iulian chiriță,尤利安·基里策,yóu lì ān · jī lǐ cè
tudor gheorghe,图多尔·格奥尔基,tú duō ěr · gé ào ěr jī
stelian burcea,斯特利安·布尔库亚,sī tè lì ān · bù ěr kù yà
adrian sînă,阿德里安·辛纳,ā dé lǐ ān · xīn nà
ana iliuță,安娜·伊柳策,ān nà · yī liǔ cè
anca pătrășcoiu,安卡·珀特勒什科尤,ān kǎ · pò tè lè shén kē yóu
anca tănase,安卡·特纳塞,ān kǎ · tè nà sāi
marius gherman,马里乌斯·盖尔曼,mǎ lǐ wū sī · gài ěr màn
angelo niculescu,安杰洛·尼古列斯库,ān jié luò · ní gǔ liè sī kù
lászló tőkés,托克斯·拉兹罗,tuō kè sī · lā zī luó
celestina popa,切莱斯蒂娜·波帕,qiè lái sī dì nà · bō pà
cătălin predoiu,克特林·普雷多尤,kè tè lín · pǔ léi duō yóu
cătălin hîldan,克特林·赫尔丹,kè tè lín · hè ěr dān
damian luca,达米安·卢卡,dá mǐ ān · lú kǎ
marius copil,马利尤斯·科皮尔,mǎ lì yóu sī · kē pí ěr
ionel ganea,约内尔·加内亚,yuē nèi ěr · jiā nèi yà
ivan patzaichin,伊万·帕察伊钦,yī wàn · pà chá yī qīn
vintilă cossini,温蒂勒·科西尼,wēn dì lè · kē xī ní
vlad chiricheș,云莱德·克里切斯,yún lái dé · kè lǐ qiè sī
gheorghe tătărescu,格奥尔基·特特雷斯库,gé ào ěr jī · tè tè léi sī kù
lucian goian,卢西恩·戈伊安,lú xī ēn · gē yī ān
dan petrescu,丹·佩德雷斯库,dān · pèi dé léi sī kù
dan alexa,丹·阿历萨,dān · ā lì sà
alexandru frim,亚历山德鲁·弗里姆,yà lì shān dé lǔ · fú lǐ mǔ
alexandru athanasiu,亚历山德鲁·阿塔纳休,yà lì shān dé lǔ · ā tǎ nà xiū
viorel morariu,维奥雷尔·莫拉留,wéi ào léi ěr · mò lā liú
vasile groapă,瓦西里·格罗阿珀,wǎ xī lǐ · gé luó ā pò
vasile tomoiagă,瓦西里·托莫亚格,wǎ xī lǐ · tuō mò yà gé
eugenia golea,欧金尼娅·戈莱亚,ōu jīn ní yà · gē lái yà
cristina flutur,克里斯蒂娜·弗卢图尔,kè lǐ sī dì nà · fú lú tú ěr
camelia voinea,卡梅利娅·沃伊内亚,kǎ méi lì yà · wò yī nèi yà
gabriela potorac,加布里埃拉·波托拉克,jiā bù lǐ āi lā · bō tuō lā kè
alec năstac,亚历克·讷斯塔克,yà lì kè · nè sī tǎ kè
valentin calafeteanu,瓦伦丁·采拉费泰努,wǎ lún dīng · cǎi lā fèi tài nǔ
sorin babii,索林·巴比,suǒ lín · bā bǐ
emil bobu,埃米尔·博布,āi mǐ ěr · bó bù
lucian sânmărtean,卢奇安·瑟默尔泰安,lú qí ān · sè mò ěr tài ān
costică ștefănescu,科斯蒂克·斯特凡内斯库,kē sī dì kè · sī tè fán nèi sī kù
cristi puiu,克利斯提·普优,kè lì sī tí · pǔ yōu
cristian dulca,克里斯蒂安·杜尔卡,kè lǐ sī dì ān · dù ěr kǎ
angelica aposteanu,安杰莉卡·阿波斯泰亚努,ān jié lì kǎ · ā bō sī tài yà nǔ
anișoara dobrebălan,阿尼什瓦拉·多布雷伯兰,ā ní shén wǎ lā · duō bù léi bǎi lán
aneta mihaly,阿内塔·米哈伊,ā nèi tǎ · mǐ hā yī
anton calenic,安东·卡莱尼克,ān dōng · kǎ lái ní kè
george țucudean,乔治·图库迪安,qiáo zhì · tú kù dí ān
vasile tiță,瓦西里·蒂策,wǎ xī lǐ · dì cè
dumitru brătianu,迪米特里·布勒蒂亚努,dí mǐ tè lǐ · bù lè dì yà nǔ
mircea simon,米尔恰·希蒙,mǐ ěr qià · xī méng
marius lăcătuș,马里乌斯·勒克图什,mǎ lǐ wū sī · lè kè tú shén
lascăr catargiu,拉斯克尔·卡塔尔久,lā sī kè ěr · kǎ tǎ ěr jiǔ
anghel iordănescu,安格尔·约尔德内斯库,ān gé ěr · yuē ěr dé nèi sī kù
laurențiu roșu,劳伦丘·罗舒,láo lún qiū · luó shū
marian oprea,马里安·奥普雷亚,mǎ lǐ ān · ào pǔ léi yà
daniel tătaru,达尼埃尔·特塔鲁,dá ní āi ěr · tè tǎ lǔ
alexandru maxim,亚历山德鲁·马克西姆,yà lì shān dé lǔ · mǎ kè xī mǔ
iuliu bodola,尤柳·博多拉,yóu liǔ · bó duō lā
aurel vernescu,奥雷尔·韦尔内斯库,ào léi ěr · wéi ěr nèi sī kù
atanasia ionescualbu,阿塔纳西娅·约内斯库,ā tǎ nà xī yà · yuē nèi sī kù
atanasie sciotnic,阿塔纳塞·肖特尼克,ā tǎ nà sāi · xiào tè ní kè
antonel borșan,安东内尔·博尔尚,ān dōng nèi ěr · bó ěr shàng
ana bogdan,安娜·博格丹,ān nà · bó gé dān
gavril dejeu,加夫里尔·德热乌,jiā fū lǐ ěr · dé rè wū
ștefan tașnadi,斯特凡·塔什纳迪,sī tè fán · tǎ shén nà dí
eugen bejinariu,欧金·贝日纳留,ōu jīn · bèi rì nà liú
ionuț gheorghe,约努茨·格奥尔基,yuē nǔ cí · gé ào ěr jī
bianca răzor,比安卡·勒佐尔,bǐ ān kǎ · lè zuǒ ěr
barbu catargiu,巴尔布·卡塔尔久,bā ěr bù · kǎ tǎ ěr jiǔ
bogdan mara,保丹·马拉,bǎo dān · mǎ lā
dumitru chipăruș,季米特里·奇帕若斯,jì mǐ tè lǐ · qí pà ruò sī
marin dragnea,马林·德拉格内亚,mǎ lín · dé lā gé nèi yà
maria nichiforov,玛丽亚·尼基福罗夫,mǎ lì yà · ní jī fú luó fū
aurica bărăscu,奥丽卡·伯勒斯库,ào lì kǎ · bǎi lè sī kù
gheorghe negrea,格奥尔基·内格雷亚,gé ào ěr jī · nèi gé léi yà
alexandru mățel,亚历山德鲁·默采尔,yà lì shān dé lǔ · mò cǎi ěr
costin lazăr,科斯蒂·拉扎尔,kē sī dì · lā zhā ěr
gheorghe gornea,格奥尔基·戈尔内亚,gé ào ěr jī · gē ěr nèi yà
alexandru macedonski,亚历山德鲁·马其顿斯基,yà lì shān dé lǔ · mǎ qí dùn sī jī
vasile pușcașu,瓦西里·普什卡舒,wǎ xī lǐ · pǔ shén kǎ shū
gheorghe grigore cantacuzino,格奥尔基·格里戈雷·坎塔库兹诺,gé ào ěr jī · gé lǐ gē léi · kǎn tǎ kù zī nuò
gheorghe fiat,格奥尔基·菲亚特,gé ào ěr jī · fēi yà tè
georgeta pitică,杰奥尔杰塔·皮蒂卡,jié ào ěr jié tǎ · pí dì kǎ
ciprian manolescu,齐普里安·马诺列斯库,qí pǔ lǐ ān · mǎ nuò liè sī kù
costică dafinoiu,科斯蒂克·达菲诺尤,kē sī dì kè · dá fēi nuò yóu
lazăr sfera,拉泽尔·斯费拉,lā zé ěr · sī fèi lā
werner stöckl,维尔纳·施特克尔,wéi ěr nà · shī tè kè ěr
otmar szafnauer,奥特马尔·萨夫诺尔,ào tè mǎ ěr · sà fū nuò ěr
adrian simion,阿德里安·西米翁,ā dé lǐ ān · xī mǐ wēng
ștefan birtalan,斯特凡·比尔陶隆,sī tè fán · bǐ ěr táo lóng
claudiu marin,加布里埃尔·马林,jiā bù lǐ āi ěr · mǎ lín
stelică morcov,斯泰利克·莫尔科夫,sī tài lì kè · mò ěr kē fū
constantin dumitrescu,康斯坦丁·杜米特雷斯库,kāng sī tǎn dīng · dù mǐ tè léi sī kù
constantin schumacher,科斯坦丁·舒马赫,kē sī tǎn dīng · shū mǎ hè
constantin petrovicescu,康斯坦丁·彼得罗维塞斯库,kāng sī tǎn dīng · bǐ dé luó wéi sāi sī kù
alexandru dincă,亚历山德鲁·丁卡,yà lì shān dé lǔ · dīng kǎ
iulian vizitiu,伊万·维济蒂乌,yī wàn · wéi jì dì wū
silviu bindea,西尔维乌·宾代亚,xī ěr wéi wū · bīn dài yà
dumitru berbece,杜米特鲁·贝尔贝切,dù mǐ tè lǔ · bèi ěr bèi qiè
mircea grabovschi,米尔恰·格拉博夫斯基,mǐ ěr qià · gé lā bó fū sī jī
iosif boroș,约瑟夫·博罗什,yuē sè fū · bó luó shén
gheorghe dogărescu,格奥尔基·多格雷斯库,gé ào ěr jī · duō gé léi sī kù
cezar drăgăniță,切扎尔·德勒格尼策,qiè zhā ěr · dé lè gé ní cè
adrian cosma,阿德里安·科斯马,ā dé lǐ ān · kē sī mǎ
dan marin,达恩·马林,dá ēn · mǎ lín
mircea bedivan,米尔恰·贝迪万,mǐ ěr qià · bèi dí wàn
nicolae munteanu,尼古拉·蒙泰亚努,ní gǔ lā · méng tài yà nǔ
calistrat cuțov,卡利斯特拉特·库措夫,kǎ lì sī tè lā tè · kù cuò fū
camelia diaconescu,卡梅利娅·迪亚科内斯库,kǎ méi lì yà · dí yà kē nèi sī kù
claudiu eugen ionescu,克劳迪乌·欧金·约内斯库,kè láo dí wū · ōu jīn · yuē nèi sī kù
cornel durău,科尔内尔·杜勒乌,kē ěr nèi ěr · dù lè wū
alexandru buligan,亚历山德鲁·布利甘,yà lì shān dé lǔ · bù lì gān
marian dumitru,马里安·杜米特鲁,mǎ lǐ ān · dù mǐ tè lǔ
valentin samungi,瓦伦丁·萨蒙吉,wǎ lún dīng · sà méng jí
lucian vasilache,卢奇安·瓦西拉凯,lú qí ān · wǎ xī lā kǎi
neculai vasilcă,尼古拉·瓦西尔克,ní gǔ lā · wǎ xī ěr kè
dumitru stângaciu,杜米特鲁·斯滕加丘,dù mǐ tè lǔ · sī téng jiā qiū
valentin ceaușescu,瓦伦丁·齐奥塞斯库,wǎ lún dīng · qí ào sāi sī kù
dumitru pârvulescu,杜米特鲁·珀尔武列斯库,dù mǐ tè lǔ · pò ěr wǔ liè sī kù
mihaela ciobanu,米哈埃拉·乔巴努,mǐ hā āi lā · qiáo bā nǔ
anton doboș,安东·多博什,ān dōng · duō bó shén
ioana strungaru,伊万娜·斯特伦加鲁,yī wàn nà · sī tè lún jiā lǔ
ioana tudoran,伊万娜·图多兰,yī wàn nà · tú duō lán
alexander fölker,亚历山德鲁·弗尔克,yà lì shān dé lǔ · fú ěr kè
gheorghe covaciu,格奥尔基·科瓦丘,gé ào ěr jī · kē wǎ qiū
gheorghe vasilichi,格奥尔基·瓦西利基,gé ào ěr jī · wǎ xī lì jī
cristian gațu,克里斯蒂安·加楚,kè lǐ sī dì ān · jiā chǔ
maricel voinea,马里切尔·沃伊内亚,mǎ lǐ qiè ěr · wò yī nèi yà
doina spircu,多依娜·斯珀尔库,duō yī nà · sī pò ěr kù
diana bulimar,迪亚娜·布利马尔,dí yà nà · bù lì mǎ ěr
chira apostol,基拉·阿波斯托尔,jī lā · ā bō sī tuō ěr
ovidiu burcă,奥维迪乌·布尔卡,ào wéi dí wū · bù ěr kǎ
marian ivan,马里安·伊万,mǎ lǐ ān · yī wàn
florin popescu,弗洛林·波佩斯库,fú luò lín · bō pèi sī kù
mitică pricop,米蒂克·普里科普,mǐ dì kè · pǔ lǐ kē pǔ
miron cristea,米隆·克里斯特亚,mǐ lóng · kè lǐ sī tè yà
costică olaru,科斯蒂克·奥拉鲁,kē sī dì kè · ào lā lǔ
ion stoian,扬·斯托扬,yáng · sī tuō yáng
corneliu chifu,瓦尔特·基富,wǎ ěr tè · jī fù
corneliu oros,科尔内留·奥罗斯,kē ěr nèi liú · ào luó sī
iosif chișinevschi,约瑟夫·基希涅夫斯基,yuē sè fū · jī xī niè fū sī jī
viorel manole,维奥雷尔·马诺莱,wéi ào léi ěr · mǎ nuò lái
