leandro damião,레안드루 다미앙,reandeuru damiang
raphael dias belloli,하파에우 지아스 벨롤리,hapaeu jiaseu belrolri
liniker,리니카,rinika
dalbert henrique,다우베르트 엔히크,daubereuteu enhikeu
marcos vinicius amaral alves,마르쿠스 비니시우스 아마라우 아우베스,mareukuseu binisiuseu amarau aubeseu
gustavo sauer,구스타부 사우에르,guseutabu sauereu
walterson silva,바우테르송 시우바,bautereusong siuba
sandro lima,산드루 리마,sandeuru rima
bruno lamas,브루노 라마스,beuruno ramaseu
matheus oliveira santos,마테우스 올리베이라 산투스,mateuseu olribeira santuseu
danilo almeida alves,다닐루 아우메이다 아우비스,danilru aumeida aubiseu
renato kayzer de souza,헤나투 카이제르 지 소자,henatu kaijereu ji soja
hygor cleber garcia silva,이고르 클레베르 가르시아 시우바,igoreu keulrebereu gareusia siuba
bruno baio,브루누 바이우,beurunu baiu
filipe matzembacher,필리피 마트젬바케르,pilripi mateujembakereu
bo bichette,보 비솃,bo bisyes
mauro job pontes júnior,마우루 조브 폰치스 주니오르,mauru jobeu ponciseu junioreu
ricardo nezinho,히카르두 네지뉴,hikareudu nejinyu
felipe meligeni alves,펠리피 멜리제니 아우베스,pelripi melrijeni aubeseu
leonardo kalil abdala,레오나르두 카리우 아브달라,reonareudu kariu abeudalra
gabriel dos santos magalhães,가브리에우 두스 산투스 마갈량이스,gabeurieu duseu santuseu magalryangiseu
ava rocha,아바 호샤,aba hosya
djamila ribeiro,자밀라 히베이루,jamilra hibeiru
deltan dallagnol,데우탕 달라그노우,deutang dalrageunou
thiago jefferson da silva,치아구 제페르송 다 시우바,ciagu jepereusong da siuba
silvero pereira,시우베루 페레이라,siuberu pereira
andré luis,안드레 루이스,andeure ruiseu
leonardo nascimento lopes de souza,레오나르두 나시멘투 로페스 지 수자,reonareudu nasimentu ropeseu ji suja
jucimar josé teixeira,주시마르 조제 테이셰이라,jusimareu joje teisyeira
ana hikari,아나 히카리,ana hikari
dandara mariana,단다라 마리아나,dandara mariana
mailson francisco de farías,마이우송 프란시스쿠 지 파라이스,maiusong peuransiseuku ji paraiseu
cynthia aparecida,신시아 세네크,sinsia senekeu
wanderson de macedo costa,완데르송 지 마세두 코스타,wandereusong ji masedu koseuta
luisa arraes,루이자 아하이스,ruija ahaiseu
marcos serrato,마르코스 세라토,mareukoseu serato
tom karabachian,통 카라바시앙,tong karabasiang
thiago seyboth wild,치아구 세이보트 위우드,ciagu seiboteu wiudeu
mc fioti,엠씨 피오티,emssi pioti
yara charry,야라 샤리,yara syari
rodrigo maranhão,호드리구 마라냥,hodeurigu maranyang
rodrygo góes,호드리구 고이스,hodeurigu goiseu
oriovisto guimarães,오리오비스투 기마랑이스,oriobiseutu gimarangiseu
laryssa ayres,라리사 아이리스,rarisa airiseu
gustavo vintecinco,구스타부 빈치싱쿠,guseutabu bincisingku
carla zambelli,카를라 잠벨리,kareulra jambelri
felipe de sousa silva,펠리피 지 소우자 시우바,pelripi ji souja siuba
davi de oliveira pinheiro,다비 데 올리베이라 피네이로,dabi de olribeira pineiro
damares alves,다마리스 아우베스,damariseu aubeseu
henry bugalho,엔히 부갈류,enhi bugalryu
leonardo coelho santos,레오나르두 코엘류 산투스,reonareudu koelryu santuseu
marcella bragio,마르첼라 브라기오,mareucelra beuragio
paula mourão,파울라 모랑,paulra morang
larissa albuquerque,라리사 알부케르케,rarisa albukereuke
ricardo milos,히카르두 밀루스,hikareudu milruseu
jurema werneck,주레마 웨르네크,jurema wereunekeu
thati lopes,타치 로페스,taci ropeseu
rayssa teixeira,하이사 테이셰이라,haisa teisyeira
lucio luiz,루시오 루이스,rusio ruiseu
samuel lino,사무엘 리누,samuel rinu
vinicius souza,비니시우스 소자,binisiuseu soja
fabio wajngarten,파비우 바잉가르텡,pabiu bainggareuteng
angélica santos,안젤리카 산투스,anjelrika santuseu
jessica senra,제시카 센라,jesika senra
gabriel ramos da penha,가브리에우 하무스 다 페냐,gabeurieu hamuseu da penya
paulo paulino guajajara,파울로 파울리노 구아자라,paulro paulrino guajara
flavio soares,플라비오 소아레스,peulrabio soareseu
marcelo pitaluga,마르셀루 피탈루가,mareuselru pitalruga
paulo marinho,파울루 마리뉴,paulru marinyu
luan rodrigues,루안 로드리게스,ruan rodeurigeseu
thelma assis,델마 어시스,delma eosiseu
nyeme costa,니에미 코스타,niemi koseuta
adriane lopes,아드리안 로페스,adeurian ropeseu
bruno pereira,브루노 페레이라,beuruno pereira
endrick felipe,엔드리키 펠리피,endeuriki pelripi
deivid washington,데이비드 워싱턴,deibideu weosingteon
julia kudiess,줄리아 쿠지에스,julria kujieseu
fred nicácio,프레드 니카시오,peuredeu nikasio
raphael sander,라파엘 샌더,rapael saendeo
luís guilherme,루이스 길례르미,ruiseu gilryereumi
isnairo reis silva morais,이스나이루 헤이스 시우바 모라이스,iseunairu heiseu siuba moraiseu
laura soveral,라우라 소베랄,raura soberal
éderzito antónio macedo lopes,에데르지투 안토니우 마세두 로페스,edereujitu antoniu masedu ropeseu
camilo pessanha,카밀루 페사냐,kamilru pesanya
paulo portas,파울루 포르타스,paulru poreutaseu
filipe morais,필리프 모라이스,pilripeu moraiseu
lídia jorge,리디아 조르즈,ridia joreujeu
fernando gomes,페르난두 고메스,pereunandu gomeseu
eduardo dos reis carvalho,에두아르두 두스 헤이스 카르발류,eduareudu duseu heiseu kareubalryu
eliseu,엘리세우,elriseu
marcelo caetano,마르셀루 카에타누,mareuselru kaetanu
joão campos,주앙 캄푸스,juang kampuseu
maria pia de saboia,마리아 피아 드 사보이아,maria pia deu saboia
florbela espanca,플로르벨라 이스팡카,peulroreubelra iseupangka
antónio alberto bastos pimparel,안토니우 알베르투 바스투스 핌파렐,antoniu albereutu baseutuseu pimparel
ricardo vaz tê,히카르두 바즈 테,hikareudu bajeu te
sergey yuran,세르게이 유란,sereugei yuran
francis obikwelu,프랜시스 오비퀠루,peuraensiseu obikwelru
luís boa morte,루이스 보아 모르트,ruiseu boa moreuteu
agostinho,아고스티뉴,agoseutinyu
rui sampaio,후이 삼파이우,hui sampaiu
antónia de bragança,포르투갈 공주 안토니아,poreutugal gongju antonia
josé dominguez,조제 도밍게스,joje dominggeseu
josé alberto costa,조제 알베르투 코스타,joje albereutu koseuta
joão mário,주앙 마리우,juang mariu
vítor constâncio,비토르 콘스탄시우,bitoreu konseutansiu
hugo vieira,우구 비에이라,ugu bieira
josé morais,조제 모라이스,joje moraiseu
adans lopez peres,아단스 로페츠 페레스,adanseu ropeceu pereseu
liza da costa,리자 다 코스타,rija da koseuta
orlando ribeiro,오를란두 히베이루,oreulrandu hibeiru
zeca afonso,조제 아폰수,joje aponsu
antónio campos,안토니우 캄푸스,antoniu kampuseu
renato santos,헤나토 산토스,henato santoseu
rui esteves,루이 에스테베스,rui eseutebeseu
antónio gedeão,안토니우 제데앙,antoniu jedeang
aníbal capela,아니바우 카펠라,anibau kapelra
hélder cristóvão,엘데르 크리스토방,eldereu keuriseutobang
alberto varanda,알베르투 바란다,albereutu baranda
marcos lopes,호니 로페스,honi ropeseu
carlos moedas,카를루스 모에다스,kareulruseu moedaseu
louis ferreira,루이스 페헤이라,ruiseu peheira
eduardo serra,에두아르도 세라,eduareudo sera
sérgio filipe da silva barge,세르지우 필리페 다 시우바 바르제,sereujiu pilripe da siuba bareuje
joaquim durão,조아킹 두랑,joaking durang
miguel portas,미겔 포르타스,migel poreutaseu
filipe da silva,필리피 다 시우바,pilripi da siuba
vasco joaquim rocha vieira,바스코 조아큄 로차 비에이라,baseuko joakwim roca bieira
edinho júnior,이디뉴 주니오르,idinyu junioreu
rodrigo leão,호드리구 레앙,hodeurigu reang
karine lima,카린 리마,karin rima
carlos carvalhas,카를루스 카르발랴스,kareulruseu kareubalryaseu
pete tha zouk,피트 타 주크,piteu ta jukeu
patrick mille,파트리크 밀,pateurikeu mil
edgar pêra,이드가르 페라,ideugareu pera
joão costa menezes,조아오 코스타 메네제스,joao koseuta menejeseu
vitorino nemésio,비토리누 네메지우,bitorinu nemejiu
joão carlos teixeira,주앙 카를루스 테이셰이라,juang kareulruseu teisyeira
gastão elias,가스탕 일리아스,gaseutang ilriaseu
maria alberta menéres,마리아 알베르타 메네르스,maria albereuta menereuseu
suzanne daveau,쉬잔 다보,swijan dabo
maria joão luís,마리아 주앙 루이스,maria juang ruiseu
rui da silva,루이 다 실바,rui da silba
ricardo barros,히카르두 바후스,hikareudu bahuseu
mily possoz,밀리 포소스,milri pososeu
victória guerra,빅토리아 게하,bigtoria geha
mimicat,미미캣,mimikaes
leonor andrade,레오노르 안드라드,reonoreu andeuradeu
nélson monte,넬송 몬트,nelsong monteu
suzy,수지,suji
grada kilomba,그라다 킬롬바,geurada kilromba
tiago djaló,티아구 잘로,tiagu jalro
pedro delgado,페드루 델가두,pedeuru delgadu
lucas lamelaslópez,루카스 라멜라스로페스,rukaseu ramelraseuropeseu
manor solomon,마노르 솔로몬,manoreu solromon
catarina vaz pinto,카타리나 바스 핀투,katarina baseu pintu
josué pinharanda gomes,조주에 피냐란다 고메스,jojue pinyaranda gomeseu
luís sequeira,루이스 세케이라,ruiseu sekeira
jorge arantes,조르즈 아란트스,joreujeu aranteuseu
diogo abreu,디오구 아브레우,diogu abeureu
jaime freitas,제이미 프레이타스,jeimi peureitaseu
vítor oliveira,비토르 올리베이라,bitoreu olribeira
ricardo peres,히카르두 페레스,hikareudu pereseu
diego moreira,디에구 모레이라,diegu moreira
floresta amazônica,아마존 우림,amajon urim
furacão catarina,사이클론 카타리나,saikeulron katarina
sinop,시노프,sinopeu
cascavel,방울뱀,bangulbaem
pampas,팜파스,pampaseu
tv globo,헤지 글로부,heji geulrobu
gama,가마,gama
arena amazônia,아레나 아마조니아,arena amajonia
erechim,에레심,eresim
águas lindas de goiás,아구아스 린다스 데 고이아스,aguaseu rindaseu de goiaseu
lauro de freitas,로우로 데 프레이타스,rouro de peureitaseu
ubá,우바,uba
embu das artes,엥부 다스 아르테스,engbu daseu areuteseu
montes claros,몬테스 클라로스,monteseu keulraroseu
diadema,디아데마,diadema
dourados,도우라두스,douraduseu
ibirité,이비리테,ibirite
estádio do pacaembu,이스타지우 두 파카엠부,iseutajiu du pakaembu
franco da rocha,프랑코 다 로차,peurangko da roca
itapecerica da serra,이타페세리카 다 세라,itapeserika da sera
divinópolis,디비노폴리스,dibinopolriseu
jacareí,자카리,jakari
serra,세라,sera
teixeira de freitas,테이세이라 데 프레이타스,teiseira de peureitaseu
jocum,예수전도단,yesujeondodan
rio claro,리오 클라로,rio keulraro
ribeirão pires,히베로 피레스,hibero pireseu
parintins,파린틴스,parintinseu
miss brasil,미스 브라질,miseu beurajil
itaquaquecetuba,이따꽈께세뚜바,iddaggwaggesedduba
guarapuava,구라아푸아바,guraapuaba
estádio mané garrincha,이스타지우 마네 가힌샤,iseutajiu mane gahinsya
mauá,마우아,maua
colatina,콜라티나,kolratina
arena pernambuco,아레나 페르남부쿠,arena pereunambuku
iguatu,이구아투,iguatu
brusque,부르스크,bureuseukeu
linhares,린하레스,rinhareseu
paragominas,파라고미나스,paragominaseu
tucuruí,투쿠루이,tukurui
uberaba,우베라바,uberaba
gravataí,그라바타이,geurabatai
rio verde,리오 베르데,rio bereude
barreiras,바헤이라스,baheiraseu
sapucaia do sul,사푸카이아 도 술,sapukaia do sul
sumaré,수마레,sumare
poá,포아,poa
ituiutaba,이투이우타바,ituiutaba
taguatinga,타구아팅가,taguatingga
hortolândia,올토랜디아,oltoraendia
itaguaí,이타구아이,itaguai
paulista,폴리스타,polriseuta
marília,마릴리아,marilria
itapevi,이타페비,itapebi
cabo frio,카보 프리오,kabo peurio
incêndio no edifício joelma,조엘마 빌딩 화재 사고,joelma bilding hwajae sago
akan,아칸족,akanjog
paulo afonso,파울루 아폰수,paulru aponsu
alvorada,알보라다,alborada
altamira,알타미라,altamira
jê,제어족,jeeojog
sabará,사바라,sabara
luziânia,루지아니아,rujiania
macaé,마카에,makae
mogi guaçu,모지 구아수,moji guasu
cachoeirinha,카슈이리냐,kasyuirinya
guaraná,과라나,gwarana
assis,아시스,asiseu
abaetetuba,아베테투바,abetetuba
palácio do planalto,팔라시우 두 플라나우투,palrasiu du peulranautu
botucatu,보투카투,botukatu
imperatriz,임페라트리즈,imperateurijeu
muriaé,무리아에,muriae
palhoça,팔료사,palryosa
araguari,아라과리,aragwari
juazeiro,주아제이루,juajeiru
pindamonhangaba,삔다모냥가바,bbindamonyanggaba
lavras,라브라스,rabeuraseu
itabira,이타비라,itabira
lages,라지스,rajiseu
parnaíba,파르나이바,pareunaiba
apucarana,아푸카라나,apukarana
barretos,바레투스,baretuseu
carazinho,카라지뉴,karajinyu
caraguatatuba,카라구아타투바,karaguatatuba
garanhuns,가라늉스,garanyungseu
simões filho,시모이스 필호,simoiseu pilho
valinhos,발린호스,balrinhoseu
jaú,자우,jau
ariquemes,아리퀘메스,arikwemeseu
valparaíso de goiás,발파라이소 데 고이아스,balparaiso de goiaseu
francisco morato,프란시스코 모라토,peuransiseuko morato
várzea paulista,바르제아 파울리스타,bareujea paulriseuta
itatiba,이따찌바,iddajjiba
ferraz de vasconcelos,페라즈 데 바스콘셀로스,perajeu de baseukonselroseu
passo fundo,파소 풍두,paso pungdu
catanduva,카탄두바,katanduba
rondonópolis,론도노폴리스,rondonopolriseu
várzea grande,베르제아 그란지,bereujea geuranji
varginha,바르지냐,bareujinya
mesquita,메스키타,meseukita
patos de minas,파토스 데 미나스,patoseu de minaseu
castanhal,카스탄할,kaseutanhal
samambaia,사맘바이아,samambaia
passos,파수스,pasuseu
itajubá,이타주바,itajuba
trindade,트린다데,teurindade
senador canedo,세나도르 카네도,senadoreu kanedo
ourinhos,오리뇨스,orinyoseu
barra mansa,바라 만사,bara mansa
caucaia,카우카야,kaukaya
arapongas,아라폰가,araponga
taboão da serra,타바아오 다 세라,tabaao da sera
cariacica,카리아시카,kariasika
leme,레미,remi
araras,아라라스,araraseu
almirante tamandaré,알미란테 타만다레,almirante tamandare
limeira,리메이라,rimeira
itaboraí,이타보라이,itaborai
parnamirim,파르나미림,pareunamirim
magé,마제,maje
vale,발레,balre
araxá,아락사,aragsa
petrolina,페트롤리나,peteurolrina
praia grande,프라이아 그란데,peuraia geurande
itajaí,이타자이,itajai
novo gama,노보 가마,nobo gama
jaraguá do sul,자라구아 도 술,jaragua do sul
camaragibe,카마라지베,kamarajibe
itapiranga,이타피랑가,itapirangga
umuarama,우무아라마,umuarama
lagoa da prata,라고아 다 프라타,ragoa da peurata
caxias,카시아스,kasiaseu
ceilândia,세일랑지아,seilrangjia
crato,크라토,keurato
condor,콘도르,kondoreu
estádio joaquim américo guimarães,이스타지우 조아킹 아메리쿠 기마랑이스,iseutajiu joaking ameriku gimarangiseu
timon,티몬,timon
campo largo,캄포 라고,kampo rago
açailândia,아사일란디아,asailrandia
rio das ostras,리오 다스 오스트라스,rio daseu oseuteuraseu
igarassu,이가라수,igarasu
japeri,자페리,japeri
cametá,카메타,kameta
santo antônio de jesus,산토 안토니오 데 제수스,santo antonio de jesuseu
indaiatuba,인다이아투바,indaiatuba
são mateus,상 마테우스,sang mateuseu
araguaína,아라구아이나,araguaina
araçatuba,아라사투바,arasatuba
pinhais,피냐이스,pinyaiseu
barcarena,바카레나,bakarena
cambé,깜베,ggambe
araucária,아라우까리아,arauggaria
toledo,톨레도,tolredo
parauapebas,파라우아페바스,parauapebaseu
comitê olímpico brasileiro,브라질 올림픽 위원회,beurajil olrimpig wiweonhoe
lagarto,라가르토,ragareuto
tailândia,타일랜디아,tailraendia
bacabal,바카바우,bakabau
codó,코도,kodo
torneio da frança,투르누아 드 프랑스,tureunua deu peurangseu
tubarão,투바랑,tubarang
fronteira brasilguiana,가이아나브라질 국경,gaianabeurajil guggyeong
maracanaú,마라카나우,marakanau
planaltina,플란날티나,peulrannaltina
maranguape,마란구아페,maranguape
tatuí,타투이,tatui
sertãozinho,세르타오지노,sereutaojino
eunápolis,유나폴리스,yunapolriseu
fronteira brasilcolômbia,브라질콜롬비아 국경,beurajilkolrombia guggyeong
itapipoca,이타피포카,itapipoka
fronteira brasilsuriname,브라질수리남 국경,beurajilsurinam guggyeong
patos,파토스,patoseu
fronteira brasilvenezuela,베네수엘라브라질 국경,benesuelrabeurajil guggyeong
queimados,케이마도스,keimadoseu
fronteira bolíviabrasil,볼리비아브라질 국경,bolribiabeurajil guggyeong
águas claras,아구아스 클라라스,aguaseu keulraraseu
salto,살토,salto
fronteira brasilparaguai,브라질파라과이 국경,beurajilparagwai guggyeong
fronteira argentinabrasil,브라질아르헨티나 국경,beurajilareuhentina guggyeong
fronteira brasilperu,브라질페루 국경,beurajilperu guggyeong
recanto das emas,레칸토 다스 데마스,rekanto daseu demaseu
incêndio na boate kiss,키스 나이트클럽 화재 사고,kiseu naiteukeulreob hwajae sago
guará,구아라,guara
santa maria,산타 마리아,santa maria
são sebastião,상 세바스티앙,sang sebaseutiang
grêmio esportivo catanduvense,그레미오 에스포르티보 카탄두벤세,geuremio eseuporeutibo katandubense
queijo coalho,코알류 치즈,koalryu cijeu
marituba,마리투바,marituba
queijo prato,프라투 치즈,peuratu cijeu
paio,파이우,paiu
pato no tucupi,파투 누 투쿠피,patu nu tukupi
ação integralista brasileira,브라질 통일주의 행동당,beurajil tongiljuyi haengdongdang
estádio kléber andrade,이스타지우 클레베르 안드라지,iseutajiu keulrebereu andeuraji
campeonato brasileiro de futebol feminino,캄페오나투 브라질레이루 지 푸치보우 페미니누,kampeonatu beurajilreiru ji pucibou pemininu
campo olímpico de golfe,캄푸 올림피쿠 지 골피,kampu olrimpiku ji golpi
cidade maravilhosa,리우데자네이루 찬가,riudejaneiru canga
capivariano futebol clube,카피바리아누 푸테보우 클루비,kapibarianu putebou keulrubi
alagoinhas,알라구이냐스,alraguinyaseu
três lagoas,트레스 라고아스,teureseu ragoaseu
jardim pedro zalla,자르딤 페드로 잘라,jareudim pedeuro jalra
che lagarto hostel porto de galinhas,시 라가르투 오스테우 포르투 지 갈리냐스,si ragareutu oseuteu poreutu ji galrinyaseu
lamego,라메고,ramego
estádio d afonso henriques,이스타디우 동 아폰수 엔히크스,iseutadiu dong aponsu enhikeuseu
lourinhã,로리냥,rorinyang
campeonato nacional de futebol feminino,캄페오나투 나시오날 드 푸테볼 페미니누,kampeonatu nasional deu putebol pemininu
oleiros,올레이루스,olreiruseu
prémio camões,카몽이스 상,kamongiseu sang
estado novo,이스타두 노부,iseutadu nobu
vasconcelos,바스콘셀루스,baseukonselruseu
capelinha das aparições,성모마리아 발현 대성당,seongmomaria balhyeon daeseongdang
serradura,세하두라,sehadura
última ceia,최후의 만찬,coehuyi mancan
instituto pernambuco  porto brasil,페르남부쿠 연구소  포르투 브라질,pereunambuku yeonguso  poreutu beurajil
congonhassão paulo airport,콩고냐스 상파울루 공항,konggonyaseu sangpaulru gonghang
viracopos international airport,비라코푸스 캄피나스 국제공항,birakopuseu kampinaseu gugjegonghang
lisbon,리스본,riseubon
azores,아조레스,ajoreseu
madeira airport,마데이라 공항,madeira gonghang
europe,유럽,yureob
