françois hollande,프랑수아 올랑드,peurangsua olrangdeu
stanislas leszczynski,스타니스와프 레슈친스키,seutaniseuwapeu resyucinseuki
nicolas mahut,니콜라 마위,nikolra mawi
suzanne lenglen,쉬잔 랑글렌,swijan ranggeulren
max ernst,막스 에른스트,magseu ereunseuteu
valeria bruni tedeschi,발레리아 브루니 테데스키,balreria beuruni tedeseuki
henri salvador,앙리 살바도르,angri salbadoreu
jean ferrat,장 페라,jang pera
andreï kontchalovski,안드레이 콘찰롭스키,andeurei koncalrobseuki
léopold sédar senghor,레오폴 세다르 상고르,reopol sedareu sanggoreu
jeanjacques annaud,장자크 아노,jangjakeu ano
agnès sorel,아녜스 소렐,anyeseu sorel
casimir perier,카지미르 페리에,kajimireu perie
edgar morin,에드가 모랭,edeuga moraeng
anna karina,아나 카리나,ana karina
renée adorée,레네이 애도레이,renei aedorei
joseph paulboncour,조제프 폴봉쿠르,jojepeu polbongkureu
michel chasles,미셸 샬,misyel syal
michel serrault,미셸 세로,misyel sero
henri giraud,앙리 지로,angri jiro
jean nicot,장 니코,jang niko
henrigeorges clouzot,앙리조르주 클루조,angrijoreuju keulrujo
léon jouhaux,레옹 주오,reong juo
philippe léotard,필리프 레오타르,pilripeu reotareu
claude chabrol,클로드 샤브롤,keulrodeu syabeurol
jacques becker,자크 베케르,jakeu bekereu
gnassingbé eyadéma,냐싱베 에야데마,nyasingbe eyadema
louis malle,루이 말,rui mal
robert bresson,로베르 브레송,robereu beuresong
sandrine bonnaire,상드린 보네르,sangdeurin bonereu
louis néel,루이 네엘,rui neel
georges rouault,조르주 루오,joreuju ruo
sébastien bassong,세바스티앵 바송,sebaseutiaeng basong
alexis bouvard,알렉시 부바르,alregsi bubareu
marie laurencin,마리 로랑생,mari rorangsaeng
madame de lamballe,마담 드 랑발,madam deu rangbal
rené cassin,르네 카생,reune kasaeng
eugène de beauharnais,외젠 드 보아르네,oejen deu boareune
clémence poésy,클레망스 포에지,keulremangseu poeji
jean vigo,장 비고,jang bigo
jacques tourneur,자크 투르뇌,jakeu tureunoe
lila kedrova,릴라 케드로바,rilra kedeuroba
max ophüls,막스 오퓔스,magseu opwilseu
bernadette soubirous,베르나데타 수비루,bereunadeta subiru
pierre boulez,피에르 불레즈,piereu bulrejeu
max jacob,막스 자코브,magseu jakobeu
pierre bourdieu,피에르 부르디외,piereu bureudioe
andré derain,앙드레 드랭,angdeure deuraeng
ludivine sagnier,뤼디빈 사니에,rwidibin sanie
émile picard,에밀 피카르,emil pikareu
eugène scribe,외젠 스크리브,oejen seukeuribeu
françois furet,프랑수아 퓌레,peurangsua pwire
andré maginot,앙드레 마지노,angdeure majino
jeanantoine houdon,장앙투안 우동,jangangtuan udong
gad elmaleh,가드 엘마레,gadeu elmare
guillaume brune,기욤 브뢴,giyom beuroen
henri dutilleux,앙리 뒤티외,angri dwitioe
émile roux,에밀 루,emil ru
alexandre koyré,알렉상드르 쿠아레,alregsangdeureu kuare
andry rajoelina,안드리 라조엘리나,andeuri rajoelrina
edgard varèse,에드가르 바레즈,edeugareu barejeu
georges bizet,조르주 비제,joreuju bije
ismaïl omar guelleh,이스마일 오마르 겔레,iseumail omareu gelre
alfred döblin,알프레트 되블린,alpeureteu doebeulrin
henri rousseau,앙리 루소,angri ruso
jacques thibaud,자크 티보,jakeu tibo
jeanbaptiste kléber,장바티스트 클레베르,jangbatiseuteu keulrebereu
jeanpierre cassel,장피에르 카셀,jangpiereu kasel
luis federico leloir,루이스 페데리코 를루아르,ruiseu pederiko reulruareu
àstrid bergèsfrisbey,아스트리드 베르제프리스베,aseuteurideu bereujepeuriseube
danielle darrieux,다니엘 다리외,daniel darioe
jeannie longo,자니 롱고,jani ronggo
pierre mauroy,피에르 모루아,piereu morua
juliette gréco,쥘리에트 그레코,jwilrieteu geureko
charles nicolle,샤를 니콜,syareul nikol
marguerite long,마르그리트 롱,mareugeuriteu rong
karina lombard,카리나 롬바드,karina rombadeu
nina ricci,니나 리치,nina rici
gabrielle de polignac,가브리엘 드 폴리냑,gabeuriel deu polrinyag
souphanouvong,수파누봉,supanubong
pierre savorgnan de brazza,피에르 사보르냥 드 브라자,piereu saboreunyang deu beuraja
suzanne valadon,수잔 발라동,sujan balradong
marc bloch,마르크 블로크,mareukeu beulrokeu
christian karembeu,크리스티앙 카랑뵈,keuriseutiang karangboe
bruno walter,브루노 발터,beuruno balteo
françois darlan,프랑수아 다를랑,peurangsua dareulrang
émile waldteufel,에밀 발퇴펠,emil baltoepel
nolwenn leroy,놀웬 르루아,nolwen reurua
jeanbaptiste biot,장바티스트 비오,jangbatiseuteu bio
fernand léger,페르낭 레제,pereunang reje
marcel marceau,마르셀 마르소,mareusel mareuso
alberto giacometti,알베르토 자코메티,albereuto jakometi
christine de pizan,크리스틴 드 피장,keuriseutin deu pijang
emmanuelle seigner,에마뉘엘 세니에르,emanwiel seniereu
yoyo ma,요요 마,yoyo ma
abdoul mbaye,압둘 음바예,abdul eumbaye
élisabeth jacquet de la guerre,엘리자베스 자케 드 라 게르,elrijabeseu jake deu ra gereu
mistinguett,미스탱게트,miseutaenggeteu
danielfrançoisesprit auber,다니엘 오베르,daniel obereu
émilie simon,에밀리 시몽,emilri simong
jeanyves berteloot,장이브 베르틀루,jangibeu bereuteulru
léo ferré,레오 페레,reo pere
mounir obbadi,무니르 오바디,munireu obadi
fabrice n'sakala,파브리스 은사칼라,pabeuriseu eunsakalra
lucien febvre,뤼시앵 페브르,rwisiaeng pebeureu
jorge semprún,호르헤 셈프룬,horeuhe sempeurun
romain gary,로맹 가리,romaeng gari
yann tiersen,얀 티에르상,yan tiereusang
georges perec,조르주 페렉,joreuju pereg
simone weil,시몬 베유,simon beyu
éric carrière,에리크 카리에르,erikeu kariereu
alessandra martines,알레산드라 말티네스,alresandeura maltineseu
éric di meco,에리크 디 메코,erikeu di meko
eugénie de montijo,외제니 드 몽티조,oejeni deu mongtijo
ernest renan,에르네스트 르낭,ereuneseuteu reunang
éric zemmour,에리크 제무르,erikeu jemureu
nicolas douchez,니콜라 두셰,nikolra dusye
virginie ledoyen,비르지니 르두아얭,bireujini reuduayaeng
mélanie laurent,멜라니 로랑,melrani rorang
mélissa theuriau,멜리사 퇴리오,melrisa toerio
louis brière de l'isle,루이 브리에르 드 리즐,rui beuriereu deu rijeul
éric woerth,에리크 뵈르트,erikeu boereuteu
françois guizot,프랑수아 기조,peurangsua gijo
maria de medeiros,마리아 드 메데이루스,maria deu medeiruseu
hélène cixous,엘렌 식수,elren sigsu
cécilia attias,세실리아 아티아스,sesilria atiaseu
marielouise d'autriche,마리루이즈 도트리슈,mariruijeu doteurisyu
emma de caunes,엠마 드 콘,emma deu kon
julie clary,쥘리 클라리,jwilri keulrari
natalya lisovskaya,나탈리야 리솝스카야,natalriya risobseukaya
yvonne loriod,이본 로리오,ibon rorio
bonne de luxembourg,이트카 체스케 왕녀,iteuka ceseuke wangnyeo
gwladys épangue,글라디스 에팡그,geulradiseu epanggeu
otar iosseliani,오타르 이오셀리아니,otareu ioselriani
raïs m'bolhi,라이스 므볼리,raiseu meubolri
djamel abdoun,자멜 압둔,jamel abdun
moussa sissoko,무사 시소코,musa sisoko
cheikh m'bengue,세킴 음벵게,sekim eumbengge
patrice de mac mahon,파트리스 드 마크 마옹,pateuriseu deu makeu maong
emma shapplin,에마 샤플랭,ema syapeulraeng
louis nicolas davout,루이 니콜라 다부,rui nikolra dabu
vincent auriol,뱅상 오리올,baengsang oriol
élodie bouchez,엘로디 부셰즈,elrodi busyejeu
benoît delhomme,브누아 들롬,beunua deulrom
leonor varela,레오노르 바렐라,reonoreu barelra
françoise dorléac,프랑수아즈 도를레아크,peurangsuajeu doreulreakeu
jacques weber,자크 베베르,jakeu bebereu
jacques ellul,자크 엘륄,jakeu elrwil
georges gopefenepej,조지스 고페페네페즈,jojiseu gopepenepejeu
jeandaniel akpaakpro,장다니엘 아크파아크프로,jangdaniel akeupaakeupeuro
julia kristeva,쥘리아 크리스테바,jwilria keuriseuteba
patricia kaas,파트리샤 카스,pateurisya kaseu
joseph louis proust,조제프 루이 프루스트,jojepeu rui peuruseuteu
nikola karabatic,니콜라 카라바티치,nikolra karabatici
jérémie bréchet,제레미 브레슈,jeremi beuresyu
marie trintignant,마리 트랭티냥,mari teuraengtinyang
adélaïde labilleguiard,아델라이드 라비유기아르,adelraideu rabiyugiareu
erik orsenna,에리크 오르세나,erikeu oreusena
ninon de lenclos,니농 드 랑클로,ninong deu rangkeulro
amélie d'orléans,아멜리 도를레앙,amelri doreulreang
deanna durbin,디애나 더빈,diaena deobin
michèle mouton,미셸 무통,misyel mutong
juliette récamier,쥘리에트 레카미에,jwilrieteu rekamie
étienne maurice falconet,에티엔 모리스 팔코네,etien moriseu palkone
gaston julia,가스통 쥘리아,gaseutong jwilria
michel rolle,미셸 롤,misyel rol
gaston modot,가스통 모도,gaseutong modo
étienne balibar,에티엔 발리바르,etien balribareu
andré weil,앙드레 베유,angdeure beyu
étienne capoue,에티엔 카푸에,etien kapue
franck tabanou,프랑크 타바누,peurangkeu tabanu
isabelle carré,이자벨 카레,ijabel kare
serge aurier,세르주 오리에,sereuju orie
emmanuel rivière,에마뉘엘 리비에르,emanwiel ribiereu
bernadette lafont,베르나데트 라퐁,bereunadeteu rapong
mathilde seigner,마틸드 세니에르,matildeu seniereu
catherine breillat,카트린 브레야,kateurin beureya
albert lebrun,알베르 르브룅,albereu reubeuroeng
marcel pagnol,마르셀 파뇰,mareusel panyol
rené coty,르네 코티,reune koti
arletty,아를레티,areulreti
jeanne hébuterne,잔 에뷔테른,jan ebwitereun
walter gieseking,발터 기제킹,balteo gijeking
louis jouvet,루이 주베,rui jube
chaïm soutine,카임 수틴,kaim sutin
ossip zadkine,오시프 자드킨,osipeu jadeukin
vassily kandinsky,바실리 칸딘스키,basilri kandinseuki
wanda landowska,반다 란도프스카,banda randopeuseuka
prosper mérimée,프로스페르 메리메,peuroseupereu merime
louise bourgeois,루이즈 부르주아,ruijeu bureujua
christian dior,크리스티앙 디오르,keuriseutiang dioreu
jean monnet,장 모네,jang mone
eugène atget,외젠 아제,oejen aje
moritz moszkowski,모리츠 모슈코프스키,moriceu mosyukopeuseuki
paul delaroche,폴 들라로슈,pol deulrarosyu
cécile chaminade,세실 샤미나드,sesil syaminadeu
madeleine de scudéry,마들렌 드 스퀴데리,madeulren deu seukwideri
étienne gilson,에티엔 질송,etien jilsong
paul reynaud,폴 레노,pol reno
bruno faidutti,브뤼노 페뒤티,beurwino pedwiti
patachou,파타슈,patasyu
régine crespin,레진 크레스팽,rejin keureseupaeng
charlesmaurice de talleyrandpérigord,샤를모리스 드 탈레랑페리고르,syareulmoriseu deu talrerangperigoreu
linda maria baros,린다 마리아 바로스,rinda maria baroseu
marieclaire alain,마리클레르 알랭,marikeulrereu alraeng
étienne mattler,에티엔 마틀레,etien mateulre
marlène harnois,마를렌 아르누아,mareulren areunua
daniel mesguich,다니엘 메스귀치,daniel meseugwici
friedrich burgmüller,프리드리히 부르크뮐러,peurideurihi bureukeumwilreo
michel constantin,미셸 콩스탕탱,misyel kongseutangtaeng
karlheinz förster,카를하인츠 푀르슈터,kareulhainceu poereusyuteo
gilbert bécaud,질베르 베코,jilbereu beko
jeanpierre raffarin,장피에르 라파랭,jangpiereu raparaeng
raymond aron,레몽 아롱,remong arong
alexa davalos,알렉사 다발로스,alregsa dabalroseu
étienne de la boétie,에티엔 드 라 보에티,etien deu ra boeti
mathilde bonaparte,마틸드 보나파르트,matildeu bonapareuteu
alison moyet,앨리슨 모예,aelriseun moye
philippe sollers,필리프 솔레르스,pilripeu solrereuseu
lucien lévybruhl,뤼시앵 레비브륄,rwisiaeng rebibeurwil
françois cavanna,프랑수아 카바나,peurangsua kabana
enrico macias,엔리코 마샤스,enriko masyaseu
beate klarsfeld,베아테 클라르스펠트,beate keulrareuseupelteu
andré breton,앙드레 브르통,angdeure beureutong
henri lefebvre,앙리 르페브르,angri reupebeureu
claire denis,클레르 드니,keulrereu deuni
hélène ségara,엘렌 세가라,elren segara
joris ivens,요리스 이벤스,yoriseu ibenseu
frank lebœuf,프랑크 르뵈프,peurangkeu reuboepeu
ivan desny,이반 데스니,iban deseuni
jeanbedel bokassa,장베델 보카사,jangbedel bokasa
pascale arbillot,파스칼 아르비요,paseukal areubiyo
uffie,어피,eopi
elsa lunghini,엘자 룅기니,elja roenggini
frédéric back,프레더릭 백,peuredeorig baeg
sophie marceau,소피 마르소,sopi mareuso
laura flessel,로라 플레셀콜로비크,rora peulreselkolrobikeu
édouard vuillard,에두아르 뷔야르,eduareu bwiyareu
valerie harper,밸러리 하퍼,baelreori hapeo
mariejosée croze,마리조제 크로즈,marijoje keurojeu
marguerite yourcenar,마르그리트 유르스나르,mareugeuriteu yureuseunareu
michèle laroque,미셸 라로크,misyel rarokeu
cécile corbel,세실 코르벨,sesil koreubel
anne fontaine,안 퐁텐,an pongten
rafidine abdullah,라피딘 압둘라,rapidin abdulra
raoul giraudo,라울 지로도,raul jirodo
aure atika,아우레 아티카,aure atika
nora arnezeder,노라 아르네제더,nora areunejedeo
anastasia griffith,아나스타샤 그리피스,anaseutasya geuripiseu
pierre de jean olivi,피에르 드 장 올리비,piereu deu jang olribi
thomas couture,토마 쿠튀르,toma kutwireu
enzo zidane,엔초 지단,enco jidan
julia dietze,율리아 디체,yulria dice
claudius dornier,클라우드 도르니에,keulraudeu doreunie
alfred kastler,알프레드 카스틀레르,alpeuredeu kaseuteulrereu
clément janequin,클레망 잔캥,keulremang jankaeng
mireille mathieu,미레유 마티외,mireyu matioe
wendelin werner,벤델린 베르너,bendelrin bereuneo
marie laforêt,마리 라포레트,mari raporeteu
chantal akerman,샹탈 아케르만,syangtal akereuman
henri cartan,앙리 카르탕,angri kareutang
yvette guilbert,이베트 길베르,ibeteu gilbereu
mariechristine barrault,마리크리스틴 바로,marikeuriseutin baro
louise d'orléans,루이즈 도를레앙,ruijeu doreulreang
lucas digne,뤼카 디뉴,rwika dinyu
olga kurylenko,올가 쿠릴렌코,olga kurilrenko
rené thom,르네 톰,reune tom
jacques hadamard,자크 아다마르,jakeu adamareu
mariefrance pisier,마리프랑스 피지에,maripeurangseu pijie
fanny valette,파니 발레트,pani balreteu
sara forestier,사라 포레스티에,sara poreseutie
marina hands,마리나 핸즈,marina haenjeu
élodie yung,엘로디 융,elrodi yung
edgar faure,에드가르 포르,edeugareu poreu
brigitte fossey,브리지트 포세,beurijiteu pose
sandra milo,산드라 밀로,sandeura milro
catherine millet,카트린 밀레,kateurin milre
marion maréchal,마리옹 마레샬,mariong maresyal
charles koechlin,샤를 케클랭,syareul kekeulraeng
paul sérusier,폴 세뤼지에,pol serwijie
lucie décosse,뤼시 데코스,rwisi dekoseu
sophie quinton,소피 캥통,sopi kaengtong
guy béart,기 베아르,gi beareu
jacques prévert,자크 프레베르,jakeu peurebereu
jeanbaptiste dumas,장바티스트 뒤마,jangbatiseuteu dwima
julie depardieu,쥘리 드파르디외,jwilri deupareudioe
élisabeth depardieu,엘리자베트 드파르디외,elrijabeteu deupareudioe
georges moustaki,조르주 무스타키,joreuju museutaki
jacquesbénigne bossuet,자크베니뉴 보쉬에,jakeubeninyu boswie
michel bréal,미셸 브레알,misyel beureal
pierre de fermat,피에르 드 페르마,piereu deu pereuma
agnès jaoui,아녜스 자우이,anyeseu jaui
guy de lusignan,기 드 뤼지냥,gi deu rwijinyang
richard clayderman,리샤르 클레데르망,risyareu keulredereumang
maurice de saxe,모리스 드 삭스,moriseu deu sagseu
sandra,잔드라,jandeura
mathé altéry,마테 알테리,mate alteri
marina vlady,마리나 블라디,marina beulradi
sylvie vartan,실비 바르탕,silbi bareutang
natalie dessay,나탈리 드세이,natalri deusei
christa ludwig,크리스타 루트비히,keuriseuta ruteubihi
emmanuelle devos,에마뉘엘 드보스,emanwiel deuboseu
maurice de vlaminck,모리스 드 블라맹크,moriseu deu beulramaengkeu
olivier blanchard,올리비에 블랑샤르,olribie beulrangsyareu
gustave le bon,귀스타브 르 봉,gwiseutabeu reu bong
virginie despentes,비르지니 데팡트,bireujini depangteu
paul ramadier,폴 라마디에,pol ramadie
alexandre grothendieck,알렉산더 그로텐디크,alregsandeo geurotendikeu
georges enesco,제오르제 에네스쿠,jeoreuje eneseuku
jules mazarin,쥘 마자랭,jwil majaraeng
sami bouajila,사미 부아질라,sami buajilra
pierre alphonse laurent,피에르 알퐁스 로랑,piereu alpongseu rorang
