이,i
금성청년출판사,geumseongceongnyeonculpansa
선군절,seongunjeol
육진 방언,yugjin bangeon
약산동대,yagsandongdae
조선민주주의인민공화국 국가건설감독성,joseonminjujuyiinmingonghwagug guggageonseolgamdogseong
평양 메트로 박물관,pyeongyang meteuro bagmulgwan
천지삭도,ceonjisagdo
미래과학자거리 은하 타워,miraegwahagjageori eunha taweo
강계군,ganggyegun
해주 다라니석당,haeju daraniseogdang
세검정,segeomjeong
양시선,yangsiseon
엠페러오락호텔,empereooraghotel
조선인민군 특수작전군,joseoninmingun teugsujagjeongun
평양희천고속도로,pyeongyanghyiceongosogdoro
조선민주주의인민공화국의 언론,joseonminjujuyiinmingonghwagugyi eonron
연복사종,yeonbogsajong
백상루,baegsangru
정일봉,jeongilbong
암실,amsil
사리원 전투,sariweon jeontu
아호비령산맥,ahobiryeongsanmaeg
만수대예술극장,mansudaeyesulgeugjang
미국 기자 북한 억류 사건,migug gija bughan eogryu sageon
한국의 반일감정,hangugyi banilgamjeong
황토도,hwangtodo
개심사,gaesimsa
녕변군,nyeongbyeongun
유점사,yujeomsa
영명사,yeongmyeongsa
부벽루,bubyeogru
표훈사,pyohunsa
장혜국제대교,janghyegugjedaegyo
개성문산 전투,gaeseongmunsan jeontu
경덕궁,gyeongdeoggung
두루섬,duruseom
대북송금 사건,daebugsonggeum sageon
만경대혁명학원,mangyeongdaehyeogmyeonghagweon
신압록강대교,sinabroggangdaegyo
자동차체육단,jadongcaceyugdan
도문국경대교,domunguggyeongdaegyo
두만강대교,dumangangdaegyo
인민문화궁전,inminmunhwagungjeon
관서팔경,gwanseopalgyeong
조선중앙력사박물관,joseonjungangryeogsabagmulgwan
봉화예술극장,bonghwayesulgeugjang
만경봉,mangyeongbong
평양대극장,pyeongyangdaegeugjang
기자릉,gijareung
평양화력발전소,pyeongyanghwaryeogbaljeonso
조선민주주의인민공화국 국가검열위원회,joseonminjujuyiinmingonghwagug guggageomyeolwiweonhoe
조선민주주의인민공화국 재정성,joseonminjujuyiinmingonghwagug jaejeongseong
조선로동당 대표자회,joseonrodongdang daepyojahoe
제릉,jereung
장진선,jangjinseon
찬동자 파크,candongja pakeu
정방산성,jeongbangsanseong
칠성문,cilseongmun
장연선,jangyeonseon
찬동자체육단,candongjaceyugdan
현무문,hyeonmumun
조선로동당의 영원한 총비서,joseonrodongdangyi yeongweonhan congbiseo
조선민주주의인민공화국의 경찰,joseonminjujuyiinmingonghwagugyi gyeongcal
경암루,gyeongamru
김형직사범대학,gimhyeongjigsabeomdaehag
금강산청년선,geumgangsanceongnyeonseon
조선인민군 해군의 함정 목록,joseoninmingun haegunyi hamjeong mogrog
조국평화통일위원회,jogugpyeonghwatongilwiweonhoe
조선민주주의인민공화국의 원자력 발전,joseonminjujuyiinmingonghwagugyi weonjaryeog baljeon
덕산비행장,deogsanbihaengjang
조선기자동맹,joseongijadongmaeng
김철주사범대학,gimceoljusabeomdaehag
조선민주주의인민공화국의 환경,joseonminjujuyiinmingonghwagugyi hwangyeong
조선민주주의인민공화국 체신성,joseonminjujuyiinmingonghwagug cesinseong
북한의 농업,bughanyi nongeob
송도원,songdoweon
문수물놀이장,munsumulnolijang
안골선,angolseon
홰불체육단,hwaebulceyugdan
조선민주주의인민공화국 무역은행,joseonminjujuyiinmingonghwagug muyeogeunhaeng
철산선,ceolsanseon
대한민국에서 차단된 웹사이트 목록,daehanmingugeseo cadandoen websaiteu mogrog
국가항공우주기술총국,guggahanggongujugisulconggug
군우동,gunudong
고건원선,gogeonweonseon
올림픽 한국 선수단,olrimpig hangug seonsudan
김책경기장,gimcaeggyeonggijang
고원탄광선,goweontangwangseon
개천비행장,gaeceonbihaengjang
무산광산선,musangwangsanseon
마식령 스키장,masigryeong seukijang
평양시 인민위원회,pyeongyangsi inminwiweonhoe
일탄선,iltanseon
평양호텔,pyeongyanghotel
개성 성균관,gaeseong seonggyungwan
길주종이공장,giljujongigongjang
은율 관산리 고인돌,eunyul gwansanri goindol
묘향산 보현사 팔각십삼층탑,myohyangsan bohyeonsa palgagsibsamceungtab
로동자신문,rodongjasinmun
조선대백과사전,joseondaebaeggwasajeon
조선미술박물관,joseonmisulbagmulgwan
함흥대극장,hamheungdaegeugjang
개성 적조사 쇠부처,gaeseong jeogjosa soebuceo
현지지도,hyeonjijido
조선민속박물관,joseonminsogbagmulgwan
양도,yangdo
삼지연선,samjiyeonseon
월미도체육단,weolmidoceyugdan
조선민주주의인민공화국의 전화번호 체계,joseonminjujuyiinmingonghwagugyi jeonhwabeonho cegye
황해청년선,hwanghaeceongnyeonseon
강계선,ganggyeseon
제비체육단,jebiceyugdan
만월대,manweoldae
은파산체육단,eunpasanceyugdan
선죽교,seonjuggyo
옹진선,ongjinseon
평덕선,pyeongdeogseon
진흥왕 순수비,jinheungwang sunsubi
인민조선,inminjoseon
한보이스,hanboiseu
무산선,musanseon
회령탄광선,hoeryeongtangwangseon
함경산맥,hamgyeongsanmaeg
백무선,baegmuseon
함흥본궁,hamheungbongung
조국해방전쟁 승리 기념일,jogughaebangjeonjaeng seungri ginyeomil
해주 경기장,haeju gyeonggijang
회암선,hoeamseon
하모니카사택,hamonikasataeg
대수압도,daesuabdo
한국 중부,hangug jungbu
한국의 반미감정,hangugyi banmigamjeong
임남댐,imnamdaem
평양철도대학,pyeongyangceoldodaehag
피바다가극단,pibadagageugdan
광명성,gwangmyeongseong
후릉,hureung
고려박물관,goryeobagmulgwan
제임스타운선,jeimseutaunseon
리과대학,rigwadaehag
풍계리,punggyeri
강서대묘,gangseodaemyo
룡성 관저,ryongseong gwanjeo
라진해운대학,rajinhaeundaehag
서산축구경기장,seosancuggugyeonggijang
고려왕릉,goryeowangreung
룡강선,ryonggangseon
릉라인민유원지,reungrainminyuweonji
평양 축구단,pyeongyang cuggudan
수풍호,supungho
법흥사,beobheungsa
동림폭포,dongrimpogpo
박연폭포,bagyeonpogpo
재북평화통일촉진협의회,jaebugpyeonghwatongilcogjinhyeobyihoe
보천읍,boceoneub
평양연극영화대학,pyeongyangyeongeugyeonghwadaehag
함흥화학공업대학,hamheunghwahaggongeobdaehag
가도,gado
만덕선,mandeogseon
보천보전투승리기념탑,boceonbojeontuseungriginyeomtab
평양문화전시관,pyeongyangmunhwajeonsigwan
최승대,coeseungdae
정양사,jeongyangsa
평양건축종합대학,pyeongyanggeoncugjonghabdaehag
금광사,geumgwangsa
평양 대성산성,pyeongyang daeseongsanseong
평양타치,pyeongyangtaci
봉수교회,bongsugyohoe
려행증,ryeohaengjeung
조선예수교장로회신학교,joseonyesugyojangrohoesinhaggyo
남포경기장,nampogyeonggijang
개성 남대문,gaeseong namdaemun
조선민주주의인민공화국 국적법,joseonminjujuyiinmingonghwagug gugjeogbeob
광명성절,gwangmyeongseongjeol
조선민주주의인민공화국 사회안전성,joseonminjujuyiinmingonghwagug sahoeanjeonseong
오악,oag
모란봉체육단,moranbongceyugdan
을밀대,eulmildae
조선민주주의인민공화국의 소방,joseonminjujuyiinmingonghwagugyi sobang
북한의 불법행위,bughanyi bulbeobhaengwi
조선민주주의인민공화국의 공훈예술가,joseonminjujuyiinmingonghwagugyi gonghunyesulga
의릉,yireung
주조 러시아 대사관,jujo reosia daesagwan
대안선,daeanseon
서해갑문선,seohaegabmunseon
송암동굴,songamdonggul
신의주경기장,sinyijugyeonggijang
순천비행장,sunceonbihaengjang
다사도선,dasadoseon
한국 문화 속의 호랑이,hangug munhwa sogyi horangi
조선민주주의인민공화국의 핵개발 연표,joseonminjujuyiinmingonghwagugyi haeggaebal yeonpyo
현릉,hyeonreung
태풍 기러기,taepung gireogi
운산선,unsanseon
통일신발,tongilsinbal
납북자,nabbugja
조선민주주의인민공화국의 천연기념물,joseonminjujuyiinmingonghwagugyi ceonyeonginyeommul
아시안 게임 조선민주주의인민공화국 선수단,asian geim joseonminjujuyiinmingonghwagug seonsudan
평북선,pyeongbugseon
평양체육관,pyeongyangceyuggwan
부포선,buposeon
조선민주주의인민공화국의 총리,joseonminjujuyiinmingonghwagugyi congri
박천선,bagceonseon
곡부 공씨,gogbu gongssi
평양외국인학교,pyeongyangoeguginhaggyo
선더볼트 작전,seondeobolteu jagjeon
봉화산체육단,bonghwasanceyugdan
조선로동당 중앙위원회 정치국,joseonrodongdang jungangwiweonhoe jeongcigug
평양강동고속도로,pyeongyanggangdonggosogdoro
라자루스 그룹,rajaruseu geurub
로농적위군,ronongjeogwigun
평양원산관광도로,pyeongyangweonsangwangwangdoro
은산선,eunsanseon
조선민주주의인민공화국의 여성,joseonminjujuyiinmingonghwagugyi yeoseong
조선소년단,joseonsonyeondan
영광읍,yeonggwangeub
평양기계대학,pyeongyanggigyedaehag
주조 스웨덴 대사관,jujo seuweden daesagwan
조선인민군 총참모부,joseoninmingun congcammobu
스웨덴조선민주주의인민공화국 관계,seuwedenjoseonminjujuyiinmingonghwagug gwangye
조선인민군 총정치국,joseoninmingun congjeongcigug
의주읍성,yijueubseong
정릉사,jeongreungsa
북미정상회담,bugmijeongsanghoedam
조선민주주의인민공화국산 석탄 대한민국 반입 사건,joseonminjujuyiinmingonghwagugsan seogtan daehanmingug banib sageon
단번도약,danbeondoyag
평양시의 마천루 목록,pyeongyangsiyi maceonru mogrog
덕흥리고분,deogheungrigobun
묘향산역사박물관,myohyangsanyeogsabagmulgwan
부전령산맥,bujeonryeongsanmaeg
김일성 배지,gimilseong baeji
농업협동화,nongeobhyeobdonghwa
덕릉,deogreung
귀주사,gwijusa
룡문탄광선,ryongmuntangwangseon
마식령,masigryeong
명사십리,myeongsasibri
모란봉극장,moranbonggeugjang
금장암 사자탑,geumjangam sajatab
붉은청년근위대,bulgeunceongnyeongeunwidae
조선민주주의인민공화국 원자력공업성,joseonminjujuyiinmingonghwagug weonjaryeoggongeobseong
연평도 해역 공무원 피격 사망 사건,yeonpyeongdo haeyeog gongmuweon pigyeog samang sageon
조선로동당 중앙검사위원회,joseonrodongdang junganggeomsawiweonhoe
조선로동당 중앙위원회 비서국,joseonrodongdang jungangwiweonhoe biseogug
보통강운하,botonggangunha
북한의 기후변화,bughanyi gihubyeonhwa
조선장애자체육협회,joseonjangaejaceyughyeobhoe
고구려 평양성 석편,goguryeo pyeongyangseong seogpyeon
사회주의 헌법절,sahoejuyi heonbeobjeol
사리원신천고속도로,sariweonsinceongosogdoro
빨치산파,bbalcisanpa
북한민주화네트워크,bughanminjuhwaneteuweokeu
새날신문,saenalsinmun
삼일포,samilpo
갑산파,gabsanpa
김정일정치군사대학,gimjeongiljeongcigunsadaehag
유엔사령부 군사정전위원회,yuensaryeongbu gunsajeongjeonwiweonhoe
김책제철련합기업소,gimcaegjeceolryeonhabgieobso
김일성방송대학,gimilseongbangsongdaehag
방현비행장,banghyeonbihaengjang
기상수문국,gisangsumungug
북한한류,bughanhanryu
조선대풍국제투자그룹,joseondaepunggugjetujageurub
소련파,soryeonpa
한국어족,hangugeojog
개성 숭양서원,gaeseong sungyangseoweon
로동자체육단,rodongjaceyugdan
인민위원회,inminwiweonhoe
북한 국제 문서 프로젝트,bughan gugje munseo peurojegteu
법운암,beobunam
용곡서원,yonggogseoweon
조선문학예술총동맹,joseonmunhagyesulcongdongmaeng
주체농법,jucenongbeob
판문군,panmungun
득장선,deugjangseon
조선민주주의인민공화국 중앙검찰소,joseonminjujuyiinmingonghwagug junganggeomcalso
장상선,jangsangseon
조선민주주의인민공화국의 문법론,joseonminjujuyiinmingonghwagugyi munbeobron
청진 궤도전차,ceongjin gwedojeonca
평양 지하철도 만경대선,pyeongyang jihaceoldo mangyeongdaeseon
대건선,daegeonseon
춘두선,cunduseon
재일 조선인 북송사업,jaeil joseonin bugsongsaeob
려명거리,ryeomyeonggeori
려명거리 아파트,ryeomyeonggeori apateu
한국의 여성주의,hangugyi yeoseongjuyi
만수대 아파트,mansudae apateu
국제김정일상,gugjegimjeongilsang
조선의 오늘,joseonyi oneul
조선민주주의인민공화국의 소수집단,joseonminjujuyiinmingonghwagugyi sosujibdan
인민극장,inmingeugjang
한국의 흡연,hangugyi heubyeon
무지개중개회사,mujigaejunggaehoesa
조선민주주의인민공화국 내각사무국,joseonminjujuyiinmingonghwagug naegagsamugug
조선민주주의인민공화국 형법부칙,joseonminjujuyiinmingonghwagug hyeongbeobbucig
조선민주주의인민공화국의 기후,joseonminjujuyiinmingonghwagugyi gihu
조선로동당 군수공업부,joseonrodongdang gunsugongeobbu
북한말,bughanmal
국가비상방역사령부,guggabisangbangyeogsaryeongbu
평양정보기술국,pyeongyangjeongbogisulgug
조선민주주의인민공화국 국가품질감독위원회,joseonminjujuyiinmingonghwagug guggapumjilgamdogwiweonhoe
갈매기체육단,galmaegiceyugdan
조선민주주의인민공화국 형법,joseonminjujuyiinmingonghwagug hyeongbeob
평양기술총회사,pyeongyanggisulconghoesa
조선민주주의인민공화국 국가자원개발성,joseonminjujuyiinmingonghwagug guggajaweongaebalseong
조선민주주의인민공화국 평양건설위원회,joseonminjujuyiinmingonghwagug pyeongyanggeonseolwiweonhoe
조선민주주의인민공화국 국가가격위원회,joseonminjujuyiinmingonghwagug guggagagyeogwiweonhoe
제로코비드,jerokobideu
영흥 아파트,yeongheung apateu
팔골동 아파트,palgoldong apateu
청류 타워,ceongryu taweo
김군옥영웅함,gimgunogyeongungham
국가체육지도위원회,guggaceyugjidowiweonhoe
북한의 낙태,bughanyi nagtae
류성 아파트,ryuseong apateu
조선민주주의인민공화국의 대량살상무기,joseonminjujuyiinmingonghwagugyi daeryangsalsangmugi
오스트리아조선민주주의인민공화국 관계,oseuteuriajoseonminjujuyiinmingonghwagug gwangye
대안중기계련합기업소,daeanjunggigyeryeonhabgieobso
조선민주주의인민공화국 중앙통계국,joseonminjujuyiinmingonghwagug jungangtonggyegug
보통강유기질복합비료공장,botonggangyugijilboghabbiryogongjang
안릉,anreung
정릉,jeongreung
사타형 증기 기관차,satahyeong jeunggi gigwanca
발틱형 증기 기관차,baltighyeong jeunggi gigwanca
순릉,sunreung
고로형 증기 기관차,gorohyeong jeunggi gigwanca
동아시아 청소년 경기 대회,dongasia ceongsonyeon gyeonggi daehoe
숙릉,sugreung
지릉,jireung
화릉,hwareung
보산제철소,bosanjeceolso
모가형 증기 기관차,mogahyeong jeunggi gigwanca
조선요술협회,joseonyosulhyeobhoe
천내선,ceonnaeseon
대북전단과 대남전단,daebugjeondangwa daenamjeondan
관하선,gwanhaseon
고참탄광선,gocamtangwangseon
성평선,seongpyeongseon
대각선,daegagseon
대중율동체조,daejungyuldongcejo
덕남선,deognamseon
비날론선,binalronseon
구봉산선,gubongsanseon
남양국경선,namyangguggyeongseon
평양방어사령부,pyeongyangbangeosaryeongbu
성진제강련합기업소,seongjinjegangryeonhabgieobso
문천항선,munceonhangseon
모학선,mohagseon
조선민주주의인민공화국의 병역 제도,joseonminjujuyiinmingonghwagugyi byeongyeog jedo
조선민주주의인민공화국 부주석,joseonminjujuyiinmingonghwagug bujuseog
평양속도,pyeongyangsogdo
고려상업은행,goryeosangeobeunhaeng
주조 중국 대사관,jujo junggug daesagwan
조선민주주의인민공화국 요리,joseonminjujuyiinmingonghwagug yori
조선러시아 우정의 다리,joseonreosia ujeongyi dari
민주독립당,minjudogribdang
강반석유자녀대학,gangbanseogyujanyeodaehag
김형직군의대학,gimhyeongjiggunyidaehag
장철구평양상업대학,jangceolgupyeongyangsangeobdaehag
조선민주주의인민공화국의 국가 원수 배우자,joseonminjujuyiinmingonghwagugyi gugga weonsu baeuja
김일성고급당학교,gimilseonggogeubdanghaggyo
조선민주주의인민공화국의 비핵화,joseonminjujuyiinmingonghwagugyi bihaeghwa
통일각,tongilgag
금야선,geumyaseon
수풍선,supungseon
청진항선,ceongjinhangseon
자력갱생,jaryeoggaengsaeng
최고인민회의 상임위원회,coegoinminhoeyi sangimwiweonhoe
락랑선,ragrangseon
동포선,dongposeon
명당선,myeongdangseon
조선불교도련맹,joseonbulgyodoryeonmaeng
창흥선,cangheungseon
사회과학원,sahoegwahagweon
재동선,jaedongseon
조국해방전쟁승리기념관,jogughaebangjeonjaengseungriginyeomgwan
직동탄광선,jigdongtangwangseon
서호선,seohoseon
보위국,bowigug
선봉체육단,seonbongceyugdan
공민증,gongminjeung
사회주의 기업 책임 관리제,sahoejuyi gieob caegim gwanrije
식수절,sigsujeol
경성온천,gyeongseongonceon
목란비데오,mogranbideo
정주 전투,jeongju jeontu
안사스 아파트,ansaseu apateu
목란관,mograngwan
백화원 영빈관,baeghwaweon yeongbingwan
판문각,panmungag
골드 클라드 타워,goldeu keulradeu taweo
공로메달,gongromedal
조선로동당 선전선동부,joseonrodongdang seonjeonseondongbu
초병체육단,cobyeongceyugdan
주청진 중국 총영사관,juceongjin junggug congyeongsagwan
동림호텔,dongrimhotel
려명체육단,ryeomyeongceyugdan
대동강철교,daedonggangceolgyo
금강천,geumgangceon
대동강 아파트,daedonggang apateu
평해튼,pyeonghaeteun
룡흥동 아파트,ryongheungdong apateu
룡남 타워,ryongnam taweo
욕존 아파트,yogjon apateu
천송 타워,ceonsong taweo
역곡천,yeoggogceon
조선료리전집,joseonryorijeonjib
김책공업종합대학 교육자 아파트,gimcaeggongeobjonghabdaehag gyoyugja apateu
미래과학자거리 파랑 타워,miraegwahagjageori parang taweo
영흥 타워,yeongheung taweo
평양 아파트 타워,pyeongyang apateu taweo
배움의 천리길,baeumyi ceonrigil
서송 아파트,seosong apateu
인북천,inbugceon
김일성종합대학 교육자 아파트,gimilseongjonghabdaehag gyoyugja apateu
남포타워,nampotaweo
북망타워,bugmangtaweo
금성 아파트,geumseong apateu
황해북도예술극장,hwanghaebugdoyesulgeugjang
류경동,ryugyeongdong
상류천,sangryuceon
통안 아파트,tongan apateu
오탄강안 아파트,otangangan apateu
금창리 지하시설,geumcangri jihasiseol
오에성 아파트,oeseong apateu
통안동 아파트,tongandong apateu
평양평야,pyeongyangpyeongya
조선민주주의인민공화국의 과학,joseonminjujuyiinmingonghwagugyi gwahag
한국 동북 지방,hangug dongbug jibang
김일성청년영예상,gimilseongceongnyeonyeongyesang
대홍단 감자,daehongdan gamja
옥류아동병원,ogryuadongbyeongweon
남북공동연락사무소 폭파 사건,nambuggongdongyeonragsamuso pogpa sageon
강건종합군관학교,ganggeonjonghabgungwanhaggyo
룡암선,ryongamseon
청년전위,ceongnyeonjeonwi
개마총,gaemacong
검은모루동굴유적,geomeunmorudonggulyujeog
강계연필공장,ganggyeyeonpilgongjang
개성 성곽,gaeseong seonggwag
개성백송,gaeseongbaegsong
관모봉,gwanmobong
구천각,guceongag
개성관광,gaeseonggwangwang
국제관계대학,gugjegwangyedaehag
개성 첨성대,gaeseong ceomseongdae
경성읍성,gyeongseongeubseong
철갑,ceolgab
리근,rigeun
증복,jeungbog
곽 옥철,gwag ogceol
은향,eunhyang
춘미,cunmi
별희,byeolhyi
명삼,myeongsam
금속,geumsog
명혁,myeonghyeog
명일,myeongil
문섭,munseob
호평,hopyeong
금옥,geumog
석열,seogyeol
무길,mugil
철미,ceolmi
신혁,sinhyeog
배훈,baehun
철룡,ceolryong
명애,myeongae
지향,jihyang
송만,songman
남룡,namryong
신복,sinbog
도만,doman
중국,junggug
석선,seogseon
중린,jungrin
광옥,gwangog
운촐,uncol
의완,yiwan
선실,seonsil
청경,ceonggyeong
리용,riyong
림해,rimhae
한중,hanjung
설경,seolgyeong
룡하,ryongha
녕하,nyeongha
류경,ryugyeong
룡연,ryongyeon
병팔,byeongpal
종태,jongtae
일근,ilgeun
수열,suyeol
찬복,canbog
하규,hagyu
충우,cungu
호림,horim
광차,gwangca
양점,yangjeom
황민,hwangmin
하섭,haseob
허택,heotaeg
금범,geumbeom
한경,hangyeong
현파,hyeonpa
광곤,gwanggon
우철,uceol
정룡,jeongryong
공필,gongpil
일봉,ilbong
춘학,cunhag
칠남,cilnam
회일,hoeil
위훈,wihun
형복,hyeongbog
강환,ganghwan
운기,ungi
병송,byeongsong
운호,unho
응창,eungcang
자방,jabang
리혁,rihyeog
연과,yeongwa
남희,namhyi
예경,yegyeong
종형,jonghyeong
국향,gughyang
남향,namhyang
현국,hyeongug
심향,simhyang
옥심,ogsim
송화,songhwa
송봉,songbong
금송,geumsong
윤혁,yunhyeog
학봉,hagbong
중흡,jungheub
창철,cangceol
련학,ryeonhag
현히,hyeonhi
명금,myeonggeum
금란,geumran
일무,ilmu
전위,jeonwi
일광,ilgwang
미래,mirae
혁권,hyeoggweon
황일,hwangil
룡린,ryongrin
춘희,cunhyi
향심,hyangsim
청성,ceongseong
지예,jiye
시학,sihag
춘선,cunseon
