hebe,ヘーペ
superliga,スーペルリーガ
gramacho,グラマーショ
londrinense,ロンドリネンセ
culto,クウト
à,ア
ciência,シエンシア
mangueira,マンゲイラ
estação,エコロジカル
ecológica,ステーション
queijo,ケージョ
coalho,コアーリョ
pornochanchada,ポルノシンシャーダ
cajazeirense,カジャゼイレンセ
avibras,アヴィブラス
marituba,マリトゥバ
sapucaiense,サプカイエンセ
integração,インテグラシオン
peregrino,ペレグリーノ
andirá,アンジラー
cartuchos,カルトゥショス
bréscia,ブレシア
hailé,ハイレ
accioly,アッシオリー
hipismo,イピスモ
estadual,エスタドゥアル
lourival,ロウリヴァル
datafolha,ダッタフォーリャ
guinle,ギンレ
baixa,バイシャ
deckdisc,デックディスク
alair,アライール
bandsports,バンドスポーツ
bragantino,ブラガンチーノ
ilha,イリャ
cobras,コブラス
ato,アト
adicional,アディシオナル
tiro,チーロ
prefeito,プレフェイト
dilzon,ジウゾン
brazilian,ブラジリアン
decimetric,デシメトリック
array,アレイ
boca,ボカ
castor,カストル
cifuentes,シフエンテス
stédile,ステージレ
aniceto,アニセト
moscoso,モスコソ
vitta,ヴィッタ
engenheiro,エンジェニェイロ
araripe,アラリペ
godofredo,ゴドフレード
giulite,ジュリッチ
doutor,ドトール
benigno,ベニグノ
jaboticabal,ジャボチカバウ
proletário,プロレタリウ
professor,プロフェッソル
dario,ダリオ
hóquei,ホッケイ
jabaquara,ジャバクアラ
itautec,イタウテック
érton,エルトン
roriz,ロリス
radialista,ラジアリスタ
helênio,エレニオ
comunitário,コムニターリオ
colosso,コロッソ
onésio,オネージオ
brasileiro,ブラジレイロ
alvarenga,アウヴァレンガ
regional,ヘギオナウ
busatto,ブサット
crespi,クレスピ
anacleto,アナクレト
campanella,カンパネーラ
canoagem,カノアージェン
slalom,スラローム
campeonato,カンピオナート
team,テアン
canal,カナル
telecine,ネットワーク
abaporu,アバポルー
filmes,フィルメス
kolynos,コリノス
quarteto,クアルテート
lindolfo,リンドウフォ
uakti,ウアクチ
dr,ドウトール
olhodagüense,オーリョダグエンセ
paraibano,パライバーノ
zona,ゾーナ
malandragem,マランダラージ
cinemateca,シネマテカ
aerotáxi,アエロタクシー
hering,エーリング
mandonismo,カシキスモ
lóide,ロイジ
aéreo,エアロ
slipstream,ショウフジカワチョウコウソクキカン
elmo,エウモ
burning,バーニング
hell,ヘル
maniçoba,マニソバ
sport,スポルト
alfenim,アルフェニン
coaracy,コアラシー
edgard,エドガルド
luthero,ルテロ
epifânio,エピファニオ
d'abadia,ダバジア
bianco,ビアンコ
junco,ジュンコ
tamba,タンバ
trio,トリオ
d'areia,ダレイア
farache,ファラシェ
genervino,ジェネルヴィーノ
krüger,クルジェル
farina,ファリナ
bauer,バウエル
frederiquense,フレデリケンセ
troféu,トロフェウ
total,トータル
cine,シネ
dupla,セルタネージョ
sertaneja,デュオ
caramurus,カラムルス
horácio,エラシオ
maio,マイオ
discos,コパカバーナ
valdeir,ヴァウデイル
zezinho,ゼニーニョ
dapuzzo,ダプッゾ
gonzales,ゴンザレス
expresso,エクスプレッソ
turístico,ツーリスティコ
casa,カーザ
reale,レアリ
iliê,イリエ
toscano,トスカーノ
janguito,ジャンギート
malucelli,マルセーリ
olímpio,オリンピコ
hercílio,エルシリオ
hermínio,エルミニオ
ometto,オメット
ulbra,ウルブラ
cima,シーマ
bacurau,バクラウ
sobrinho,ソブリーニョ
sesi,セジ
comércio,コメルシオ
fares,ファレス
mato,マト
grosso,グロッソ
vereador,ヴェレアドル
ferez,フェレス
amaros,アマロス
florentina,フローレンティーナ
mineiros,ミネイロス
mundiais,ムンジアイス
hematita,エマチータ
templo,テンプロ
fluminense,フルミネンセ
aprazível,アプラジーヴェル
japão,ジャポン
torrense,トレンセ
mangaratibense,マンガラチベンセ
jockey,ジョッキ
jongo,ジョンゴ
lulismo,ルイリズム
jahu,ジャウー
krona,ジョインヴィレ
kinkakuji,ブラジルキンカクジ
marreco,マレコ
torto,トルト
moçambique,モザンビーク
patriota,アイコクシャ
pelo,ペロ
telefone,テレフォーニ
jovem,ジョーヴェン
ribeira,ヒベイラ
super,ジョルナル
rádio,ド
reserva,レセルバ
marapendi,マラペンディ
galinhas,ガリーニャス
início,イニシオ
rocco,ロッコ
hiroshima,ヒロシマ
veador,ヴェアドル
madrigal,マドリガル
talha,ターリャ
operária,オペラリオ
teleférico,テレフェリコ
araguainense,アラグアイネンセ
waldemiro,バウデミーロ
pirarrãs,ピダハンゾク
quermesse,キルメス
academia,アカデミア
barroco,ミナス
angu,アングー
maringaense,マリンガエンセ
condá,コンダ
bumbum,ブンブン
mumbuca,ムンブーカ
borbense,ボルレンセ
mana,マナ
coxinha,コシーニャ
recopa,レコパ
interior,インテリオール
cartoon,カートゥーン
network,ネットワーク
barretto,バヘト
liberatti,リベラッチ
santanense,サンタネンセ
tapecar,タペカール
natalense,ナタレンセ
olympia,オリンピア
catarinense,カタリネンセ
solidariedade,レンタイ
gamercom,ゲーマーコム
tuiuti,トゥイウチ
terenos,テレーノスグン
tapiraí,タピライ
uruçuí,ウルスイ
altos,アウトス
una,ウナ
igarapé,イガラペ
corinto,コリント
cajuru,カジュル
ubatã,ウバター
tucano,トゥッカーノ
tapiramutá,タピラムタ
anhumas,アニュマス
almeirim,アウメイリン
nubank,ヌーバンク
clássico,クラシコ
matuto,マトゥト
sony,ソニー
music,ミュージック
futuro,フトゥール
campinarana,カンピナラナ
mortadela,モルタデラ
anônima,アノーニマ
beneficente,ベネフィセンテ
catalana,カタラーナ
ouvidorense,オウヴィドレンセ
saletta,サレッタ
entrada,エントラーダ
estrella,エストレラ
tismoo,ティモー
palmeiras,パルメイラス
enkoji,エンコウジ
mesa,メサ
bhering,ベーリング
rotunda,ロトゥンダ
arenoso,アレノソ
pix,ピックス
imovision,イモビジョン
forma,フォルマ
vitrine,ヴィトリーネ
nabote,ナボテ
europa,ヨーロッパ
hospital,オスピタル
che,シェ
hostel,ホステル
inconfidência,インコンフィデンシア
coleção,アリスティデス
algodres,アルゴドレス
tendais,テンダイス
alcáçova,アルカサバ
seia,セイア
espadanedo,イスパダネド
matosinhos,マトシンホス
ribatejo,リバテージュ
côa,コア
camacha,カマシャ
covilhã,クヴィリャン
foia,フォーイアサン
odivelas,オディヴェーラシュ
ourique,オウリーキ
vedras,ベドラシュ
xira,シーラ
loures,ローレシュ
tábua,タブア
marvão,マルヴァオン
alenquer,アレンケル
alportel,アルポルテル
vendas,ヴェンダズ
entroncamento,エントロンカメント
cabeceiras,カベセイラス
moimenta,モイメンタ
beira,ベイラ
vimioso,ヴィミオーゾ
terras,テラス
bouro,ボウロ
bárrio,バリオ
portimão,ポルティマン
foral,フエロ
tarouca,タロウカ
bombarral,ボンバラル
boliqueime,ボリケイメ
odemira,オディミーラ
alburitel,アルブリテル
sabugal,サブガル
vidigueira,ヴィディゲーラ
mogadouro,モガドウロ
minho,ミーニョ
baleira,バレイラ
sor,ソル
famalicão,ファマリカン
mirandela,ミランデラ
vide,ヴィディ
cacém,カセーン
reguengos,レゲンゴス
monsaraz,モンサラス
seixal,セイシャル
penamacor,ピナマコール
ródão,ロダウン
pampilhosa,パンピリョーザ
vizela,ヴィゼラ
esposende,エシュポゼンデ
constância,コンスタンシア
lousã,ローザン
pouca,ポウカ
cuba,クーバ
furnas,フルナス
aljustrel,アルジュシュトレル
arouca,アロウカ
charneca,シャルネカ
caparica,カパリカ
vinho,ヴィーニョ
ansião,アンシャロ
anta,アンタ
nordeste,ノルデステ
redondo,リドンドゥ
almodôvar,アルムドーヴァル
paços,パソス
agraço,アグラソ
ordem,オルデム
penela,ピネーラ
povoação,ポヴォアサン
graciosa,グラシオーザ
coles,コーレス
aginter,アジンター
press,プレス
citânia,シタニア
briteiros,ブリテイロス
penacova,ピナコーヴァ
velas,ヴェーラス
pombal,ポンバル
cova,コヴァ
mesão,メザン
corroios,コロイオス
oleiros,オレイルシュ
mós,モス
pedrógão,ピドロガオン
castanheira,カシュタネイラ
penafiel,ペナフィエル
cávado,カヴァドゥ
cadaval,カダバル
lourinhã,ロウリニャン
grândola,グランドラ
curtas,クルタス
manteigas,マンテイガシュ
alcanena,アルカネナ
gondomar,ゴンドマル
mangualde,マングァルデ
valongo,ヴァロンゴ
frades,フラデス
quarteira,クアルテイラ
lousada,ロウザダ
lajes,ラジェス
arieiro,アリエロ
central,セントラル
ii,セグンダ
divisão,ディヴィゾン
diamang,ディアマング
iria,イリア
monsanto,モンサント
levada,レヴァダ
olival,オリヴァル
ermesinde,エルメシンデ
barreiros,マリティモ
pinhal,ピニャル
lobos,ロボス
canaveses,カナヴェセス
mouro,モロ
notícias,ノティシアス
ave,アヴィ
milfontes,ミルフンテス
mondego,モンデゴ
ala,アラ
misericórdia,ミゼリコルジャ
litoral,リトラルトシカンキョウドウタイ
zibreira,ジブレイラ
fronteira,フロンテイラ
vinhateiro,ワインセイサンチイキ
ericeira,エリセイラ
covo,コヴォ
energias,エネルジアス
figueiró,フィゲイロー
vinhos,ヴィーニュシュ
carcavelos,カルカヴェロス
justa,ジュスタ
machico,マシコ
restelo,レステロ
alandroal,アランドゥアル
trafaria,トラファリア
arrentela,アレンテナ
arronches,アロンシィシュ
festroia,フェストロイアコクサイエイガサイ
loriga,ロリガ
lagos,ラゴス
doula,ドゥーラ
estremadura,イシュトリマドゥーラ
médio,メディオ
tejo,テージュ
rana,ラナ
leça,レサ
alcabideche,アルカビデチェ
olhão,オリョン
ourém,オウレン
monforte,モンフォルティ
lourosa,ロウロサ
baixo,バイシュ
livraria,リブラリア
avanca,アヴァンカ
azeitão,アゼイタン
mafamude,マファムデ
mozelos,モゼロス
lezíria,レジーリア
hanno,アノーネ
avis,アヴィシュ
marrancos,マランコス
linha,リンハ
tondela,トンデラ
azinhaga,アジニャーガ
óbidos,オビドゥシュ
marinha,マリーニャ
massarelos,マサレロス
vouga,ヴォーガ
cónegos,コネゴス
muge,ムゲ
ílhavo,イリャヴォ
tâmega,タメガジュンチイキ
almancil,アルマンシル
montijo,モンチジョ
corvo,コルヴ
barrancos,バランクシュ
cacilhas,カシーリャス
damaia,ダマイア
estarreja,エスタレージャ
mealhada,メアリャーダ
salvaterra,サルヴァテッラ
magos,マゴシュ
caminha,カミーニャ
portus,ポルトゥ
cale,カーレ
pax,パックス
anadia,アナディア
algarvia,アルガルヴィア
judeu,ジュデウ
orbest,オーベストコウクウ
arganil,アルガニル
queima,ケイマ
fitas,フィタス
góis,ゴイシュ
monção,モンサン
poiares,ポイアーリシュ
vilamoura,ヴィラモウラ
alcáçovas,アルサソヴァス
air,エア
atlantis,アトランティス
ajuda,アジュダ
ovar,オヴァール
azeméis,アゼメーイス
alte,アルテ
figueira,フィゲイラ
alvaiázere,アルヴァイアジリ
pragal,プラガル
alvor,アルヴォル
segura,セグラ
pontinha,ポンチーニャ
amareleja,アマレレジャ
amora,アモラ
via,ヴィア
alter,アルテール
chão,シャオン
barraca,バラッカ
alvito,アルヴィートゥ
cetóbriga,カイトブリガ
psr,カクメイテキシャカイトウ
torre,トーレサン
melgaço,メルガーソ
aero,アエロ
agroar,アグロアールカモツコウクウ
tentúgal,テントゥガル
diário,ディアリオ
sandomil,サンドミル
querença,ケレンサ
benafim,ベナフィン
berrão,ベラコ
sousel,ソウゼル
feminina,フェミニーナ
penhas,ペーニャス
saúde,サウーデ
algar,アルガル
carvão,カルヴァン
canelas,カネラス
rugby,ラグビー
galveias,ガルヴェイアス
politécnico,ポリテークニコ
lágrimas,ラグリマス
sogrape,ソグラペ
pevidem,ペヴィデム
zoomarine,ズーマリン
parchal,パルシャル
ditadura,ディタドゥーラ
autorretrato,ジガゾウ
delicado,デリカード
olisipo,オリシポ
farol,ポンタ
carapacho,カラパショトウダイ
entre,エントレ
furna,フルナ
enxofre,エンソフレ
geopark,ナツールテジョ
naturtejo,ジオパーク
albergaria,アルベルガリア
paiã,パイアン
ordenanças,オルデナンサス
lisnave,リスボンゾウセンショ
ouguela,オーゲルワ
meã,メアン
cevide,セビデ
montalvo,モンタルヴォ
luxor,ルクソール
tá,タ
na,ナ
beiras,ベイラ
convento,コンヴェント
serradura,セラドゥーラ
livre,ジユウトウ
infraestruturas,インフラストラクチュラス
trásosmontes,トラスウスモンテストシカンキョウドウタイ
chega,シェーガ
iniciativa,リベラル
liberal,イニシアティヴ
belcanto,ベルカント
volt,ボルト
lisbon,リスボン
europe,ヨーロッパ
bessa,ベッサ
rossio,ロシオヒロバ
