マツモトユキヒロ,松本行弘,matsumotoyukihiro
トモエスイ,巴水,tomoesui
クニサン,邦山,kunisan
サカモト,坂本,sakamoto
イケダ,池田,ikeda
ソウリョウ,惣领,souryou
フユミ,冬实,fuyumi
アリヨシ,有吉,ariyoshi
サワコ,佐和子,sawako
ナツメ,夏目,natsume
ソウセキ,漱石,souseki
アミ,亚美,ami
ナンサ,南沙,nansa
イフク,伊福,ifuku
ブアキラ,部昭,buakira
ムラカミ,村上,murakami
ハルキ,春树,haruki
トヨダ,丰田,toyoda
サキチ,佐吉,sakichi
トシキチ,利吉,toshikichi
オガタ,绪方,ogata
サダコ,贞子,sadako
エモト,江本,emoto
カチ,胜,kachi
ミチバタ,道端,michibata
ジェシカ,洁西卡,jeshika
ソノコ,园子,sonoko
ヌル,温,nuru
エザキ,江崎,ezaki
レオナ,玲于奈,reona
エイサク,荣作,eisaku
コダイラ,小平,kodaira
ジケン,义雄,jiken
エドウィン,埃德温,edowin
シモヒラ,下平,shimohira
タクミ,匠,takumi
カキダニ,柿谷,kakidani
カシワギ,柏木,kashiwagi
シホ,志穗,shiho
サトシ,聪志,satoshi
アサヒ,旭,asahi
コリエダ,梱枝,korieda
エダ,江田,eda
ケン,谦,ken
イワタ,岩田,iwata
ハナレイ,华怜,hanarei
ケイアキ,庆秋,keiaki
アンジュウ,安住,anjuu
アツシ,淳,atsushi
ウラサワ,浦泽,urasawa
ジュン,润,jun
アカニシ,赤西,akanishi
ヒトシ,仁,hitoshi
ヒロ,浩,hiro
カナザワ,金泽,kanazawa
ヒロカズ,弘和,hirokazu
コウエン,后圆,kouen
トオルテンノウ,融天皇,toorutennou
シセイ,资生,shisei
ヨリユキケイ,赖经,yoriyukikei
チョウジュン,长顺,choujun
エイジ,英治,eiji
カイオウ,魁皇,kaiou
タカシコウ,崇光,takashikou
ヒカリゲン,光严,hikarigen
コウニシ,后西,kounishi
コウヒ,后阳,kouhi
ナルテンノウ,成天皇,narutennou
エンデン,盐田,enden
ナオミ,直美,naomi
アダチ,安达,adachi
ホヒトシ,保仁,hohitoshi
ナガタケ,长武,nagatake
エド,江户,edo
カワランポ,川乱步,kawaranpo
ニシザワ,西泽,nishizawa
アキラクン,明训,akirakun
ナカハラ,中原,nakahara
ヨシモト,吉本,yoshimoto
タカアキ,隆明,takaaki
ナガヤマ,永山,nagayama
アキラフトシ,瑛太,akirafutoshi
ケンジロウ,健次郎,kenjirou
ヨウコ,洋子,youko
ウエダ,植田,ueda
ケンキチ,谦吉,kenkichi
ムトウ,武藤,mutou
キムヨシ,金义,kimuyoshi
カナモト,金本,kanamoto
チケン,知宪,chiken
タカツ,高津,takatsu
シンワレ,臣吾,shinware
チカラドウ,力道,chikaradou
ヤマ,山,yama
コウカシワ,后柏,koukashiwa
ハラテンノウ,原天皇,haratennou
ブンヨ,文世,bunyo
ヒカリ,光,hikari
ナカイ,中井,nakai
モウコレシン,猛之进,moukoreshin
ヤスシジ,宁次,yasushiji
サクライ,樱井,sakurai
ヨシコ,良子,yoshiko
ジャハナ,谢花,jahana
ノボリ,升,nobori
アイシン,慧生,aishin
マコトサトル,真悟,makotosatoru
マサヒコ,正彦,masahiko
ヒガシオン,东恩,higashion
オサメヒロシリョウ,纳宽量,osamehiroshiryou
カツヤ,克也,katsuya
カワカミ,河上,kawakami
サカエ,荣,sakae
カワハラ,河原,kawahara
イエモチ,家茂,iemochi
フクイ,福井,fukui
ヒジリタケシ,圣武,hijiritakeshi
マコトキョウ,允恭,makotokyou
ゴフカ,后深,gofuka
クサテンノウ,草天皇,kusatennou
セイワ,清和,seiwa
タカシタカシ,崇峻,takashitakashi
ウタ,宇多,uta
ニンミョウ,仁明,ninmyou
ハヤシヨシ,林义,hayashiyoshi
シュウ,秀,shuu
ウメヅ,梅津,umedzu
ヨシハルロウ,美治郎,yoshiharurou
ナラ,奈良,nara
ハラシゲル,原繁,harashigeru
ヤマオ,山尾,yamao
サエキ,佐伯,saeki
ミズノ,水野,mizuno
リョウ,良,ryou
シブサワ,涩泽,shibusawa
イワモト,岩本,iwamoto
イブセ,井伏,ibuse
チョクアキラ,直彬,chokuakira
ケイスケ,圭介,keisuke
ハシモト,桥本,hashimoto
ニイミ,新见,niimi
ハルオミ,晴臣,haruomi
サカイ,酒井,sakai
ヒデヒコ,英彦,hidehiko
スイジョウ,水上,suijou
ツトム,勉,tsutomu
ムシャ,武者,musha
ショウジサネアツ,小路实笃,shoujisaneatsu
アサエダ,麻枝,asaeda
キタバタケ,北畠,kitabatake
チカフサ,亲房,chikafusa
リュウヘイ,龙平,ryuuhei
ショウコ,翔子,shouko
イイヅカ,饭冢,iidzuka
ショウタ,翔太,shouta
スナ,砂,suna
ルミコ,留美子,rumiko
ナカタニ,中谷,nakatani
ウキチロウ,宇吉郎,ukichirou
マサユキ,正幸,masayuki
オツハ,叶月,otsuha
キノ,木野,kino
クマガイ,熊谷,kumagai
シャマレ,纱希,shamare
オオトモ,山本,ootomo
アイ,爱,ai
ツギタイ,继体,tsugitai
ヨウゼイ,阳成,youzei
ヨウアキラ,用明,youakira
コウシュ,后朱,koushu
スズメテンノウ,雀天皇,suzumetennou
トバ,鸟羽,toba
タカシトク,崇德,takashitoku
サダハル,贞治,sadaharu
ヨリユキトキ,赖时,yoriyukitoki
ヒラフ,比罗夫,hirafu
マサハル,雅治,masaharu
シュウサク,修作,shuusaku
ゴヨシ,吴善,goyoshi
ハナ,花,hana
サザナミ,涟,sazanami
チョウホン,张本,chouhon
ヤスマサ,安正,yasumasa
ナカアサリョ,仲麻吕,nakaasaryo
モモヤマ,桃山,momoyama
ハタシュン,畑俊,hatashun
ミキ,美树,miki
モトハルヒコ,本晴彦,motoharuhiko
シマブクロ,岛袋,shimabukuro
ヒロコ,宽子,hiroko
カワヨシユキ,川祥之,kawayoshiyuki
イヌイエ,干绘,inuie
ヨシ,美,yoshi
エスクデロケイ,沙治奥,esukuderokei
ヨシキチ,嘉吉,yoshikichi
ノナカ,野中,nonaka
ヒロム,广务,hiromu
ヒガシシ,东史,higashishi
ノブタカ,信孝,nobutaka
イサワ,伊泽,isawa
タキオ,多喜男,takio
キド,木户,kido
タカヨシ,孝允,takayoshi
タニヒサシ,谷寿,tanihisashi
オット,夫,otto
チンシュン,陈舜,chinshun
タカノハナ,贵之花,takanohana
トシアキ,利彰,toshiaki
タツヒコ,龙彦,tatsuhiko
タモン,多闻,tamon
オバタ,小畑,obata
エイリョウ,英良,eiryou
チョウシゲル,长茂,choushigeru
トウドウ,藤堂,toudou
ヘイスケ,平助,heisuke
イマイ,今井,imai
ハシシタ,桥下,hashishita
ツボウチ,坪内,tsubouchi
ショウヨウ,逍遥,shouyou
ホンブ,本部,honbu
アサイサム,朝勇,asaisamu
ヒラタ,平田,hirata
ヒロミ,宏美,hiromi
イシダ,石田,ishida
カズヒコ,和彦,kazuhiko
ムタアキコ,牟田明子,mutaakiko
スギヤマ,杉山,sugiyama
マサユミ,雅弓,masayumi
リョウテンノウ,良天皇,ryoutennou
ヒロタ,广田,hirota
イシバシ,石桥,ishibashi
タンザン,湛山,tanzan
タニヤマ,谷山,taniyama
ユタカ,丰,yutaka
ハマグチ,滨口,hamaguchi
ユウコウ,雄幸,yuukou
コサカ,小坂,kosaka
サトサキ,里崎,satosaki
トモヤ,智也,tomoya
フルタ,古田,furuta
ナルセ,成濑,naruse
ヨシヒサ,善久,yoshihisa
カドクラ,门仓,kadokura
ベットウ,别当,bettou
カオル,薰,kaoru
オチアイ,落合,ochiai
ヒロミツ,博满,hiromitsu
イマエ,今江,imae
コガ,古贺,koga
マサオ,政男,masao
アラスケ,荒助,arasuke
クボ,久保,kubo
ヤストモ,康友,yasutomo
イリョウ,伊良,iryou
ブヒデキ,部秀辉,buhideki
トクブン,德文,tokubun
コレチカ,惟几,korechika
ツグミチ,从道,tsugumichi
ヨウサイ,容斋,yousai
ホテイ,布袋,hotei
トモヤス,寅泰,tomoyasu
ハヤオツ,早乙,hayaotsu
ジョランバ,女乱马,joranba
タカスギ,高杉,takasugi
シンサク,晋作,shinsaku
テルオ,辉,teruo
マサミツ,正满,masamitsu
チチブ,秩父,chichibu
ミヤヤスヒトシンノウ,宫雍仁亲王,miyayasuhitoshinnou
フネ,舟,fune
マルミツヒロ,丸光洋,marumitsuhiro
トリイ,鸟居,torii
リュウゾウ,龙藏,ryuuzou
トウ,登,tou
クメ,久米,kume
クニタケ,邦武,kunitake
タナベ,田边,tanabe
ケンスケ,贤辅,kensuke
ヨシシュン,吉俊,yoshishun
ミネ,峰,mine
ホンジョウ,本庄,honjou
カツイエ,胜家,katsuie
マヒダリウマフトシ,间左马太,mahidariumafutoshi
ワダ,和田,wada
タケン,田健,taken
ジロウ,治郎,jirou
イブカ,井深,ibuka
ダイ,大,dai
イハラ,井原,ihara
サイカク,西鹤,saikaku
コウサクラ,后樱,kousakura
マチテンノウ,町天皇,machitennou
コウゴウ,雅子,kougou
マサコ,皇后,masako
マツオカ,松冈,matsuoka
アラキ,荒木,araki
サダオ,贞夫,sadao
スミオ,澄男,sumio
トウジョウ,东条,toujou
ユウコ,由布子,yuuko
ナオヤ,直也,naoya
ニシオカ,西冈,nishioka
ナリタ,成田,narita
フミオ,文男,fumio
フクマ,福间,fukuma
オサメ,纳,osame
ヤブタ,薮田,yabuta
ヤスヒコ,安彦,yasuhiko
キヨタ,清田,kiyota
イクヒロシ,育宏,ikuhiroshi
フナキ,船木,funaki
カズヨシ,和喜,kazuyoshi
オギノ,荻野,ogino
キシ,贵司,kishi
ヒロシアキラ,宽晃,hiroshiakira
ハットリ,服部,hattori
トシヒロシ,年宏,toshihiroshi
マエゾノ,前园,maezono
マサタカ,真圣,masataka
コマツ,小松,komatsu
セイレン,带刀,seiren
ミツハル,光晴,mitsuharu
ハヤシヤ,林遣,hayashiya
ト,都,to
ホマレシオット,誉士夫,homareshiotto
イタガキ,板垣,itagaki
ゴロウ,梧楼,gorou
キリノ,桐野,kirino
ミチノク,陆奥,michinoku
ソウヒカリ,宗光,souhikari
ニシオ,西尾,nishio
コトブキミヤツコ,寿造,kotobukimiyatsuko
ミノ,美浓,mino
ブタツキチ,部达吉,butatsukichi
オカベ,冈部,okabe
タカノブ,孝信,takanobu
コソウ,古庄,kosou
ミキオ,干郎,mikio
ヒシカリ,菱刈,hishikari
フジモト,藤本,fujimoto
ホリイ,堀井,horii
トミタロウ,富太郎,tomitarou
イイダ,饭田,iida
アサイ,浅井,asai
テツヒコ,哲彦,tetsuhiko
ホシサト,星里,hoshisato
モチル,望留,mochiru
ケンミ,兼实,kenmi
スケユキ,祐亨,sukeyuki
ササイ,笹井,sasai
タイラシゲル,平重,tairashigeru
ショウリキ,正力,shouriki
マツタロウ,松太郎,matsutarou
コウシ,公子,koushi
クロダ,黑田,kuroda
ナオコ,直子,naoko
シズカ,静香,shizuka
ハヤシズク,林铣,hayashizuku
アキヤマ,秋山,akiyama
ナルクン,成勋,narukun
ノモ,野茂,nomo
エイユウ,英雄,eiyuu
ヨシイ,吉井,yoshii
シンノウ,亲王,shinnou
アキラヒロシ,亮宽,akirahiroshi
ヤマウチ,山内,yamauchi
ヨウダケ,洋岳,youdake
クラモチ,仓持,kuramochi
ユカ,由香,yuka
クドウ,工藤,kudou
ツツミヨシ,堤义,tsutsumiyoshi
ノリヒコ,德彦,norihiko
フクウラ,福浦,fukuura
エツシ,悦司,etsushi
ヨシミ,吉见,yoshimi
ナガクラ,永仓,nagakura
アサカ,朝香,asaka
スギタ,杉田,sugita
ライデン,雷电,raiden
タネオミ,种臣,taneomi
シマダ,嶋田,shimada
シゲタロウ,繁太郎,shigetarou
ソウダ,早田,souda
ブンクラ,文藏,bunkura
シンヒョウエ,新兵卫,shinhyoue
アイサ,爱纱,aisa
ソウツクル,宗作,soutsukuru
クスノセ,楠濑,kusunose
サチヒコ,幸彦,sachihiko
シミズ,清水,shimizu
シジン,资仁,shijin
アラマキ,荒卷,aramaki
ミヤノヒトシシンノウ,宫载仁亲王,miyanohitoshishinnou
マサヒデ,雅英,masahide
イマオカ,今冈,imaoka
カネコ,金子,kaneko
フミコ,文子,fumiko
ノブナリ,信成,nobunari
リョウマ,龙马,ryouma
カキハラ,柿原,kakihara
アシカガ,足利,ashikaga
ヨシタネ,义稙,yoshitane
キブン,黄文,kibun
ユウ,雄,yuu
トクトミ,德富,tokutomi
ソホウ,苏峰,sohou
ネアガリ,根上,neagari
ミチユキ,道之,michiyuki
ムネカタ,宗尊,munekata
ミチハク,道博,michihaku
アオヤマ,青山,aoyama
トシヒロ,敏弘,toshihiro
カクマ,加隈,kakuma
アコロモ,亚衣,akoromo
キョウトオル,姜畅,kyoutooru
ヨウドウ,容堂,youdou
ナラサキ,楢崎,narasaki
ナツサイコ,夏菜子,natsusaiko
エトウ,江藤,etou
ゴトウ,后藤,gotou
ショウヒノキ,小桧,shouhinoki
ヤママサヒトシ,山雅仁,yamamasahitoshi
ヒロセ,广濑,hirose
オオノ,大野,oono
イヌイ,干,inui
トウテン,滔天,touten
コシロウ,古志郎,koshirou
タハハ,田母,tahaha
カミトシオ,神俊雄,kamitoshio
オオハシ,大桥,oohashi
ミョウジン,明神,myoujin
トモカズ,智和,tomokazu
シオイチマル,盐市丸,shioichimaru
ヤスシ,靖,yasushi
ヤスジ,安次,yasuji
ホンノ,本野,honno
カワベ,河边,kawabe
ケサワレ,今朝吾,kesaware
ミヤアキラジンシンノウ,宫彰仁亲王,miyaakirajinshinnou
サイキョウ,菜教,saikyou
アマカス,甘粕,amakasu
ケイジ,长重,keiji
ヨコイ,横井,yokoi
ショウナン,小楠,shounan
フクサカリ,福盛,fukusakari
カツユタカ,胜丰,katsuyutaka
アリサワ,有泽,arisawa
マミズ,真水,mamizu
ヤタロウ,弥太郎,yatarou
サトシタカシ,智隆,satoshitakashi
タマキ,环,tamaki
ヒガシヤマ,东山,higashiyama
ナオ,奈央,nao
オグリ,小栗,oguri
ヒダリタリ,左多里,hidaritari
アルメ,有铭,arume
カネク,兼久,kaneku
クサノ,草野,kusano
ヒロシモト,纮基,hiroshimoto
ヨシオカ,吉冈,yoshioka
タカノリ,隆德,takanori
ヒロシユウ,浩佑,hiroshiyuu
キシダ,岸田,kishida
マモル,护,mamoru
スイタク,水泽,suitaku
フミエ,史绘,fumie
ハナワタダシ,塙直,hanawatadashi
コレ,之,kore
オオタケ,大竹,ootake
マレヨ,希良,mareyo
ナシ,梨,nashi
ヒタチ,常盘,hitachi
ゴゼン,御前,gozen
モリアンズ,森杏,morianzu
マリコ,麻里子,mariko
ナガオ,永尾,nagao
マリヤ,玛利亚,mariya
ナカマタ,仲俣,nakamata
シオサト,汐里,shiosato
ジツエコ,实绘子,jitsueko
テタバ,手束,tetaba
マチコ,真知子,machiko
ウメダ,梅田,umeda
オキツ,兴津,okitsu
カズミユキ,和幸,kazumiyuki
スズラン,铃兰,suzuran
マツシタ,松下,matsushita
タダ,唯,tada
ワカバヤシ,若林,wakabayashi
リンコウ,伦香,rinkou
ウメモト,梅本,umemoto
マドカ,圆,madoka
コウアツシ,香淳,kouatsushi
サワミノル,泽穗,sawaminoru
マレ,希,mare
クサマ,草间,kusama
ヤヨイ,弥生,yayoi
イサゴホリ,沙保里,isagohori
オザワ,小泽,ozawa
イシネ,石根,ishine
イヌヨウ,犬养,inuyou
アマノ,天野,amano
ヨシタカ,喜孝,yoshitaka
サトシヨウ,敏洋,satoshiyou
タケダ,武田,takeda
ソウカク,惣角,soukaku
クマイ,熊井,kumai
ケイ,启,kei
オオマエ,大前,oomae
モトノリ,元纪,motonori
ヨシマサ,义昌,yoshimasa
ゾンチ,存知,zonchi
ミナミジ,南次,minamiji
タイラタダシ,平忠,tairatadashi
ド,度,do
ヘイタロウ,兵太郎,heitarou
オザキ,尾崎,ozaki
マサシ,将司,masashi
イノウ,伊能,inou
ヨシミノリ,嘉矩,yoshiminori
イモチ,伊望,imochi
ヨリユキハハ,赖母,yoriyukihaha
マサミ,成美,masami
クボノ,洼之,kubono
ウチエイサク,内英策,uchieisaku
ソヶ,曾,soヶ
ハジジュン,端准,hajijun
マツカタ,松方,matsukata
イウラ,井浦,iura
ホタダヨ,保忠世,hotadayo
ミヤワキ,宫脇,miyawaki
サキリョウ,咲良,sakiryou
タマモリ,玉森,tamamori
ヒロシフトシ,裕太,hiroshifutoshi
カシワミユキ,柏幸,kashiwamiyuki
ウガキ,宇垣,ugaki
ヒデナリ,秀成,hidenari
キヨタカ,清隆,kiyotaka
アリス,爱丽丝,arisu
フクモト,福本,fukumoto
アイナ,爱菜,aina
ゴウリキ,刚力,gouriki
アヤメ,彩芽,ayame
ムラヤマ,村山,murayama
ミ,实,mi
レイナ,丽奈,reina
オオツカ,大冢,ootsuka
キサダコ,木祯子,kisadako
キヨシショウ,清少,kiyoshishou
ナゴン,纳言,nagon
シゲオ,重夫,shigeo
テンヤスシ,典靖,tenyasushi
カメナシ,龟梨,kamenashi
タシン,田真,tashin
リンコ,凛子,rinko
ジミツル,持统,jimitsuru
ハツミ,初见,hatsumi
ナガイ,永井,nagai
オオサワ,大泽,oosawa
カネダ,金田,kaneda
エレナ,惠丽奈,erena
サクラ,佐仓,sakura
アヤオン,绫音,ayaon
キミ,希美,kimi
ジョウツカサ,锭司,joutsukasa
タクロウ,琢朗,takurou
キノボウ,纪房,kinobou
ナカニシ,中西,nakanishi
カジュン,架纯,kajun
マオ,麻央,mao
カザマ,风间,kazama
アワ,阿波,awa
ノヒデユキ,野秀幸,nohideyuki
リュウタ,隆太,ryuuta
ワカナ,若菜,wakana
アヤト,绚斗,ayato
カズタダシ,数正,kazutadashi
ヒカリムネ,光宗,hikarimune
カイ,甲斐,kai
タニシノブ,谷忍,tanishinobu
チョウアヤ,长礼,chouaya
ゴテ,御手,gote
アライフジオ,洗富士夫,araifujio
アキナリ,秋成,akinari
コウジロウ,幸次郎,koujirou
ホンイン,本因,honin
ボウヒデヤ,坊秀哉,bouhideya
ヤマダ,山田,yamada
トモアキラ,友亮,tomoakira
オカダ,冈田,okada
ベイナイ,米内,beinai
ミツマサ,光政,mitsumasa
モリタ,森田,morita
ユウサイ,有菜,yuusai
ブンヒトシ,文仁,bunhitoshi
シンノウヒノリコ,亲王妃纪子,shinnouhinoriko
フクザワ,福泽,fukuzawa
ユキチ,谕吉,yukichi
タチバナミズホ,橘瑞,tachibanamizuho
チョウ,超,chou
シンコウ,神功,shinkou
コウケン,孝谦,kouken
モトアキ,元明,motoaki
ニイガキ,新垣,niigaki
ノグチ,野口,noguchi
ヒデヨ,英世,hideyo
ホリトオル,保利通,horitooru
コウヒヤ,后冷,kouhiya
イズミテンノウ,泉天皇,izumitennou
シラセ,白濑,shirase
ノブ,矗,nobu
ヒサアキ,久明,hisaaki
ハラミチタロウ,原道太郎,haramichitarou
ヒラマツ,平松,hiramatsu
コウホリ,后堀,kouhori
カワテンノウ,河天皇,kawatennou
ソト,外,soto
アライ,新井,arai
フミノリ,文德,fuminori
ヒロシチ,浩治,hiroshichi
タク,拓,taku
コウギ,广义,kougi
タカオ,贵男,takao
カンジ,莞尔,kanji
タテタロウ,建太郎,tatetarou
ユヒ,由比,yuhi
ミツエ,光卫,mitsue
カワサキ,川崎,kawasaki
ナシシャ,梨纱,nashisha
ミカ,美香,mika
ソメヤ,染谷,someya
シノヅカ,筿冢,shinodzuka
カワミヤイジンシンノウ,川宫威仁亲王,kawamiyaijinshinnou
クエ,久重,kue
トヨハラ,丰原,toyohara
コウスケ,功补,kousuke
カミサカ,上坂,kamisaka
スミレ,堇,sumire
フク,福,fuku
イイ,井伊,ii
ナオタカ,直孝,naotaka
カメイ,龟井,kamei
エリ,绘里,eri
オオヤ,大谷,ooya
イクエ,育江,ikue
マリア,玛丽亚,maria
イシン,维新,ishin
オリエ,织江,orie
フクヤマ,福山,fukuyama
テツロウ,哲郎,tetsurou
イチョウ,伊调,ichou
ビキ,美姬,biki
モリキ,森喜,moriki
オオツ,大津,ootsu
ヒラツカ,平冢,hiratsuka
ライテウ,雷鸟,raiteu
タカツキ,高月,takatsuki
アヤリョウ,彩良,ayaryou
ミネミユキ,峰幸,minemiyuki
タケイ,武井,takei
カンヤナギヒトシ,观柳斋,kanyanagihitoshi
ミコト,尊,mikoto
アリガ,有贺,ariga
コウサク,幸作,kousaku
シラトリ,白鸟,shiratori
ナオスケ,直弼,naosuke
アサハラ,朝原,asahara
ノブハル,宣治,nobuharu
マゴタダシ,孙正,magotadashi
ツノダ,角田,tsunoda
サトシチ,觉治,satoshichi
マツシゲ,松重,matsushige
ココア,可可亚,kokoa
コウリョウ,高良,kouryou
ケンゴ,健吾,kengo
フブキ,风吹,fubuki
ジュモク,树木,jumoku
キリン,希林,kirin
アサオカ,浅丘,asaoka
ルリコ,琉璃子,ruriko
シゲノリ,茂德,shigenori
コムロ,小室,komuro
マコ,真子,mako
シイナ,椎名,shiina
イシザキ,石崎,ishizaki
コトミ,琴美,kotomi
コウブンヨ,向文世,koubunyo
キシベ,岸部,kishibe
ヒカリセキ,光石,hikariseki
カンガオ,完颜,kangao
オモネホネダ,阿骨打,omonehoneda
サオリ,沙织,saori
ミチシゲ,道重,michishige
