глюкоза,グリュコーザ,glyukoza
роскосмос,ロスコスモス,roskosmos
центральный,セントラル,centralnyy
стадион,プロフソユーズ,stadion
профсоюзов,スタジアム,profsoyuzov
чеко,チェココ,cheko
оймякон,オイミャコン,oymyakon
эвенки,エヴェンキ,evenki
оленёк,オレニョーク,olenyok
ржев,ルジェフ,rzhev
карелия,カレリア,kareliya
мутновский,ムトノフスキーカザン,mutnovskiy
луна,ルナケイカク,luna
менделеево,メンデレーヴォ,mendeleevo
сухой,スホーイ,suhoy
реутов,レウトフ,reutov
рославль,ロスラヴリ,roslavl
город,キャピタル,gorod
столиц,シティ,stolic
корицкий,カモイワッカミサキ,korickiy
стрела,ストレラー,strela
ямал,ヤマルコウクウ,yamal
ростов,ロストフ,rostov
рубцовск,ルプツォフスク,rubcovsk
рудня,ルドニャ,rudnya
руза,ルザ,ruza
сарапул,サラプル,sarapul
рыбинск,ルイビンスク,rybinsk
рыбное,ルイブノエ,rybnoe
рыльск,ルィリスク,rylsk
салават,サラヴァト,salavat
чегдомын,チェグドムイン,chegdomyn
саров,サロフ,sarov
сафоново,サフォノヴォ,safonovo
сасово,サーソヴォ,sasovo
северокурильск,セベロクリリスク,severokurilsk
северобайкальск,セヴェロバイカリスク,severobaykalsk
сергиев,セルギエフ,sergiev
североморск,セヴェロモルスク,severomorsk
себеж,セーベジ,sebezh
свободный,スヴォボードヌイ,svobodnyy
масленица,マースレニツァ,maslenica
джугджур,ジュグジュルサンミャク,dzhugdzhur
северск,セヴェルスク,seversk
светлогорск,スヴェトロゴルスク,svetlogorsk
туполев,ツポレフ,tupolev
сельцо,セリツォ,selco
севск,セフスク,sevsk
комсомолец,コムソモーレツ,komsomolec
серпухов,セルプホフ,serpuhov
славск,スラフスク,slavsk
скопин,スコピン,skopin
сковородино,スコボロディノ,skovorodino
сокол,ソコル,sokol
советская,ソヴィエツカヤ,sovetskaya
гавань,ガヴァニ,gavan
собинка,ソビンカ,sobinka
снежинск,スネジンスク,snezhinsk
соликамск,ソリカムスク,solikamsk
солигалич,ソリガリチ,soligalich
сольвычегодск,ソリヴィチェゴドスク,solvychegodsk
сольцы,ソリツイ,solcy
сортавала,ソルタヴァラ,sortavala
сосенский,ソセンスキー,sosenskiy
среднеколымск,スレドネコリムスク,srednekolymsk
старица,スターリツァ,starica
русса,ルーサ,russa
стародуб,スタロドゥーブ,starodub
старый,スタールイ,staryy
оскол,オスコル,oskol
стерлитамак,ステルリタマク,sterlitamak
струнино,ストルニノ,strunino
суворов,スヴォーロフ,suvorov
сураж,スラージ,surazh
судогда,スドグダ,sudogda
тайшет,タイシェト,tayshet
таруса,タルーサ,tarusa
тара,タラ,tara
сусуман,ススマン,susuman
сухиничи,スヒーニチ,suhinichi
сычёвка,スィチョーフカ,sychyovka
тайга,タイガ,tayga
томари,トマリ,tomari
томмот,トンモト,tommot
торжок,トルジョーク,torzhok
тетюши,テチューシ,tetyushi
трубчевск,トルブチェフスク,trubchevsk
туапсе,トゥアプセ,tuapse
тында,ティンダ,tynda
тутаев,トゥターエフ,tutaev
ракета,ラケタ,raketa
сантамброджо,サンタンブロージョキョウカイ,santambrodzho
лопатка,ロパートカミサキ,lopatka
силовик,シロヴィキ,silovik
малокурильское,マロクリリスク,malokurilskoe
славянка,スラヴャンカ,slavyanka
дом,スチャーギン,dom
сутягина,ハウス,sutyagina
краскино,クラスキノ,kraskino
китайгород,キタイゴロド,kitaygorod
тукурингра,トゥクリングラサンミャク,tukuringra
саркел,サルケル,sarkel
хороль,ホロリ,horol
зарубино,ザルビノ,zarubino
чурапча,チュラプチャ,churapcha
вщиж,フシチイシュ,vshchizh
укек,ウケク,ukek
удэгейцы,ウデヘ,udegeycy
усольясибирского,シビリスコエシデン,usolyasibirskogo
поволжье,ヴォルガチホウ,povolzhe
мелодия,メロディア,melodiya
сабантуй,サバントゥイ,sabantuy
пронск,プロンスク,pronsk
кроноцкое,クロノツキーコ,kronockoe
мегаспорт,メガスポルト,megasport
эйик,エイク,eyik
красноселькуп,クラスノセリクプ,krasnoselkup
кунсткамера,クンストカメラ,kunstkamera
изборск,イズボルスク,izborsk
мильково,ミリコヴォ,milkovo
всероссийская,スプリーム,vserossiyskaya
хоккейная,ホッケー,hokkeynaya
лига,リーグ,liga
восточноевропейская,ヒガシヨーロッパ,vostochnoevropeyskaya
платформа,クラトン,platforma
роснефть,ロスネフチ,rosneft
орлан,オーランウチュウフク,orlan
сапсан,サプサン,sapsan
курильское,クリルコ,kurilskoe
чумикан,チュミカン,chumikan
ульчи,ウリチ,ulchi
гидропроект,ギドロプロエクト,gidroproekt
эвены,エヴェン,eveny
народная,ナロードナヤサン,narodnaya
огонёк,アガニョーク,ogonyok
ростелеком,ロステレコム,rostelekom
кашлык,カシリク,kashlyk
духоборы,ドゥホボールハ,duhobory
крымский,クリミア,krymskiy
троллейбус,トロリーバス,trolleybus
никольское,ニコルスコエ,nikolskoe
северщина,シヴェーリア,severshchina
евразийство,ユーラシアシュギ,evraziystvo
климов,クリーモフ,klimov
ростех,ロステック,rosteh
янкан,ヤンカンサンミャク,yankan
васильевич,ヴァシーリエヴィチ,vasilevich
санктпетербургская,サンクトペテルブルク,sanktpeterburgskaya
филармония,フィルハーモニア,filarmoniya
ямантау,ヤマンタウサン,yamantau
нефтегорск,ネフチェゴルスク,neftegorsk
трансмашхолдинг,トランスマッシュホールディング,transmashholding
когалымавиа,コガリムアビア,kogalymavia
алаид,オモネヨリユキドヤマ,alaid
одоев,オドエフ,odoev
рынпески,ルィンサバク,rynpeski
негидальцы,ネギダール,negidalcy
иволгинский,イヴォルギンスキー,ivolginskiy
дацан,ダツァン,dacan
ямбург,ヤムブルク,yamburg
интеррос,インターロス,interros
нуклотрон,ヌクロトロン,nuklotron
столичная,ストリチナヤ,stolichnaya
якутия,ヤクーツクコウクウ,yakutiya
гидропресс,ギドロプレスセッケイキョク,gidropress
ерофей,エロフェイ,erofey
павлович,パブロヴィッチ,pavlovich
кидекша,キデクシャ,kideksha
гранд,グランド,grand
отель,ホテル,otel
европа,ヨーロッパ,evropa
солидарность,レンタイ,solidarnost
свияжск,スヴィヤシュスク,sviyazhsk
газпромбанк,ガスプロムバンク,gazprombank
авиакон,アヴィアコン,aviakon
цитотранс,ツィタトランス,citotrans
ючюгей,ユチュゲイ,yuchyugey
сырники,シルニキ,syrniki
кавалерово,カヴァレーロヴォ,kavalerovo
мусхая,ムスハヤサン,mushaya
оротукан,オロトゥカーン,orotukan
русгидро,ルスギドロ,rusgidro
молния,モルニヤ,molniya
родинамать,ハハナルソコクゾウ,rodinamat
чульман,チュリマン,chulman
одксатурн,サトゥールンカガクセイゾウゴウドウ,odksaturn
бестях,ベスチャフ,bestyah
уралвагонзавод,ウラルヴァゴンザヴォート,uralvagonzavod
бежица,ベジツァ,bezhica
татнефть,タトネフト,tatneft
царское,ツァールスコエ,carskoe
село,セロー,selo
баня,バーニャ,banya
полёт,ポレオット,polyot
посьет,ポシェト,poset
кизи,キジミズウミ,kizi
шёлковый,シルクウェイ,shyolkovyy
путь,ラリー,put
кинопоиск,キノポイスク,kinopoisk
терней,テルネイ,terney
невское,オオライカコ,nevskoe
горный,ゴールヌィー,gornyy
институт,インスチトゥートサン,institut
шкотово,シコトヴォ,shkotovo
левый,レフィー,levyy
фронт,フロント,front
коммунарка,コムナルカシャゲキジョウ,kommunarka
порт,ポルト,port
переяславка,ペレヤースラフカ,pereyaslavka
богатырь,ヒトカップヤマ,bogatyr
коммерсантъ,コメルサント,kommersant
сунгирь,スンギル,sungir
погиби,ポギビ,pogibi
косоворотка,ルバシカ,kosovorotka
премьерлиги,プレミアリーグカップ,premerligi
эльдикан,エリディカン,eldikan
татарстан,タタールスタンコウクウ,tatarstan
росэнергоатом,ロスエネルゴアトム,rosenergoatom
виви,ヴィヴィコ,vivi
на,ナ,na
клязьме,クリャージメ,klyazme
гыда,ギダ,gyda
солнечный,ソルネチヌイ,solnechnyy
медвежий,シゲルセロダケ,medvezhiy
сириус,アドレル,sirius
чокурдах,チョクルダフ,chokurdah
ведено,ヴェジェノ,vedeno
авторадио,アフトラジオ,avtoradio
циолковский,ツィオルコフスキー,ciolkovskiy
троицкое,トロイツコエ,troickoe
ак,アク,ak
барс,バルス,bars
аэро,アエロ,aero
вымпел,ヴィーンペルカガクセイゾウレンゴウ,vympel
тазы,ターズ,tazy
транснефть,トランスネフチ,transneft
демон,カモイタケシ,demon
белая,ベラヤ,belaya
гора,ゴラ,gora
як,ヤク,yak
сервис,サービス,servis
абый,アビー,abyy
рубин,ルビーンカイヨウコウガクチュウオウセッケイキョク,rubin
маньпупунёр,マンププニョル,manpupunyor
агепста,アゲプスタサン,agepsta
саскылах,サスキラフ,saskylah
хандыга,ハンドゥイガ,handyga
стрижи,ストリージ,strizhi
даурия,ダウリヤ,dauriya
сарыч,サールィチミサキ,sarych
гостиница,ネフスキー,gostinica
коринтия,パレス,korintiya
русские,ルースキエ,russkie
витязи,ヴィーチャズィ,vityazi
томтор,トムトル,tomtor
голландия,ゴランディヤ,gollandiya
усвяты,ウスヴャートィ,usvyaty
тауро,トウロミズウミ,tauro
анекдот,アネクドート,anekdot
осетиноингушский,オセチア,osetinoingushskiy
конфликт,イングーシフンソウ,konflikt
хайыр,ハイールコ,hayyr
гостиный,ゴスチーヌイ,gostinyy
двор,ドヴォール,dvor
беркакит,ベルカキト,berkakit
золотинка,ゾロチンカ,zolotinka
албазино,アルバジン,albazino
кондратьево,コンドラチェヴォ,kondratevo
кировский,キーロフスキー,kirovskiy
анжи,アンジ,anzhi
крильон,ニシノトリョミサキ,krilon
