热比娅,레비야,rebiya
北京日本人学校,북경일본인학교,buggyeongilboninhaggyo
海底捞,하이디라오,haidirao
中联重科,중롄중커,jungryenjungkeo
渤海贞孝公主墓,정효공주묘,jeonghyogongjumyo
甘肃省广播电视总台,간쑤인민방송,ganssuinminbangsong
白兔记,백토기,baegtogi
潼关,퉁관,tunggwan
浮图,승탑,seungtab
汉语圈,중국어권,junggugeogweon
民工,농민공,nongmingong
张迁碑,장천비,jangceonbi
大长和,대장화,daejanghwa
奇华饼家,기화병가,gihwabyeongga
中国围棋棋王争霸赛,위부방개배,wibubanggaebae
上海松糕,쑹가오,ssunggao
奴儿干都指挥使司,누르간도지휘사사,nureugandojihwisasa
吉林人民广播电台,지린인민방송,jirininminbangsong
南海郡,남해군,namhaegun
中国农业科学院,중국농업과학원,junggugnongeobgwahagweon
国家国防科技工业局,국가국방과기공업국,guggagugbanggwagigongeobgug
澳门国父纪念馆,손문기념관,sonmunginyeomgwan
申龙客车,선롱버스,seonrongbeoseu
中山纪念公园,중산기념공원,jungsanginyeomgongweon
酹粉,라이판,raipan
襕衫,앵삼,aengsam
终审法院大楼,종심법원대루,jongsimbeobweondaeru
北京大学医学部,베이징대학의학부,beijingdaehagyihagbu
亚洲沃德兰游乐园,원더랜드,weondeoraendeu
南京人民大会堂,난징인민대회당,nanjinginmindaehoedang
螺蛳粉,뤄쓰펀,rweosseupeon
武汉长江大桥,우한장강대교,uhanjanggangdaegyo
田子坊,톈쯔팡,tyenjjeupang
白灼虾,박척하,bagceogha
华谊兄弟,화이브라더스,hwaibeuradeoseu
青田石,청전석,ceongjeonseog
置地广塲,랜드마크,raendeumakeu
中国国家地质公园,중국국가급지질공원,junggugguggageubjijilgongweon
荣华,윙와,wingwa
虎丘,후치우,huciu
留园,유원,yuweon
秦朝官制,삼공구경,samgonggugyeong
药明康德,야오밍캉더,yaomingkangdeo
工人日报,공인일보,gonginilbo
黄大仙,웡다이신,weongdaisin
冬菜,둥차이,dungcai
狮子林,사자림,sajarim
沙家浜,사가병,sagabyeong
西明寺,서명사,seomyeongsa
石硖尾,섹깁메이,seggibmei
黑龙江人民广播电台,흑룡강인민방송,heugryongganginminbangsong
黑龙江朝鲜语广播,흑룡강조선어방송국,heugryonggangjoseoneobangsonggug
民众建澳联盟,민중건오연맹,minjunggeonoyeonmaeng
南阳郡,남양군,namyanggun
米线,미셴,misyen
港青基信书院,콩칭기신칼리지,kongcinggisinkalriji
西环,사이완,saiwan
进贤县,진셴현,jinsyenhyeon
赤山法华院,적산법화원,jeogsanbeobhwaweon
鸿胪井,홍려정비,hongryeojeongbi
高平郡,고평군,gopyeonggun
鄱阳郡,파양군,payanggun
高凉郡,고량군,goryanggun
濮阳郡,복양군,bogyanggun
略阳郡,약양군,yagyanggun
汉中郡,한중군,hanjunggun
徐家汇藏书楼,쉬자후이창수루,swijahuicangsuru
新城郡,신성군,sinseonggun
龙庆峡水库,용경협,yonggyeonghyeob
蒙古语族群,몽골족,monggoljog
宣城郡,선성군,seonseonggun
密云郡,밀운군,milungun
船政学堂,선정학당,seonjeonghagdang
竟陵郡,경릉군,gyeongreunggun
楼烦郡,누번군,nubeongun
晋熙郡,진희군,jinhyigun
汲郡,급군,geubgun
乌有之乡,유토피아,yutopia
中国围棋甲级联赛,갑조리그,gabjorigeu
龙星战,용성전,yongseongjeon
中国梦,중국몽,junggugmong
会子,회자,hoeja
北京小马奔腾影视文化传媒,샤오마뻔텅,syaomabbeonteong
中华人民共和国国家新闻出版广电总局,국가신문출판광전총국,guggasinmunculpangwangjeonconggug
吴郡,오군,ogun
唐蕃会盟碑,당번회맹비,dangbeonhoemaengbi
天水郡,천수군,ceonsugun
安成郡,안성군,anseonggun
太原郡,태원군,taeweongun
平阳郡,평양군,pyeongyanggun
宜都郡,의도군,yidogun
扬越,양월,yangweol
新港中心,실버코드,silbeokodeu
明定陵,정릉,jeongreung
历阳郡,역양군,yeogyanggun
枹罕郡,포한군,pohangun
毛公鼎,모공정,mogongjeong
江淮,강회,ganghoe
河东郡,하동군,hadonggun
鹳雀楼,관작루,gwanjagru
洪德,홍득,hongdeug
添好运点心专门店,팀호완,timhowan
汤和墓,탕화묘,tanghwamyo
朝鲜语系,한국어족,hangugeojog
延边广播电视台,연변라지오텔레비죤방송,yeonbyeonrajiotelrebijyonbangsong
深中通道,선중대교,seonjungdaegyo
浙江人民广播电台,저장인민방송,jeojanginminbangsong
上海县,상하이현,sanghaihyeon
广西人民广播电台,광시인민방송,gwangsiinminbangsong
好太王陵,태왕릉,taewangreung
火天,화천,hwaceon
东风能迪,동옥항주트럭,dongoghangjuteureog
博陵郡,박릉군,bagreunggun
万宁,매닝스,maeningseu
金蝶国际,킹디,kingdi
少林派,소림사,sorimsa
孙子算经,손자산경,sonjasangyeong
天王,천왕,ceonwang
太极殿,태극전,taegeugjeon
镇海桥,전하이교,jeonhaigyo
蜀郡,촉군,coggun
爱奇艺,아이치이,aicii
萨其城址,살기성,salgiseong
温特赫部城址与裴优城址,온특혁부성,onteughyeogbuseong
黑竹沟,헤이주거우,heijugeou
武夷山脉,우이산맥,uisanmaeg
北京韩国国际学校,북경한국국제학교,buggyeonghanguggugjehaggyo
书院,서원,seoweon
钟离郡,종리군,jongrigun
热血公民,열혈공민,yeolhyeolgongmin
义兴郡,의흥군,yiheunggun
朝鲜民族艺术馆,조선민족예술관,joseonminjogyesulgwan
荥阳郡,형양군,hyeongyanggun
钱江晚报,전강만보,jeongangmanbo
东阳郡,동양군,dongyanggun
安重根义士纪念馆,안중근의사기념관,anjunggeunyisaginyeomgwan
团结遗址,동녕단결유적,dongnyeongdangyeolyujeog
内蒙古人民广播电台,내몽골인민방송,naemonggolinminbangsong
中国华润大厦,중국자원본부,junggugjaweonbonbu
上海邮通科技,세기천성,segiceonseong
青年新政,청년신정,ceongnyeonsinjeong
名创优品,미니소,miniso
广州韩国外籍人员子女学校,광저우한국학교,gwangjeouhangughaggyo
中国中车,중국중차,junggugjungca
滴滴出行,디디추싱,didicusing
延边朝鲜族自治州图书馆,연변도서관,yeonbyeondoseogwan
斗鱼,도우위,douwi
广东拼音方案,광둥병음방안,gwangdungbyeongeumbangan
奇迹暖暖,아이러브니키,aireobeuniki
天琴计划,텐친,tencin
观音殿,관음전,gwaneumjeon
中国杯国际足球锦标赛,차이나컵,cainakeob
韬光养晦,도광양회,dogwangyanghoe
普通话,푸퉁화,putunghwa
中国环球电视网,중국국제텔레비전,jungguggugjetelrebijeon
香港众志,데모시스토,demosiseuto
荣耀终端,아너,aneo
巡天号光学舱,쉰톈,swintyen
米哈游,미호요,mihoyo
蔚来汽车,니오,nio
全球速卖通,알리익스프레스,alriigseupeureseu
气象灾害预警信号,기상재해예보신호,gisangjaehaeyebosinho
索菲亚,소피아,sopia
抖音,틱톡,tigtog
悠星,요스타,yoseuta
快手,콰이쇼우,kwaisyou
翎客航天,링크스페이스,ringkeuseupeiseu
国家药品监督管理局,국가약품감독관리국,guggayagpumgamdoggwanrigug
柔宇科技,로욜,royol
航天科工火箭技术有限公司,엑스페이스,egseupeiseu
新安郡,신안군,sinangun
议会阵线,의회진선,yihoejinseon
小红书,샤오훙수,syaohungsu
真我,리얼미,rieolmi
字节跳动,바이트댄스,baiteudaenseu
国歌条例,국가조례,guggajorye
汤旺县,탕왕현,tangwanghyeon
蜻蜓计划,드래건플라이,deuraegeonpeulrai
瑞幸咖啡,루이싱커피,ruisingkeopi
丰林县,펑린현,peongrinhyeon
厘,리,ri
观塘愿景,군통미래,guntongmirae
广汽埃安,아이온,aion
南泉寺,남천사,namceonsa
祝融号火星车,주룽호,jurungho
躺平,탕핑족,tangpingjog
国务院港澳事务办公室,국무원홍콩마카오사무판공실,gugmuweonhongkongmakaosamupangongsil
延边博物馆,연변박물관,yeonbyeonbagmulgwan
埃尔克森,아이커썬,aikeosseon
叶刘淑仪,입라우숙이,ibrausugi
尼科,니코,niko
延纳里斯,예나리스,yenariseu
艾尔肯,아르켄,areuken
阿布都拉,압둘라,abdulra
司徒文俊,시토만전,sitomanjeon
罗范椒芬,로판지우펀,ropanjiupeon
爱新觉罗,아이신기오로,aisingioro
乌拉熙春,울히춘,ulhicun
罗杰,로저,rojeo
羿,예,ye
努,눕,nub
赛伯特,사이봇,saibos
蒂芬妮,티퍼니,tipeoni
埃斯佩森,에스펀슨,eseupeonseun
欧阳自远,어우양쯔위안,eouyangjjeuwian
里卡多,히카르두,hikareudu
古拉特,골라르트,golrareuteu
东方闻樱,둥팡웬잉,dungpangwening
朱叶玉如,입육위,ibyugwi
当年明月,당녠밍웨,dangnyenmingwe
学诚法师,쉬에청,swieceong
吴严彩韵,우옌차이윈,uyencaiwin
欧阳明高,어우양밍가오,eouyangminggao
雪克来提,쇼하라트,syoharateu
扎克尔,자키르,jakireu
鲍里斯,보리스,boriseu
查哈罗夫,자하로프,jaharopeu
乌兰图雅,울란투야,ulrantuya
刘易斯,루이스,ruiseu
赵韩樱子,자오한잉즈,jaohaningjeu
张杨果而,장양궈얼,jangyanggweoeol
我吃西红柿,워츠시훙스,weoceusihungseu
赛伊汀,제이딘,jeidin
玉素甫,유수프,yusupeu
乔娜,조나,jona
丹珠昂奔,단주앙번,danjuangbeon
诸葛宇杰,주거위제,jugeowije
许杨玉琢,쉬양위저,swiyangwijeo
阿不都日衣木,압두레힘,abdurehim
艾衣提,헤이트,heiteu
李莎旻子,리사민쯔,risaminjjeu
曾美慧孜,쩡메이후이쯔,jjeongmeihuijjeu
佩德罗,페드루,pedeuru
德尔加多,델가두,delgadu
墨香铜臭,모샹퉁슈,mosyangtungsyu
王音灵水,왕인링수이,wanginringsui
秦牛正威,친뉴정웨이,cinnyujeongwei
塔德亚,새디아,saedia
格雷厄姆,그레이엄,geureieom
迪尼格尔,디니거얼,dinigeoeol
依拉木江,이라무장,iramujang
张罗子辛,장뤄쯔신,jangrweojjeusin
朱颜曼滋,주옌만쯔,juyenmanjjeu
斯蒂文,스티븐,seutibeun
令狐嘉骏,링후자쥔,ringhujajwin
严古韵琪,옌구윈치,yenguwinci
冯盛敬悦,펑성징웨,peongseongjingwe
墨宝非宝,묵보비보,mugbobibo
滕,텅,teong
尚华,상화,sanghwa
国政,궈정,gweojeong
文霞,원샤,weonsya
昱华,위화,wihwa
春秀,우춘슈,ucunsyu
吉龙,지룽,jirung
艳青,옌칭,yencing
天祺,톈치,tyenci
艳凤,옌펑,yenpeong
丹燕,단옌,danyen
广沪,광후,gwanghu
士强,스창,seucang
家亮,자량,jaryang
连伟,롄웨이,ryenwei
俊华,창,cang
哲敏,저민,jeomin
栢芝,바이즈,baijeu
建滨,젠빈,jenbin
忠和,우중허,ujungheo
祖尧,쭈야오,jjuyao
翟,자,ja
琳琳,린린,rinrin
俊仁,전얀,jeonyan
蔚菁,웨이징,weijing
昌衡,창헝,cangheong
仕龙,룡,ryong
良英,량잉,ryanging
诒和,이허,iheo
熹平,시핑,siping
颖文,잉원,ingweon
宗,쭝,jjung
庆后,칭허우,cingheou
忠奇,중치,jungci
好,하오,hao
匡迪,쾅디,kwangdi
晏,옌,yen
楠楠,오난난,onannan
逸凡,우이판,uipan
鸿钧,훙쥔,hungjwin
那,나,na
跃玲,웨링,wering
玉,위,wi
钊颖,자오잉,jaoing
维林,크맨,keumaen
彦鹏,이옌펑,iyenpeong
后军,허우쥔,heoujwin
力雄,리슝,risyung
可平,커핑,keoping
艳,옌,yen
焕庸,환융,hwanyung
彻,저,jeo
旭烽,쉬펑,swipeong
宏图,훙투,hungtu
幸娟,싱쥐안,singjwian
小丁,오샤오딩,osyaoding
雁盛,옌성,yenseong
君里,쥔리,jwinri
赛赛,싸이싸이,ssaissai
钰源,위위안,wiwian
常青,오창칭,ocangcing
集,지,ji
文光,원광,weongwang
忠,중,jung
贵鲜,구이셴,guisyen
淦昌,간창,gancang
启德,치더,cideo
伊琳,이린,irin
广明,광밍,gwangming
岭东,영동,yeongdong
锡联,시롄,siryen
维明,웨이밍,weiming
勃麟,보린,borin
秋宏,추훙,cuhung
德福,더푸,deopu
小帅,샤오솨이,syaoswai
谈,탄,tan
家桢,자전,jajeon
有才,유차이,yucai
逸,이,i
力平,리핑,riping
玉华,위화,wihwa
励勤,리친,ricin
芳卓,팡줘,pangjweo
晓旭,샤오쉬,syaoswi
兰坡,란포,ranpo
于轼,오위스,owiseu
楚良,우추량,ucuryang
志健,이즈젠,ijeujen
雪红,쉐훙,swehung
昆,쿤,kun
振,전,jeon
铁映,톄잉,tyeing
仲夷,중이,jungi
步青,부칭,bucing
烈,례,rye
俊龙,이쥔룽,ijwinrung
达裕,오다위,odawi
超豪,차오하오,caohao
玘,치,ci
怀东,오화이둥,ohwaidung
秋里,추리,curi
文康,원캉,weonkang
大同,다퉁,datung
绵康,몐캉,myenkang
绵恒,몐헝,myenheong
挺,팅,ting
铁生,톄성,tyeseong
仕鹏,스펑,seupeong
兆佳,우시우가이,usiugai
榕,룽,rung
展鸿,진훙,jinhung
远平,위안핑,wianping
建联,젠롄,jenryen
崇智,충즈,cungjeu
克平,커핑,keoping
长卫,장웨이,jangwei
贻弓,이궁,igung
泱漪,양이,yangi
馨,신,sin
富洲,푸저우,pujeou
逸飞,이페이,ipei
希愈,시위,siwi
荻,디,di
汲清,지칭,jicing
君舒,준수,junsu
炳湘,빙성,bingseong
慧玲,후이링,huiring
友渔,유위,yuwi
春旺,춘왕,cunwang
鲁,루,ru
冶坪,예핑,yeping
亦昕,이신,isin
健峰,긴풍,ginpung
文君,원쥔,weonjwin
家翘,자차오,jacao
佳洱,자얼,jaeol
乔木,차오무,caomu
雪松,쉐송,swesong
旺阳,왕양,wangyang
富荣,푸룽,purung
文恺,원카이,weonkai
珮帆,푸이판,puipan
阮,롼,rwan
露斐,루페이,rupei
庆鹏,칭펑,cingpeong
涵,오한,ohan
北俊,베이쥔,beijwin
健楠,우젠난,ujennan
晓红,샤오훙,syaohung
文道,만다오,mandao
振梁,쩐량,jjeonryang
沙,사,sa
祖康,주캉,jukang
贝,베,be
时璋,이스장,iseujang
正东,정둥,jeongdung
玉郎,육롱,yugrong
渊洁,웬지에,wenjie
怡濂,이롄,iryen
俊业,전입,jeonib
希德,시더,sideo
沅君,위안쥔,wianjwin
硕,숴,sweo
春来,오춘라이,ocunrai
阿玉,아위,awi
凤荣,펑룽,peongrung
浩翔,호청,hoceong
学忠,쉐중,swejung
中约,중약,jungyag
庆施,칭스,cingseu
竟成,깅싱,gingsing
福愉,푸위,puwi
美娟,메이귄,meigwin
伟雄,와이훙,waihung
精华,징화,jinghwa
远洋,위안양,wianyang
繁玉,판위,panwi
彤彤,이퉁퉁,itungtung
隋,쑤,ssu
剑爽,이젠솽,ijenswang
影,잉,ing
侴,처,ceo
显英,셴잉,syening
冰玉,빙위,bingwi
丰文,오펑원,opeongweon
小年,샤오녠,syaonyen
汉铨,우혼췬,uhoncwin
昭,자오,jao
秉林,빙린,bingrin
承宗,청쭝,ceongjjung
相龙,이샹룽,isyangrung
裘,추,cu
法祖,파쭈,pajju
智宏,즈훙,jeuhung
举能,거이낭,geoinang
永文,윙만,wingman
立中,리중,rijung
飞雄,페이슝,peisyung
栾,롼,rwan
菊杰,쥐제,jwije
岳峰,악봉,agbong
笑媚,샤오메이,syaomei
子侠,톰,tom
欧,아,a
文景,원징,weonjing
苦禅,쿠찬,kucan
玉兰,위란,wiran
和生,허성,heoseong
光训,광쉰,gwangswin
根宝,건바오,geonbao
瑞麟,서이런,seoireon
德君,더쥔,deojwin
先楚,시엔추,siencu
松,쑹,ssung
乃伟,이나이웨이,inaiwei
锡文,시원,siweon
玉娴,육한,yughan
霏,페이,pei
丽平,리핑,riping
卞,볜,byen
留念,류녠,ryunyen
逸夫,오이푸,oipu
炳林,빙린,bingrin
建军,젠쥔,jenjwin
葆洁,바오제,baoje
恩庭,언팅,eonting
嵯,사,sa
爱华,아이화,aihwa
清爽,칭솽,cingswang
小橹,샤오루,syaoru
志康,지홍,jihong
发枝,팟지,pasji
鉴林,감람,gamram
易希,익헤이,ighei
安忆,안이,ani
丽珠,이훙,ihung
絜青,제칭,jecing
书鸿,수훙,suhung
旭智,육지,yugji
婉娴,윈한,winhan
润韬,룬타오,runtao
超华,차오화,caohwa
惠芬,후이펀,huipeon
红冰,안훙빙,anhungbing
剑锋,젠펑,jenpeong
炎培,옌페이,yenpei
爱芳,애방,aebang
歌辛,거신,geosin
寿斌,서우빈,seoubin
建嵘,젠룽,jenrung
晓楠,샤오난,syaonan
雪桐,이쉐퉁,iswetung
俨少,옌사오,yensao
礼骞,라이힌,raihin
伯苓,보링,boring
伟明,와이밍,waiming
绿云,우뤼윈,urwiwin
新鹏,신펑,sinpeong
飞轶,페이이,peii
选平,쉬안핑,swianping
莉莉,리리,riri
泽宇,쩌위,jjeowi
佳宇,자위,jawi
希文,이시원,isiweon
尚斌,상빈,sangbin
洁敏,제민,jemin
叔平,숙평,sugpyeong
里奥,리우,riu
伟民,안웨이민,anweimin
光鼐,광나이,gwangnai
叶新,예신,yesin
思之,쓰즈,sseujeu
兆聪,시우충,siucung
永波,융보,yungbo
友棣,야우다이,yaudai
雪芬,안쉐펀,answepeon
翊云,이윈,iwin
灼强,줘창,jweocang
秉毅,빙이,bingi
望嵩,왕쑹,wangssung
捷,오제,oje
赛娟,싸이쥐안,ssaijwian
元梓,위안쯔,wianjjeu
孟静,망징,mangjing
樾,웨,we
苍,소,so
海鹏,하이펑,haipeong
振华,이전화,ijeonhwa
饶,요,yo
雪漫,설만,seolman
清明,칭밍,cingming
永达,윙닷,wingdas
永砯,융핑,yungping
庆,칭,cing
集成,잡싱,jabsing
欣彤,신퉁,sintung
约翰,웨한,wehan
少杰,사오제,saoje
德慈,더츠,deoceu
雪峰,쉐펑,swepeong
洁冰,제빙,jebing
朱,짐,jim
小荪,추,cu
宪益,셴이,syeni
邝,퀑,kweong
保罗,보로,boro
国正,궈정,gweojeong
励,리,ri
建书,젠수,jensu
方舟,팡저우,pangjeou
丽淇,우리치,urici
劳,라,ra
丽诗,오리스,oriseu
文良,원량,weonryang
朝旭,자오쉬,jaoswi
振声,전성,jeonseong
旺,왕,wang
浚龙,전룽,jeonrung
仕仁,이시얀,isiyan
贵仁,안구이런,anguireon
志钦,즈친,jeucin
治平,즈핑,jeuping
祥志,샹즈,syangjeu
卓然,줘란,jweoran
锦辉,감파이,gampai
信基,신지,sinji
良镛,량융,ryangyung
銮雄,우륀훙,urwinhung
忠尧,오중야오,ojungyao
馥莉,푸리,puri
彦永,옌융,yenyung
晓天,샤오톈,syaotyen
海胜,하이성,haiseong
永清,융칭,yungcing
继光,계광,gyegwang
念慈,님치,nimci
镜开,징카이,jingkai
康廉,홍림,hongrim
明逵,밍콰이,mingkwai
令文,링원,ringweon
生贤,우성셴,useongsyen
耀昌,이이우청,iiuceong
念溢,우님얏,unimyas
阿顺,아순,asun
先骕,셴쑤,syenssu
致光,지궝,jigweong
显伟,셴웨이,syenwei
智健,즈젠,jeujen
达钦,다친,dacin
悦,웨,we
思明,시밍,siming
威廉,와이림,wairim
子骏,지전,jijeon
耀忠,이우중,iujung
本舰,번젠,beonjen
犇,번,beon
志焜,지관,jigwan
挥,후이,hui
恒汇,항우이,hangui
从军,충쥔,cungjwin
德伦,더룬,deorun
富胜,푸성,puseong
国豪,궈하오,gweohao
耀宗,이우중,iujung
雨欣,우흔,uheun
志荣,지윙,jiwing
正光,징궝,jinggweong
宜鑫,오이신,oisin
天文,이톈원,ityenweon
思勉,쓰몐,sseumyen
吉田,지톈,jityen
克农,커눙,keonung
中怡,중이,jungi
正雷,젱레이,jengrei
沐黎,무리,muri
晓丹,샤오단,syaodan
于翰,위한,wihan
巧稚,차오즈,caojeu
开甲,카이자,kaija
思危,쓰웨이,sseuwei
荫培,얌푸이,yampui
敏荣,만윙,manwing
荻秋,오디추,odicu
道林,오다오린,odaorin
以升,오이성,oiseong
震霆,잔팅,janting
学远,쉐위안,swewian
纯全,우춘취안,ucuncwian
光达,광다,gwangda
浪,랑,rang
广宁,광닝,gwangning
志豪,치호,ciho
忠臣,중천,jungceon
建南,우젠난,ujennan
物华,우화,uhwa
晔,예,ye
海琦,하이치,haici
超尘,차오천,caoceon
古蟾,구찬,gucan
健仪,긴이,gini
天明,톈밍,tyenming
小棋,소기,sogi
振亚,전야,jeonya
高宁,가오닝,gaoning
裴,페,pe
延风,옌펑,yenpeong
国栋,오궈둥,ogweodung
天普,톈푸,tyenpu
明康,밍캉,mingkang
尔卓,얼줘,eoljweo
钮,뉴,nyu
经义,징이,jingi
征镒,정이,jeongi
秀峰,슈펑,syupeong
怀瑾,희근,hyigeun
连暲,롄장,ryenjang
成智,싱지,singji
恩才,이언차이,ieoncai
赟,이윈,iwin
绿汀,뤼팅,rwiting
茂波,모보,mobo
曾祺,쩡치,jjeongci
振义,전이,jeoni
忠诚,중청,jungceong
西麟,시린,sirin
桓武,환우,hwanu
家杰,가깃,gagis
家铮,자정,jajeong
石屹,쓰이,sseui
云鹤,윈허,winheo
品先,핀셴,pinsyen
超荣,초영,coyeong
小加,샤오자,syaoja
小宁,샤오닝,syaoning
树英,슈잉,syuing
实戈,스거,seugeo
伯明,보밍,boming
应睐,잉라이,ingrai
正操,정차오,jeongcao
国钧,궉관,gweoggwan
炳文,빙원,bingweon
少湘,사오샹,saosyang
传玉,촨위,cwanwi
浦,푸,pu
文廸,만딕,mandig
孟超,멍차오,meongcao
枝明,즈밍,jeuming
佳琳,자린,jarin
李仁,리런,rireon
信忠,신중,sinjung
少云,소운,soun
宇平,위핑,wiping
煊泽,쉬안쩌,swianjjeo
清运,칭윈,cingwin
新智,신즈,sinjeu
文凯,원카이,weonkai
梵澄,판청,panceong
项,샹,syang
怀诚,화이청,hwaiceong
畹町,완팅,wanting
计,지,ji
有训,유쉰,yuswin
庆来,칭라이,cingrai
广涛,광타오,gwangtao
赖,라,ra
润明,이룬밍,irunming
雅菊,야쥐,yajwi
洛宾,뤄빈,rweobin
嘉庆,자칭,jacing
晨丽,천리,ceonri
晓文,우샤오원,usyaoweon
维平,웨이핑,weiping
第周,디저우,dijeou
玉洋,위양,wiyang
敬明,징밍,jingming
维南,웨이난,weinan
象华,오샹화,osyanghwa
玮,웨이,wei
晓璐,샤오루,syaoru
金波,진보,jinbo
万成,완청,wanceong
福家,푸자,puja
渊冲,위안충,wiancung
焕明,환밍,hwanming
澜,란,ran
明义,밍이,mingi
笑天,샤오톈,syaotyen
雅风,야펑,yapeong
蛰存,저춘,jeocun
广杰,궝깃,gweonggis
国培,궉푸이,gweogpui
马南,마난,manan
永青,윙칭,wingcing
绍远,시우윈,siuwin
慧卿,우와이힝,uwaihing
津,진,jin
政新,정신,jeongsin
士钊,스자오,seujao
爱颐,아이이,aii
崇年,충녠,cungnyen
健和,긴워,ginweo
赛,싸이,ssai
桐斌,오퉁빈,otungbin
丘,야,ya
建威,우긴와이,uginwai
水,장,jang
万林,완린,wanrin
束,수,su
星北,싱베이,singbei
筱萸,샤오위,syaowi
小璇,샤오쉬안,syaoswian
凯旋,우호이쉰,uhoiswin
伟超,와이치우,waiciu
法唐,파탕,patang
子豪,이쯔하오,ijjeuhao
继欢,가이푼,gaipun
家玮,자웨이,jawei
庾,위,wi
耀东,야오둥,yaodung
以伦,이룬,irun
芳雨,팡위,pangwi
耀焯,이우척,iuceog
志峰,즈펑,jeupeong
慕华,무화,muhwa
宏江,훙장,hungjang
希娟,시좐,sijwan
成玉,청위,ceongwi
永和,융허,yungheo
成伟,청웨이,ceongwei
海强,하이창,haicang
祥福,샹푸,syangpu
崇瑶,총야오,congyao
旭东,쉬둥,swidung
游,우유,uyu
侑根,우유건,uyugeon
弦,셴,syen
宿,쑤,ssu
茂臻,마오전,maojeon
根伟,건웨이,geonwei
资,쯔,jjeu
中筠,중윈,jungwin
云英,윈잉,wining
成江,청장,ceongjang
爱英,아이잉,aiing
鲸鲸,오징징,ojingjing
纪兰,지란,jiran
萌萌,멍멍,meongmeong
羽,위,wi
志戬,즈젠,jeujen
雷雷,레이레이,reirei
功耀,국야오,gugyao
烁,숴,sweo
宗英,쭝잉,jjunging
志,이즈,ijeu
义威,이웨이,iwei
耀富,이우푸,iupu
金东,진둥,jindung
静子,징쯔,jingjjeu
阶平,제핑,jeping
效瑞,샤오루이,syaorui
小文,샤오원,syaoweon
孝文,샤오원,syaoweon
蓓,이베이,ibei
衡哲,헝저,heongjeo
国光,궈광,gweogwang
圣容,성룽,seongrung
桥桥,차오차오,caocao
大辉,다이파이,daipai
春露,춘루,cunru
经武,징우,jingu
兼,젠,jen
振瑜,전위,jeonwi
抱石,바오스,baoseu
厚英,이허우잉,iheouing
宝库,이바오쿠,ibaoku
名雅,멩아,menga
洛雯,록만,rogman
全安,취안안,cwianan
新宝,신바오,sinbao
新胜,신성,sinseong
志英,즈잉,jeuing
璐菡,안루한,anruhan
蒿楠,하오난,haonan
伟豪,와이호,waiho
紫紫,쯔쯔,jjeujjeu
焕之,환즈,hwanjeu
天余,톈위,tyenwi
学铭,쉐밍,sweming
志源,지윈,jiwin
宇璇,위쉬안,wiswian
火丁,훠딩,hweoding
侃滢,칸잉,kaning
振瑶,전야오,jeonyao
国谦,궉힘,gweoghim
乃威,나이와이,naiwai
瑞芳,루이팡,ruipang
亮星,렁싱,reongsing
永烈,융례,yungrye
荣鑫,우룽신,urungsin
其凤,우치펑,ucipeong
麾,후이,hui
长霞,창샤,cangsya
录,루,ru
铁崖,톄야,tyeya
国治,우궈즈,ugweojeu
耀庭,야오팅,yaoting
诚斌,청빈,ceongbin
寅生,인성,inseong
昊天,하오톈,haotyen
凤浩,봉호,bongho
德普,더푸,deopu
友直,유즈,yujeu
子奇,쯔치,jjeuci
来燕,라이옌,raiyen
耀洁,오야오제,oyaoje
雪明,쉐밍,sweming
发轫,파런,pareon
宝杰,바오제,baoje
建荣,졘룽,jyenrung
镜淇,징치,jingci
民,민,min
家明,가밍,gaming
苏红,우쑤훙,ussuhung
卓皓,줘하오,jweohao
众孚,중푸,jungpu
金发,진파,jinpa
鹏芳,붕방,bungbang
壮龙,좡룽,jwangrung
玉普,위푸,wipu
伟光,웨이광,weigwang
鸿祯,훙전,hungjeon
英东,잉둥,ingdung
雏军,추쥔,cujwin
哲洙,철수,ceolsu
凤友,펑유,peongyu
隆平,안룽핑,anrungping
克保,이커바오,ikeobao
国介,궈제,gweoje
英挺,이잉팅,iingting
南翔,난샹,nansyang
志鹃,즈쥐안,jeujwian
海粟,하이쑤,haissu
成发,청파,ceongpa
立骏,리쥔,rijwin
首道,서우다오,seoudao
关根,관건,gwangeon
建堂,젠탕,jentang
寿,판,pan
者,톈서우,tyenseou
瀛,잉,ing
仕波,스보,seubo
敖庆,아오칭,aocing
普选,푸쉬안,puswian
宗烨,쭝예,jjungye
香桐,샹퉁,syangtung
仙洲,셴저우,syenjeou
庆存,칭춘,cingcun
笳,자,ja
勤,친,cin
新初,신추,sincu
彼得,베이닥,beidag
进安,친안,cinan
爱琪,아이치,aici
海福,하이푸,haipu
求发,추파,cupa
雒,뤄,rweo
少红,소홍,sohong
龙熙,룡희,ryonghyi
乙,이,i
广晶,오광징,ogwangjing
远波,위안보,wianbo
连松,롄쑹,ryenssung
小兵,오샤오빙,osyaobing
管,관,gwan
松涛,쑹타오,ssungtao
丛,충,cung
梅玲,메이링,meiring
必坚,비젠,bijen
芷生,즈성,jeuseong
金明,진밍,jinming
克杰,커제,keoje
维高,웨이가오,weigao
松有,쑹유,ssungyu
家屯,자툰,jatun
仁燮,인섭,inseob
汉钧,혼관,hongwan
文新,원신,weonsin
昊苏,하오쓰,haosseu
星弼,싱비,singbi
恒,안헝,anheong
阳生,우양성,uyangseong
永哲,영철,yeongceol
财神,차이선,caiseon
